Chan	Prompt	Decay	Fit	Residuals
281	8	4466	4366.94	1.307549
282	7	4518	4345.511	2.262086
283	4	4561	4324.182	3.089311
284	5	4344	4302.952	0.5502612
285	3	4361	4281.821	1.059114
286	4	4281	4260.788	0.2731725
287	4	4410	4239.853	2.261762
288	5	4382	4219.014	2.174284
289	4	4369	4198.273	2.28133
290	4	4264	4177.628	1.169914
291	2	4276	4157.08	1.608268
292	5	4220	4136.626	1.135862
293	5	4169	4116.268	0.7232887
294	2	4127	4096.004	0.4275508
295	3	4060	4075.835	-0.2204256
296	5	3976	4055.76	-1.123254
297	0	4098	4035.777	0.8616743
298	1	3977	4015.888	-0.5475793
299	0	4010	3996.091	0.1949578
300	1	3984	3976.386	0.1071119
301	0	3934	3956.772	-0.3226001
302	1	3878	3937.25	-0.8460674
303	1	3944	3917.818	0.3703764
304	0	3949	3898.477	0.7142122
305	2	3764	3879.226	-1.672862
306	1	3789	3860.064	-1.027937
307	0	3856	3840.992	0.2149918
308	0	3697	3822.007	-1.833034
309	0	3882	3803.112	1.125857
310	1	3750	3784.303	-0.4990521
311	1	3772	3765.583	9.305301E-02
312	2	3698	3746.949	-0.7176585
313	2	3795	3728.402	0.9624833
314	2	3798	3709.942	1.27208
315	0	3651	3691.566	-0.5989827
316	0	3740	3673.277	0.972137
317	1	3748	3655.072	1.352327
318	0	3734	3636.952	1.415215
319	0	3773	3618.917	2.234038
320	0	3765	3600.965	2.381131
321	1	3711	3583.096	1.871578
322	1	3588	3565.311	0.3382616
323	2	3598	3547.608	0.7501094
324	1	3433	3529.988	-1.481684
325	0	3537	3512.449	0.3689257
326	1	3574	3494.992	1.180434
327	0	3390	3477.616	-1.347869
328	0	3573	3460.321	1.683768
329	0	3577	3443.106	1.999545
330	0	3414	3425.972	-0.1834568
331	1	3356	3408.917	-0.8185999
332	1	3498	3391.941	1.603557
333	1	3404	3375.044	0.4444398
334	1	3431	3358.226	1.112134
335	0	3331	3341.486	-0.1628784
336	1	3363	3324.823	0.5899034
337	0	3407	3308.238	1.515134
338	0	3319	3291.73	0.4244367
339	0	3318	3275.299	0.6647254
