GENERAL$,
4.56,10.08155
4.57,28.36073
4.58,64.93948
4.59,100
4.6,95.53335
4.61,59.04029
4.62,25.53202
4.63,9.29199
4.64,3.98258
4.65,2.38228
4.66,1.69508
4.67,1.28229
4.68,1.00353
4.69,0.80597
4.7,0.66107
4.71,0.55177
4.72,0.46738
4.73,0.40091
4.74,0.34766
4.75,0.30436
4.76,0.26871
4.77,0.23901
4.78,0.21403
4.79,0.19282
4.8,0.17467
4.81,0.15902
4.82,0.14544
4.83,0.1336
4.84,0.1232
4.85,0.11403
4.86,0.10591
4.87,0.09868
4.88,0.09223
4.89,0.08645
4.9,0.08126
4.91,0.07657
4.92,0.07234
4.93,0.0685
4.94,0.06502
4.95,0.06185
4.96,0.05896
4.97,0.05633
4.98,0.05392
4.99,0.05172
5,0.0497
5.01,0.04785
5.02,0.04616
5.03,0.04461
5.04,0.04319
5.05,0.04189
5.06,0.0407
5.07,0.03962
5.08,0.03863
5.09,0.03773
5.1,0.03692
5.11,0.03619
5.12,0.03554
5.13,0.03497
5.14,0.03446
5.15,0.03403
5.16,0.03366
5.17,0.03336
5.18,0.03313
5.19,0.03296
5.2,0.03286
5.21,0.03283
5.22,0.03286
5.23,0.03297
5.24,0.03314
5.25,0.0334
5.26,0.03373
5.27,0.03415
5.28,0.03467
5.29,0.03528
5.3,0.03599
5.31,0.03683
5.32,0.03772
5.33,0.03883
5.34,0.0401
5.35,0.04155
5.36,0.04321
5.37,0.0451
5.38,0.04726
5.39,0.04974
5.4,0.05258
5.41,0.05586
5.42,0.05965
5.43,0.06405
5.44,0.0692
5.45,0.07527
5.46,0.08246
5.47,0.09108
5.48,0.1015
5.49,0.11427
5.5,0.13011
5.51,0.15009
5.52,0.17578
5.53,0.20954
5.54,0.25511
5.55,0.31864
5.56,0.41104
5.57,0.55703
5.58,0.85664
5.59,1.79179
5.6,4.82047
5.61,11.5852
5.62,19.76518
5.63,21.53531
5.64,15.7662
5.65,8.08508
5.66,3.24722
5.67,1.30293
5.68,0.69092
5.69,0.46896
5.7,0.35077
