GENERAL$,
4.56,58.75308
4.57,97.19261
4.58,100
4.59,65.92126
4.6,29.85603
4.61,10.94157
4.62,4.46896
4.63,2.55561
4.64,1.78921
4.65,1.34443
4.66,1.04729
4.67,0.83801
4.68,0.68527
4.69,0.57052
4.7,0.48222
4.71,0.41288
4.72,0.35747
4.73,0.31251
4.74,0.27556
4.75,0.24483
4.76,0.21902
4.77,0.19714
4.78,0.17844
4.79,0.16234
4.8,0.14838
4.81,0.13621
4.82,0.12553
4.83,0.11613
4.84,0.1078
4.85,0.1004
4.86,0.0938
4.87,0.08788
4.88,0.08257
4.89,0.07778
4.9,0.07346
4.91,0.06954
4.92,0.06598
4.93,0.06275
4.94,0.0598
4.95,0.05711
4.96,0.05466
4.97,0.05241
4.98,0.05035
4.99,0.04847
5,0.04674
5.01,0.04516
5.02,0.04371
5.03,0.04239
5.04,0.04117
5.05,0.04007
5.06,0.03906
5.07,0.03815
5.08,0.03732
5.09,0.03657
5.1,0.03591
5.11,0.03532
5.12,0.0348
5.13,0.03435
5.14,0.03398
5.15,0.03367
5.16,0.03342
5.17,0.03325
5.18,0.03314
5.19,0.03309
5.2,0.03312
5.21,0.03322
5.22,0.03339
5.23,0.03364
5.24,0.03397
5.25,0.03438
5.26,0.03489
5.27,0.0355
5.28,0.03621
5.29,0.03697
5.3,0.03794
5.31,0.03905
5.32,0.04032
5.33,0.04178
5.34,0.04345
5.35,0.04536
5.36,0.04754
5.37,0.05004
5.38,0.05291
5.39,0.05623
5.4,0.06007
5.41,0.06455
5.42,0.06979
5.43,0.07597
5.44,0.08333
5.45,0.09216
5.46,0.10288
5.47,0.11604
5.48,0.13245
5.49,0.15324
5.5,0.18011
5.51,0.21564
5.52,0.26398
5.53,0.33203
5.54,0.43242
5.55,0.59781
5.56,0.97684
5.57,2.23583
5.58,6.04815
5.59,13.52049
5.6,20.67801
5.61,20.17008
5.62,13.41173
5.63,6.35027
5.64,2.4721
5.65,1.04644
5.66,0.60152
5.67,0.4234
5.68,0.32119
5.69,0.25304
5.7,0.20502
5.71,0.16995
5.72,0.14359
5.73,0.12331
5.74,0.10739
5.75,0.09468
5.76,0.08438
5.77,0.07594
5.78,0.06893
5.79,0.06307
5.8,0.05813
5.81,0.05393
5.82,0.05035
5.83,0.04727
5.84,0.04461
5.85,0.04224
5.86,0.04026
5.87,0.03854
5.88,0.03704
5.89,0.03575
5.9,0.03464
5.91,0.03368
5.92,0.03286
5.93,0.03218
5.94,0.0316
5.95,0.03114
5.96,0.03077
5.97,0.0305
5.98,0.03032
5.99,0.03029
6,0.03028
6.01,0.03034
6.02,0.03049
6.03,0.03072
6.04,0.03102
6.05,0.03141
6.06,0.03188
6.07,0.03244
6.08,0.0331
6.09,0.03385
6.1,0.0347
6.11,0.03567
6.12,0.03676
6.13,0.03798
6.14,0.03936
6.15,0.04089
6.16,0.04261
6.17,0.04452
6.18,0.04665
6.19,0.04905
6.2,0.05173
6.21,0.05474
6.22,0.05814
6.23,0.06199
6.24,0.06636
6.25,0.07135
6.26,0.07706
6.27,0.08366
6.28,0.0913
6.29,0.10024
6.3,0.11076
6.31,0.12327
6.32,0.13829
6.33,0.15654
6.34,0.17899
6.35,0.20704
6.36,0.24271
6.37,0.28903
6.38,0.35065
6.39,0.43509
6.4,0.5551
6.41,0.73534
6.42,1.04979
6.43,1.84979
6.44,4.49373
6.45,11.59173
6.46,23.33226
6.47,31.40107
6.48,28.04965
6.49,18.13619
6.5,8.6503
6.51,3.48713
6.52,1.54339
6.53,0.90921
6.54,0.64361
6.55,0.48811
6.56,0.38354
6.57,0.30941
6.58,0.25498
6.59,0.21387
6.6,0.18209
6.61,0.15702
6.62,0.1369
6.63,0.12053
6.64,0.10702
6.65,0.09576
6.66,0.08627
6.67,0.0782
6.68,0.07129
6.69,0.06533
6.7,0.06015
6.71,0.05563
6.72,0.05165
6.73,0.04814
6.74,0.04503
6.75,0.04226
6.76,0.03979
6.77,0.03757
6.78,0.03557
6.79,0.03377
6.8,0.03215
6.81,0.03067
6.82,0.02933
6.83,0.02811
6.84,0.027
6.85,0.02599
6.86,0.02506
6.87,0.02422
6.88,0.02344
6.89,0.02273
6.9,0.02208
6.91,0.02149
6.92,0.02094
6.93,0.02044
6.94,0.01999
6.95,0.01957
6.96,0.01919
6.97,0.01885
6.98,0.01854
6.99,0.01826
7,0.01801
7.01,0.0178
7.02,0.0176
7.03,0.01744
7.04,0.0173
7.05,0.01719
7.06,0.01711
7.07,0.01705
7.08,0.01703
7.09,0.01703
7.1,0.01707
7.11,0.01716
7.12,0.01729
7.13,0.01748
7.14,0.01774
7.15,0.01812
7.16,0.01865
7.17,0.01941
7.18,0.02062
7.19,0.02306
7.2,0.03034
7.21,0.05207
7.22,0.09674
7.23,0.14573
7.24,0.15248
7.25,0.12203
7.26,0.07837
7.27,0.04531
7.28,0.02953
7.29,0.02409
7.3,0.02237
7.31,0.02171
7.32,0.02143
7.33,0.02137
7.34,0.02145
7.35,0.02163
7.36,0.02191
7.37,0.02224
7.38,0.02264
7.39,0.0231
7.4,0.0236
7.41,0.02416
7.42,0.02477
7.43,0.02544
7.44,0.02618
7.45,0.02695
7.46,0.0278
7.47,0.0287
7.48,0.02967
7.49,0.03071
7.5,0.03184
7.51,0.03305
7.52,0.03436
7.53,0.03577
7.54,0.0373
7.55,0.03895
7.56,0.04074
7.57,0.04269
7.58,0.04481
7.59,0.04713
7.6,0.04966
7.61,0.05243
7.62,0.05547
7.63,0.05883
7.64,0.06253
7.65,0.06664
7.66,0.07122
7.67,0.07633
7.68,0.08213
7.69,0.08851
7.7,0.09583
7.71,0.10415
7.72,0.11368
7.73,0.12467
7.74,0.13741
7.75,0.15232
7.76,0.1699
7.77,0.19085
7.78,0.21607
7.79,0.24682
7.8,0.28485
7.81,0.33264
7.82,0.39385
7.83,0.47398
7.84,0.58172
7.85,0.73128
7.86,0.9477
7.87,1.2864
7.88,1.95532
7.89,3.88476
7.9,9.7496
7.91,22.42956
7.92,37.73655
7.93,41.6054
7.94,34.02357
7.95,21.94542
7.96,10.84083
7.97,4.62141
7.98,2.16375
7.99,1.3139
8,0.94031
8.01,0.71709
8.02,0.56557
8.03,0.45737
8.04,0.37743
8.05,0.31673
8.06,0.26957
8.07,0.2322
8.08,0.20211
8.09,0.17753
8.1,0.15727
8.11,0.14026
8.12,0.12589
8.13,0.11364
8.14,0.10312
