2theta,I
2.4E-4,48
0.02615,12
0.00774,24
1.4E-4,48
1.2E-4,48
0.01299,12
0.01166,48
0.02122,24
0.00578,48
0.01058,24
0.04652,24
0.00629,48
0.10443,48
0.02359,24
0.02316,24
0.00312,48
0.05189,48
0.01171,24
0.03632,48
0.01537,48
0.01804,48
0.00767,48
0.04052,24
0.18662,48
0.00104,24
0.04549,48
0.02018,24
0.09273,48
5.1E-4,24
0.02266,48
9E-5,48
0.00735,48
0.0296,48
0.06542,48
5E-5,48
0.00364,48
0.01474,48
0.03259,48
0.00186,6
9.3E-4,6
0.0036,48
0.01244,24
0.01737,24
0.00178,48
0.00618,24
0.00862,24
0.25884,24
0.00114,48
0.01765,24
0.12869,24
5.7E-4,48
0.00876,24
0.05817,24
0.00202,48
0.02896,24
0.00101,48
0.00267,24
0.00127,48
0.15454,24
0.00134,24
6.3E-4,48
0.07679,24
0.00743,48
0.05794,48
0.01624,48
0.00885,48
0.06976,48
0.00368,48
0.02878,48
0.00806,48
0.00439,48
0.03474,48
0.00122,24
6.2E-4,24
0.09731,48
0.00321,48
0.06002,48
0.09124,48
0.04834,48
0.00159,48
0.02982,48
0.04543,48
0.00104,24
5.1E-4,24
5.2E-4,24
2.6E-4,24
0.05181,24
0.06149,48
0.00523,24
0.01653,48
0.02574,24
0.03056,48
0.00261,24
0.00824,48
0.00175,48
0.17853,48
8.6E-4,48
0.08874,48
0.13915,48
0.00362,48
6.8E-4,48
0.02952,24
0.06913,48
0.0018,48
3.4E-4,48
0.01466,24
0.00338,48
0.00169,48
2.4E-4,48
0.00101,48
1.2E-4,48
5E-4,48
0.00304,48
0.02615,48
0.01657,48
0.0015,48
0.00823,48
0.01303,48
0.00576,24
0.12181,12
0.00289,24
0.06049,12
0.1337,48
0.00111,48
0.10261,48
0.0241,24
0.00864,48
0.03161,24
0.06642,48
5.5E-4,48
0.05098,48
0.01197,24
0.00429,48
0.01569,24
0.07421,24
0.05838,24
0.03692,24
0.02901,24
0.00662,48
0.01515,24
0.06046,48
0.03464,48
0.0033,48
0.00755,24
0.03002,48
0.01719,48
0.01058,48
0.0132,24
0.17949,48
0.00525,48
0.00657,24
0.08915,48
0.02352,48
0.02035,24
0.01167,48
0.01014,24
0.00767,8
0.1068,48
0.0038,8
0.05297,48
6.2E-4,48
0.09161,48
0.04738,48
3.1E-4,48
0.04551,48
0.0236,48
0.07371,24
0.03657,24
0.01084,24
0.00464,24
0.0053,48
0.00593,24
0.00251,48
0.03665,48
0.01515,24
0.0054,24
0.0023,24
0.00262,48
0.00295,24
0.00124,48
0.01819,48
0.00752,24
0.00176,48
0.02525,48
8.7E-4,48
0.01254,48
0.05877,48
0.00122,48
0.02919,48
6E-4,48
0.00456,48
0.00228,48
0.07341,48
4.9E-4,48
0.00118,48
0.00352,48
0.00229,48
0.0375,48
0.1738,24
0.03654,48
2.4E-4,48
5.9E-4,48
0.00174,48
0.00114,48
0.01868,48
0.08637,24
0.00786,48
0.00329,48
0.27438,48
0.0039,48
0.00163,48
0.13635,48
0.01813,24
0.00898,24
0.00233,48
0.01555,48
0.00772,48
0.00117,48
0.02458,24
0.00159,24
0.00826,6
0.00166,48
0.01223,24
7.9E-4,24
0.0041,6
8.3E-4,48
0.02969,48
0.00288,48
0.00703,24
1E-4,48
0.00235,48
0.03473,48
0.01475,48
0.00143,48
0.00349,24
5E-5,48
0.00118,48
0.01724,48
0.05334,24
0.04979,24
0.02651,24
0.02472,24
9.4E-4,48
0.25024,48
4.6E-4,48
0.12434,48
0.01078,48
0.00503,24
0.00533,48
0.00248,24
0.00685,48
0.02122,48
0.01452,48
0.01054,48
0.00339,48
0.00724,48
0.05181,48
0.02567,48
0.00837,48
0.04748,48
4.9E-4,48
0.05484,12
0.00492,24
0.02364,48
0.00415,48
2.5E-4,48
0.02729,12
0.00245,24
0.04348,24
0.14893,24
0.02159,24
0.0741,24
0.01303,48
0.01308,48
0.00948,48
1E-3,24
0.00155,24
0.07459,24
5E-4,24
0.00473,48
0.0065,48
0.00649,48
7.7E-4,24
0.03712,24
6E-5,24
0.07402,48
0.2646,48
3E-5,24
0.03678,48
0.13165,48
0.061,48
0.10547,24
0.00547,48
0.0303,48
0.05248,24
0.00271,48
0.00234,48
0.00131,48
0.15827,48
0.00152,48
0.16517,48
0.00117,48
6.5E-4,48
0.07876,48
7.5E-4,48
0.08206,48
0.00613,24
0.00303,24
0.01504,48
0.00944,48
0.00188,24
0.02536,48
0.02159,24
0.0075,48
0.00468,48
9.3E-4,24
0.01263,48
0.01075,24
0.17064,48
0.01738,48
0.10919,24
0.07945,24
0.08492,48
0.00863,48
0.05424,24
0.03953,24
0.00226,24
1E-4,48
0.00113,24
5E-5,48
0.00635,48
0.09235,48
1E-4,24
0.00315,48
0.04598,48
5E-5,24
0.04729,48
0.00766,48
8E-4,24
0.0528,48
5E-5,48
0.02349,48
0.0038,48
4E-4,24
0.02629,48
3E-5,48
0.03102,48
0.01536,48
0.00186,48
0.01775,48
0.00318,48
9.3E-4,48
0.00884,48
0.00157,48
0.00282,48
0.00296,48
0.06233,24
0.00294,24
0.00141,48
0.00146,48
0.03096,24
0.00147,24
0.0628,48
0.03126,48
0.13514,48
0.00874,48
8.6E-4,24
0.00283,48
0.01508,48
0.00243,48
1.7E-4,48
2.1E-4,24
0.06713,48
0.00433,48
4.3E-4,24
0.0014,48
0.00752,48
0.00122,48
9E-5,48
1E-4,24
0.07721,48
0.0038,48
0.03842,48
0.00188,48
0.05415,48
6E-5,48
6.9E-4,48
0.00165,48
0.02689,48
3E-5,48
3.4E-4,48
8.2E-4,48
0.00607,48
0.0046,48
0.00301,48
0.0023,48
2.3E-4,24
1.1E-4,24
0.00109,48
0.00235,48
0.00647,24
1.7E-4,48
0.09575,48
0.01355,24
5.4E-4,48
0.00117,48
0.00322,24
8E-5,48
0.04756,48
0.00675,24
0.00292,24
0.00218,24
0.00146,24
0.00108,24
0.02621,48
0.01494,48
0.00964,48
0.00192,48
0.01305,48
0.00745,48
0.0048,48
9.5E-4,48
0.02311,48
0.02975,12
0.00438,48
0.01151,48
0.0148,12
0.00219,48
0.00793,48
0.01497,48
0.13123,24
0.00394,48
0.00746,48
0.06521,24
0.00374,24
0.00979,24
0.16229,24
0.00188,24
0.00484,24
0.08059,24
0.01586,48
0.01839,48
1.9E-4,48
0.00451,48
0.19009,48
0.00787,48
0.00916,48
1E-4,48
0.00224,48
0.09445,48
0.11315,24
0.00329,6
0.05618,24
0.00163,6
0.01393,24
1.6E-4,48
0.00117,48
0.00928,48
0.00423,24
0.00691,24
8E-5,48
5.8E-4,48
0.00463,48
0.0021,24
0.00828,24
0.00352,48
0.01049,48
0.06219,48
0.00411,24
0.00174,48
0.00523,48
0.03094,48
0.00397,48
0.00854,48
3.9E-4,48
0.0408,48
0.00198,48
0.00423,48
1.9E-4,48
0.02026,48
0.08001,24
0.00252,24
0.03979,24
0.00124,24
0.00188,48
0.01846,24
0.00382,48
0.05258,24
0.05924,48
9.3E-4,48
0.00916,24
0.0019,48
0.02612,24
0.02942,48
0.00143,48
0.04868,48
0.00995,48
0.03553,48
0.07731,48
0.11078,48
0.01909,24
7.2E-4,48
0.02418,48
0.00493,48
0.01764,48
0.0384,48
5.4E-4,24
1.1E-4,48
0.00242,24
0.05497,48
0.00946,24
0.00104,48
2E-5,48
2.7E-4,24
5E-5,48
0.0012,24
5.9E-4,48
0.00472,48
0.03872,24
5.1E-4,48
1E-5,48
0.00144,48
0.0378,24
3E-4,48
0.00234,48
0.01924,24
0.02421,48
1.9E-4,48
1.8E-4,48
0.02663,48
0.00416,48
0.00431,48
7.1E-4,48
0.0188,24
0.04582,24
0.11734,48
0.01202,48
9E-5,48
9E-5,48
0.01322,48
0.00206,48
0.00214,48
0.03414,48
0.00194,48
8.8E-4,48
0.02273,24
0.05822,48
0.00159,8
0.00924,24
0.01696,48
9.6E-4,48
4.4E-4,48
0.01731,48
0.00625,48
8.3E-4,48
0.00116,48
1.3E-4,48
0.0147,48
8E-4,8
0.00457,24
9.2E-4,24
0.00497,48
0.00859,48
0.0031,48
4.1E-4,48
5.8E-4,48
6E-5,48
0.00732,48
2.5E-4,24
0.01986,24
1.9E-4,48
4.6E-4,24
0.00247,48
0.00897,48
0.00123,48
8E-5,48
1.3E-4,24
0.00986,24
9E-5,48
0.00449,48
0.00271,24
0.0027,24
0.00445,48
6E-4,48
4E-5,48
0.00222,48
0.00134,24
0.00134,24
0.01173,48
0.01314,48
7.2E-4,48
0.01462,48
1.6E-4,48
0.01919,48
0.00516,48
0.00526,48
0.00582,48
0.00655,48
3.5E-4,48
0.00725,48
8E-5,48
0.00953,48
0.00255,48
0.00261,48
3.1E-4,48
0.00301,48
0.01596,24
0.00274,48
8.7E-4,24
0.03998,12
8.8E-4,48
0.0118,24
0.00204,48
0.02505,24
1.5E-4,48
0.0015,48
0.00793,24
0.00137,48
4.3E-4,24
0.01989,12
4.4E-4,48
0.00383,48
0.05784,24
0.02293,48
0.00289,48
0.00585,24
0.00102,48
0.01247,24
0.00122,24
0.00252,24
0.0653,48
0.0019,48
0.02878,24
0.01141,48
0.00144,48
0.00778,48
0.00836,48
0.00393,48
0.06124,24
0.00124,48
0.01834,48
0.02721,48
6.1E-4,24
0.00125,24
0.03251,48
0.01137,48
0.00386,48
0.00415,48
0.00194,48
0.03047,24
6.1E-4,48
0.00913,48
0.01352,48
4.5E-4,48
0.09356,48
0.00562,48
3E-4,48
0.02401,24
2.2E-4,48
0.04656,48
0.01901,24
3.8E-4,48
0.00934,24
1.5E-4,48
0.0119,24
0.025,24
0.01659,48
0.08372,48
0.00947,24
1.9E-4,48
0.00463,24
2.7E-4,48
0.0059,48
0.01095,48
0.00611,48
0.0103,48
0.01245,24
0.00825,48
0.04165,48
0.0277,48
0.00847,24
1.4E-4,48
0.00292,48
0.00545,48
0.00303,48
0.00511,48
0.01154,48
0.00517,48
0.03492,48
0.01333,48
0.05847,48
0.01379,48
0.0042,24
0.00573,48
0.00258,48
0.01738,48
0.00661,48
0.02909,48
9.3E-4,48
5.7E-4,48
0.02571,48
4.6E-4,48
2.8E-4,48
0.00286,24
0.00513,24
0.00394,48
2E-4,48
0.00537,48
0.00328,48
0.01273,48
1.5E-4,48
0.01,24
0.00181,6
0.00143,24
0.00254,24
0.00195,48
1E-4,48
0.00266,48
0.00163,48
1E-5,24
0.00399,24
0.00333,48
0.00485,48
4E-4,48
9.7E-4,48
0.00187,48
0.00319,24
8E-5,48
0.00496,24
9E-4,6
0.01489,48
0.02043,48
1.5E-4,24
0,24
0.00198,24
0.00165,48
0.00242,48
2E-4,48
4.8E-4,48
9.2E-4,48
0.00159,24
0.00837,48
8.2E-4,48
0.01641,48
4E-5,24
0.00742,48
0.01015,48
7E-5,24
0.01203,24
0.00605,24
0.00415,48
4.1E-4,48
0.00817,48
2E-5,24
9.8E-4,48
0.00206,48
0.00281,48
0,48
0.05099,48
6E-5,48
0.00635,48
0.00596,24
0.00302,24
4.9E-4,48
0.00102,48
0.00139,48
0,48
0.02537,48
3E-5,48
0.00315,48
6.3E-4,48
9E-5,24
0.04913,24
0.03169,48
0.01108,48
0.00491,24
0.00423,24
3.1E-4,48
5E-5,24
0.02442,24
6E-5,48
0.0037,48
2E-4,48
0.01195,24
0.01574,48
0.0055,48
0.00245,24
0.00211,24
0.00502,48
0.00171,48
0.00171,48
3E-5,48
0.00183,48
1E-4,48
0.00594,24
0.00428,48
0.01704,48
9.4E-4,48
0.00179,48
0.06428,48
0.00168,48
1.6E-4,48
0.0025,48
8.5E-4,48
8.6E-4,48
0.00213,48
0.00846,48
4.6E-4,48
9E-4,48
0.03194,48
8.3E-4,48
8E-5,48
0.0149,48
0.00428,48
0.00855,48
0.00724,48
0.03877,12
0.00742,48
0.00212,48
0.00424,48
0.0036,48
0.01054,48
0.11038,24
0.00187,48
0.00121,48
0.01068,24
0.01925,12
1E-4,48
0.03405,24
7E-4,48
0.00103,24
0.00523,48
0.05484,24
9.3E-4,48
6E-4,48
0.0053,24
0.17365,48
5.1E-4,48
6E-4,48
0.0456,48
5E-5,48
0.01693,24
3.5E-4,48
5.2E-4,24
0.02007,24
0.00623,24
0.08628,48
2.5E-4,48
3E-4,48
0.02268,48
0.00965,48
3.1E-4,48
0.00351,24
0.00998,24
0.0031,24
0.00825,24
0.10449,48
0.01709,48
0.00479,48
1.5E-4,48
0.00174,24
0.00321,48
0.00481,48
0.00662,48
0.00412,24
0.05186,48
0.00846,48
0.08871,24
0.00189,24
0.00159,48
0.00238,48
0.00328,48
0.04194,24
0.00336,48
4E-5,48
1E-4,24
0.01009,48
0.0885,48
0.04331,48
0.01276,48
0.04404,24
9.5E-4,24
0.01502,48
0.02083,24
0.00166,48
2E-5,48
5E-5,24
0.00503,48
0.04396,48
0.02154,48
0.00634,48
0.07979,48
5.8E-4,24
3.2E-4,48
2.8E-4,48
0.04306,24
0.00472,48
0.00745,48
0.01982,24
0.0162,48
0.0275,48
0.00598,48
0.03963,48
2.9E-4,24
1.6E-4,48
1.4E-4,48
0.0214,24
0.00235,48
5.6E-4,24
0.03507,48
0.00215,48
0.00985,24
0.00806,48
0.01365,48
0.00297,48
2.8E-4,24
0.01745,48
0.00106,48
0.00292,48
0.00451,48
9.7E-4,48
2.9E-4,48
4E-5,48
0.04122,48
0.02701,24
0.03099,24
0.00145,48
0.00225,48
4.9E-4,48
1.4E-4,48
2E-5,48
0.02049,48
0.01092,48
0.03881,48
7.2E-4,48
8E-5,48
0.00872,48
0.00142,48
0.01346,24
0.01537,24
0.01483,48
0.01185,24
1.2E-4,24
0.00542,48
0.01927,48
