2theta,I
3.5E-4,48
9.1E-4,48
2.1E-4,48
1E-5,48
0.006,48
0.0032,48
6.7E-4,48
0.0054,24
6E-4,48
2.3E-4,24
0.02456,48
9.6E-4,48
0,48
0.00298,48
0.00159,48
3.4E-4,48
0.00425,48
0.00609,24
1.9E-4,48
3E-4,48
1.1E-4,24
0.01219,48
4.7E-4,48
0.02683,48
2.1E-4,48
1E-5,48
0.00212,48
0.00303,24
9E-5,48
0.00574,48
3.3E-4,48
8.5E-4,48
5.7E-4,48
0.00162,48
3E-5,24
0.01031,48
0.01332,48
1.1E-4,48
1E-5,48
0.00285,48
1.7E-4,48
4.2E-4,48
2.8E-4,48
8.1E-4,48
2E-5,24
0.00512,48
4.4E-4,48
1.3E-4,48
0.00391,48
0.00244,48
0.0031,24
2.2E-4,48
6E-5,48
0.00194,48
0.00121,48
0.00538,48
5.8E-4,24
0.03282,48
0.01541,48
6.4E-4,48
0.00535,48
2.2E-4,24
0.00155,24
0.01532,24
0.00461,24
0.00267,48
2.9E-4,24
0.01633,48
0.00766,48
3.2E-4,48
0.00266,48
1.1E-4,24
9E-5,48
0.01512,48
5E-5,48
0.01586,48
0.01164,48
0.0043,48
8.8E-4,48
0.00338,48
0.00761,24
0.00229,24
0.00198,24
0.01203,48
0.00458,24
4E-5,48
0.00751,48
3E-5,48
0.00789,48
0.00579,48
0.00213,48
4.4E-4,48
0.00167,48
4E-5,48
0.00114,48
4.8E-4,48
5.5E-4,48
3.5E-4,48
0.00135,48
9.9E-4,24
0.00596,48
0.00228,24
0.01327,24
0.01457,48
6.2E-4,48
2E-5,48
5.6E-4,48
2.7E-4,48
2.4E-4,48
1.7E-4,48
6.7E-4,48
8.1E-4,48
0.00423,48
3E-4,48
0.00661,24
0.00722,48
3E-4,48
0.00507,48
5.8E-4,24
4E-4,48
0.0021,48
1.5E-4,48
0.00241,12
4.1E-4,48
4E-5,48
0.0104,48
0.02229,24
0.0035,48
0.00251,48
2.9E-4,24
0.03182,48
0.00143,24
3E-5,48
0.0012,12
2E-4,48
2E-5,48
0.00517,48
0.01107,24
0.00174,48
0.00695,48
0.00407,24
4.3E-4,48
2E-5,48
4.3E-4,24
0.01493,24
0.00246,48
0.01581,48
7.2E-4,24
2E-5,48
0.00285,48
0.02571,48
7E-5,48
0.00346,48
0.00203,24
2.2E-4,48
1E-5,48
2.1E-4,24
0.00742,24
0.00122,48
0.02581,48
0.00218,24
0,48
0.00166,24
0.00142,48
0.01278,48
4E-5,48
0.01282,48
0.00109,24
0,48
8.2E-4,24
0.00431,48
0.0022,48
4E-5,48
8.9E-4,48
0.00371,48
2E-5,48
0.00566,48
2.1E-4,48
0.01714,48
0.00251,48
1E-4,48
0.00214,48
0.0011,48
2E-5,48
4.4E-4,48
0.00184,48
1E-5,48
0.00281,48
1.1E-4,48
0.00852,48
0.00124,48
0.00197,48
5.1E-4,24
0.00215,24
0.00629,48
0.00987,24
0.00526,48
1.4E-4,24
5E-5,48
2E-4,24
0.02639,48
6.9E-4,48
0.01568,48
7E-4,24
9.8E-4,48
2.6E-4,24
0.00107,24
0.00491,24
0.00312,48
0.00261,48
7E-5,24
3E-5,48
3E-5,48
1E-4,24
0.01311,48
3.4E-4,48
0.00779,48
3.5E-4,24
0.00272,48
0.00117,48
0.0024,48
1E-5,48
2E-5,48
5.9E-4,48
5.5E-4,48
0.00818,48
0.00137,48
0.0023,48
1E-5,24
0.00496,48
0.00135,48
5.8E-4,48
0.0012,48
0.00225,24
0.00324,24
3E-4,48
2.8E-4,48
0.00407,48
6.8E-4,48
0.00114,48
1E-5,24
0.00247,48
0.00241,48
0.00265,48
4.2E-4,48
0.00112,48
1.5E-4,48
0.03312,48
0.00111,24
0.00161,24
0.0012,48
0.00131,48
2.1E-4,48
5.6E-4,48
8E-5,48
0.01647,48
4E-4,48
0.00222,24
0.01486,48
0.00136,48
6.1E-4,48
0.01042,24
5.2E-4,48
0.00398,48
5E-5,48
0.00355,48
2E-4,48
0.0011,24
0.00738,48
6.8E-4,48
3E-4,48
0.00517,24
0.0019,48
0.00486,48
3.5E-4,24
0.00242,48
0.00166,48
0.01766,48
2.6E-4,48
0.00198,48
2E-5,48
0.00176,48
0.00104,48
9.5E-4,48
0.00242,48
1.7E-4,24
0.0012,48
8.3E-4,48
0.00877,48
1E-5,48
6.9E-4,48
6.1E-4,48
5.2E-4,48
1E-5,48
3.5E-4,48
3E-4,48
0.00308,48
0.00149,48
5E-5,48
3.9E-4,48
0.00902,48
0.00138,48
0.00152,8
0.00153,48
7.4E-4,48
2E-5,48
1.9E-4,48
0.00449,48
6.8E-4,48
0.0028,48
1.5E-4,48
2.9E-4,48
3.4E-4,48
4E-4,48
1.3E-4,48
3.3E-4,48
0.00915,48
7.6E-4,8
0.01399,24
0.00378,24
0.00139,48
8E-5,48
1.4E-4,48
1.7E-4,48
2E-4,48
6E-5,48
1.6E-4,48
0.00454,48
2E-5,24
0.01379,24
5.9E-4,48
0.00157,48
6E-5,48
0.00331,48
0.00247,48
0.02112,24
9E-5,48
0.00695,24
0.00188,24
0.00364,48
0.02929,48
9E-5,48
3.4E-4,24
0.00908,24
1.7E-4,48
1E-5,24
0.00685,24
2.9E-4,48
7.8E-4,48
3E-5,48
0.00164,48
0.00122,48
0.0105,24
4E-5,48
0.00401,48
0.00217,48
0.00159,48
9E-4,24
0.0018,48
0.01456,48
5E-5,48
1.7E-4,24
0.00451,24
8E-5,48
8.8E-4,48
0.00214,48
0.00199,48
0.00108,48
7.9E-4,48
4.5E-4,24
0.00165,48
0.01657,48
6E-5,48
0.00563,48
0.01765,48
5.3E-4,48
4.4E-4,48
0.00106,48
0.0026,6
0.00304,48
8.2E-4,48
0.00823,48
3E-5,48
0.0028,48
0.00877,48
2.7E-4,48
5.4E-4,48
0.00232,24
0.00621,48
5.1E-4,24
3.1E-4,48
0.00129,6
0.00152,48
0.00226,48
0.00102,48
1E-5,24
2.7E-4,48
0.00115,24
0.00309,48
2.5E-4,24
1.5E-4,48
0.00284,48
0.00754,48
0.00118,48
0.00981,48
0.00112,48
5.1E-4,48
1E-5,24
6E-5,24
0.00348,48
0.01754,24
0.00138,24
0.00141,48
0.00374,48
5.9E-4,48
0.00487,48
0.00372,48
0.00123,48
0.00561,48
0.00198,48
0,48
2.7E-4,48
0.00364,48
8.4E-4,48
0,48
1E-5,48
0.004,24
3E-5,24
0.00173,48
0.00872,24
6.8E-4,24
0.00185,48
6.1E-4,48
0.00279,48
9.8E-4,48
0,48
1.3E-4,48
0.00181,48
4.2E-4,48
0,48
0,48
0.00199,24
8E-4,48
0,48
0.00697,48
1.3E-4,48
3.5E-4,48
0.00889,12
0.00623,24
4E-4,48
0,48
0.00346,48
6E-5,48
2.5E-4,48
0.0128,24
2.7E-4,48
0.00106,24
1.8E-4,48
0.00441,12
0.00308,24
0.00826,24
2.8E-4,48
0.00242,24
7.2E-4,48
0.00636,24
1.2E-4,48
1.3E-4,48
5.3E-4,24
0.00937,48
0.00105,48
6.4E-4,48
6E-5,48
0.02103,48
0.01857,48
0.00253,48
0.00411,24
1.4E-4,48
0.0012,24
3.6E-4,48
0.00303,48
0.00212,24
0.00465,48
5.3E-4,48
3.2E-4,48
3E-5,48
0.01044,48
0.00924,48
0.00126,48
7.7E-4,48
8.2E-4,24
0.00499,48
9E-4,48
6E-4,48
1E-5,48
2.2E-4,48
9.5E-4,48
0.00509,48
0.0015,48
0.00105,24
0.00936,48
3.3E-4,48
3.8E-4,48
4E-4,24
0.00248,48
4.5E-4,48
3E-4,48
1E-5,48
4.7E-4,48
1.1E-4,48
0.00253,48
0,48
2.2E-4,48
5.6E-4,48
0.00464,48
1.7E-4,48
0.01377,24
0.00851,24
0,48
1.1E-4,48
2.8E-4,48
0.00789,48
8.2E-4,48
1.5E-4,24
4.8E-4,24
7.2E-4,48
1.6E-4,48
0.00659,48
0.00349,48
0.00684,24
0.00422,24
3.9E-4,24
0.00647,48
3.1E-4,24
0.00391,48
4.1E-4,48
7E-5,24
2.4E-4,24
3.6E-4,48
8E-5,48
0.00327,48
0.00174,48
3.3E-4,48
7E-5,48
0.00401,24
0.00163,24
0.00634,48
0.00287,48
1.9E-4,24
0.00321,48
1.6E-4,24
0.00235,48
8E-5,48
0.00357,48
8.6E-4,48
7.1E-4,48
1.6E-4,48
3E-5,48
0.00199,24
8.1E-4,24
0.00315,48
0.00143,48
4E-5,48
0.00276,48
1.8E-4,48
0.00116,48
4E-5,48
0.00177,48
4.3E-4,48
3.5E-4,48
0.00501,48
4E-5,48
0.0013,48
0.00378,48
4E-4,48
2E-5,48
0.00137,48
9E-5,48
3E-4,24
0.00223,48
5.6E-4,48
5E-5,48
0.00371,24
0.00697,24
0.0025,48
2E-5,48
6.4E-4,48
0.00188,48
2E-4,48
0.01401,24
0.00148,48
0.00218,48
0.00622,48
0.00237,24
9.4E-4,48
1.5E-4,24
0.00129,48
0.00205,48
7.5E-4,48
0.00508,24
0.00111,48
2.8E-4,48
2E-5,48
0.00184,24
0.00347,24
1E-5,48
0.00495,48
0.00696,24
7.3E-4,48
0.00108,48
0.00308,48
0.00118,24
4.7E-4,48
0.00523,48
0.00537,48
1.3E-4,48
4E-4,48
3.6E-4,24
3E-5,48
0.00175,48
6.4E-4,48
0.00102,48
3.7E-4,48
0.00253,24
1E-5,24
0.00921,48
1E-5,48
0.00246,48
0.00131,48
0.0035,48
0.00355,48
6.8E-4,48
3.5E-4,48
5.3E-4,48
0.00227,48
8.7E-4,48
7.7E-4,48
1.4E-4,48
0.0026,48
0.00267,48
6E-5,48
2E-4,48
1.8E-4,24
2E-5,48
8.7E-4,48
3E-4,48
0.00371,24
0,24
0.00456,48
0.00372,24
2.1E-4,48
0.00143,48
0.00259,24
1.1E-4,24
7E-5,48
9.7E-4,24
6.5E-4,48
0.00174,48
0.00176,48
3.4E-4,48
1.7E-4,48
2.6E-4,48
0.00113,48
4.3E-4,48
3.8E-4,48
7E-5,48
0.00518,48
2.4E-4,48
1.4E-4,48
0.00184,24
0.00197,48
0.00373,48
0.00608,48
1E-4,48
1.5E-4,48
5.1E-4,48
5.9E-4,48
0.00369,48
2E-5,48
0.00348,48
4.9E-4,48
0.00184,24
1E-4,48
7.1E-4,48
0.00129,24
5E-5,24
4E-5,48
4.8E-4,24
0.00147,24
8.7E-4,48
0.00257,48
1.2E-4,48
0.00252,48
5E-4,48
3E-5,48
0.00986,48
9.8E-4,48
0.00186,48
0.00302,48
5E-5,48
8E-5,48
2.5E-4,48
2.9E-4,48
0.00184,48
1E-5,48
0.00173,48
2.4E-4,48
7.3E-4,24
4.3E-4,48
3.8E-4,48
0.00379,48
2.5E-4,48
1E-5,48
0.00126,48
0.00491,48
0.01126,24
2E-5,24
0.00437,48
0.00356,48
2.3E-4,48
0.00591,24
2E-5,48
0.00471,48
1.5E-4,48
1.9E-4,24
0.00172,48
7E-4,48
4E-4,48
3.9E-4,48
7E-5,48
1.9E-4,48
0.00188,48
5E-5,48
5.3E-4,48
1E-5,24
0.00559,24
0.00216,48
3.1E-4,48
9E-5,48
0.0036,48
7.6E-4,48
0.00177,48
1.1E-4,48
0.00294,24
3E-5,48
1.9E-4,48
2E-4,48
3.5E-4,48
8.6E-4,48
1E-5,48
0.00234,48
1E-4,24
7E-5,48
0.00215,48
0.00131,48
0.00135,24
2E-5,48
2.6E-4,48
0.00405,48
5.5E-4,48
0.00267,48
3.1E-4,48
3.4E-4,48
1.6E-4,48
4E-5,48
0.00179,48
3.8E-4,48
2.8E-4,24
2.3E-4,48
6.1E-4,24
0.00106,48
6.5E-4,48
6.7E-4,24
0.00434,48
0.00195,48
0.00123,48
1E-5,48
0.00102,48
0.00201,48
2.7E-4,48
1.5E-4,48
0.00133,48
1.7E-4,48
1.4E-4,24
1.2E-4,48
3E-4,24
0.00469,24
3.2E-4,48
0.00169,48
3E-5,48
0.0036,48
8E-4,48
6.4E-4,48
1E-5,12
0.00216,48
9.7E-4,48
6.1E-4,48
1E-5,48
5.1E-4,48
1.7E-4,24
0.0032,48
0.00144,24
6.8E-4,48
0.00137,48
0.00167,48
4.8E-4,48
1E-5,48
2.4E-4,48
3E-5,24
0.00233,24
1.6E-4,48
8.4E-4,48
1E-5,48
0.00179,48
4E-4,48
3.2E-4,48
1E-5,12
0.00432,48
1E-4,48
5.3E-4,48
8E-5,24
0.00158,48
7.2E-4,24
3.4E-4,48
6.8E-4,48
6.6E-4,48
0.00224,24
4.1E-4,24
6E-5,48
0.00131,48
0.00383,48
0.0028,48
8.3E-4,48
2.4E-4,48
0,48
2E-5,24
1.2E-4,48
0.00215,48
5E-5,48
2.6E-4,48
0.00489,48
6.3E-4,48
7E-5,48
9.5E-4,48
1.7E-4,48
1.7E-4,48
0.00409,48
3.3E-4,48
0.00111,24
2E-4,24
3E-5,48
6.5E-4,48
0.0019,48
0.0014,48
5.5E-4,48
0.00139,48
0.00109,24
4.6E-4,48
9.3E-4,24
0.00243,48
3.2E-4,48
4E-5,48
4.7E-4,48
9E-5,48
8E-5,48
0.00203,48
1.8E-4,48
0.00256,24
3.3E-4,6
0.00199,48
0.00392,24
2.7E-4,48
2.1E-4,48
0.00207,48
3.1E-4,24
2.8E-4,24
3E-5,48
8.8E-4,48
3.8E-4,48
0.00176,48
6.9E-4,48
5.4E-4,24
2.3E-4,48
4.6E-4,24
0.00348,24
0.00378,48
3.5E-4,24
9E-5,48
0.00127,24
1.6E-4,6
9.9E-4,48
0.00195,24
0,48
0.00499,48
0.0012,48
0.00138,48
0.00393,48
0.00101,48
1E-4,48
1E-4,48
0.00103,48
1.5E-4,24
1.4E-4,24
2E-5,48
4.4E-4,48
1.9E-4,48
8.8E-4,48
0.00529,48
0.00235,24
6E-5,48
0.00173,24
0.00188,48
1.7E-4,24
5E-5,48
3.4E-4,48
0,48
3.5E-4,48
0,48
0.00248,48
6E-4,48
6.9E-4,48
0.00195,48
5E-4,48
5E-5,48
1E-4,24
2.3E-4,24
0.00262,48
0.00116,24
3E-5,48
2E-5,48
7.2E-4,48
4E-4,24
0.00138,48
0.00276,48
0.00521,48
3.3E-4,48
0.00419,24
0.00328,48
1E-5,48
3E-5,48
1.7E-4,48
0,48
1.7E-4,48
4.7E-4,48
0.00174,24
0.00185,48
5E-5,24
1.1E-4,24
1.4E-4,48
0.00866,48
1.9E-4,24
0.00362,24
4.2E-4,24
0.00172,24
1E-5,48
3.6E-4,48
2E-4,24
6.9E-4,48
0.00137,48
0.00259,48
1.6E-4,48
0.00208,24
0.00163,48
1E-5,48
0.0028,48
3.9E-4,48
8E-5,48
2E-5,48
0.00119,48
8.6E-4,24
2.3E-4,48
9.2E-4,48
6E-5,48
0.00146,48
4.7E-4,24
2E-5,48
3.7E-4,48
7E-5,48
0.0043,48
9E-5,24
0.0018,24
2.1E-4,24
8.5E-4,24
0.00139,48
1.9E-4,48
4E-5,48
1E-5,48
5.9E-4,48
0.00132,48
0.00135,48
0.00134,48
1E-5,48
0.00275,48
0.00192,48
0.00147,48
4E-5,48
1.5E-4,48
0,48
3E-5,48
7.3E-4,48
2.3E-4,24
1E-5,48
1.8E-4,48
3.1E-4,24
9.3E-4,48
0.00427,48
9.2E-4,48
1.6E-4,48
9.8E-4,48
0.00455,48
6.5E-4,48
6.7E-4,48
6.7E-4,48
0,48
0.00136,48
9.5E-4,48
7.3E-4,48
2E-5,48
7E-5,48
0,48
2E-5,48
1.4E-4,24
0.0061,24
9.5E-4,48
1.5E-4,24
4.7E-4,48
1.5E-4,48
1.1E-4,48
0.00145,24
5E-5,48
0.002,48
8.9E-4,48
4.6E-4,48
0.00212,48
4.6E-4,48
8E-5,48
4.9E-4,48
0.00226,48
3E-5,48
1.9E-4,48
0,24
9.5E-4,48
0.00788,48
7E-5,24
1E-5,48
0.00303,24
4.7E-4,48
0.00244,48
2E-5,48
6.4E-4,48
0.00231,48
2.3E-4,48
8E-5,48
5E-5,48
7.2E-4,24
2E-5,48
9.9E-4,48
4.4E-4,48
0.00326,48
2E-5,48
1E-4,48
0,24
4.7E-4,48
0.00391,48
0.00284,48
9.2E-4,48
3.3E-4,48
0.00121,48
1E-5,48
3.2E-4,48
0.00115,48
0.00456,24
2.3E-4,48
0.00162,48
0.00255,48
0.00139,48
0.00141,24
5.2E-4,48
0.00171,24
0.00141,48
4.6E-4,48
1.6E-4,48
1E-5,48
0.00694,48
9.1E-4,48
0.00226,24
1.1E-4,48
4.9E-4,48
2.2E-4,24
1.2E-4,48
7E-4,48
7.4E-4,48
2.6E-4,48
8E-5,48
8.5E-4,48
2.7E-4,48
1E-5,48
0,48
0.00127,48
6.9E-4,48
7E-4,24
2.6E-4,48
8.5E-4,24
3.7E-4,48
2.5E-4,48
1E-5,48
0.00344,48
4.5E-4,48
0.00101,48
3.7E-4,48
5.1E-4,48
3.2E-4,48
0.00157,48
0.00114,48
5E-5,48
0.00933,24
2.4E-4,48
6E-5,48
1.1E-4,24
3.4E-4,48
3.7E-4,48
1.3E-4,48
4E-5,48
4.3E-4,48
1.4E-4,48
1E-5,48
0,48
1.9E-4,48
1.3E-4,48
8.7E-4,48
0.00207,48
1E-5,48
0.01336,48
5E-4,48
1.8E-4,48
2.5E-4,48
1.6E-4,48
7.8E-4,48
5.7E-4,48
2E-5,48
0.00464,24
4E-5,48
0.00644,48
0.00132,48
1.4E-4,48
0.00229,48
8.4E-4,48
8E-5,24
6.7E-4,24
4.4E-4,48
0.00103,48
1E-5,48
0.00664,48
0.0032,48
7E-5,24
2.1E-4,24
6.9E-4,48
0.00127,48
0.00174,48
2.3E-4,48
4.3E-4,48
7.9E-4,48
7E-5,48
2E-5,48
0.0032,48
6.5E-4,48
7E-5,48
0.00114,48
4.2E-4,48
4E-5,24
3.3E-4,24
1.8E-4,24
5.2E-4,48
0.00366,48
3.8E-4,12
0.00159,48
4E-5,24
1E-4,24
3.5E-4,48
7.6E-4,48
9.7E-4,24
0.00722,48
1.8E-4,24
8.7E-4,48
6.3E-4,48
1.2E-4,48
2.2E-4,48
3.9E-4,48
4E-5,48
7.5E-4,8
1.6E-4,48
0.00163,24
0.00145,24
9E-5,24
2.6E-4,48
0.00182,48
1.9E-4,12
0.00145,48
0.00107,48
0.00748,48
4E-5,48
0.00433,48
0.00138,48
0.00113,48
0.00205,48
2.6E-4,48
3.8E-4,48
4.8E-4,24
0.00359,48
9E-5,24
0.00228,48
1.3E-4,24
3.7E-4,8
8E-5,48
8E-4,24
7.2E-4,24
0.00172,24
0,24
2E-5,48
2E-5,48
2E-5,48
0.00107,48
0.00209,48
7.2E-4,48
5.3E-4,48
0.00372,48
2E-5,48
0.00215,48
6.8E-4,48
5.6E-4,48
0.00102,48
1.3E-4,48
0.0019,48
3.4E-4,48
9.8E-4,48
0.00266,24
0.00113,48
7E-5,24
0,48
0.00144,24
8E-5,48
8.6E-4,24
0,24
1E-5,48
1E-5,48
1E-5,48
5.3E-4,48
0.00104,48
3E-4,24
0.00898,48
0.00226,48
0.00115,24
9.4E-4,48
1.7E-4,48
4.9E-4,48
0.00132,24
6.2E-4,48
1.4E-4,48
6.9E-4,48
5.2E-4,48
0.00239,48
0.00233,24
0.00173,48
9.8E-4,48
0.00137,24
9.3E-4,48
0.00139,48
2E-5,48
0,48
7.2E-4,24
4E-5,48
1.5E-4,24
0.00446,48
0.00113,48
5.7E-4,24
1.6E-4,48
8E-5,48
0.00387,48
8.8E-4,48
4E-5,48
0.00335,48
0.00167,48
5.4E-4,48
0.00355,48
3.1E-4,48
7E-5,48
3.4E-4,48
2.6E-4,48
0.00119,48
0.00116,24
8.6E-4,48
4.8E-4,48
6.8E-4,24
4.6E-4,48
6.9E-4,48
1E-5,48
3.8E-4,48
3.9E-4,48
1E-5,48
1.9E-4,48
0.00167,48
0.0058,48
8E-5,48
2E-5,48
4E-5,48
0.00193,48
4.4E-4,48
0.00167,48
8.3E-4,48
2.7E-4,48
0.00176,48
5E-5,24
0,24
1.1E-4,48
0.00216,48
1.9E-4,48
2E-4,48
2.3E-4,48
0.00284,48
0.00191,48
6E-4,48
7.8E-4,48
5E-5,48
5E-5,24
1E-5,48
9E-5,48
8.3E-4,48
0.00288,48
1E-3,48
0.00832,24
0.00158,48
0,24
2E-5,24
0,24
5E-5,48
0.00107,48
4E-4,48
0.00244,48
1E-5,48
0.00166,48
1.1E-4,48
0.00141,48
9.5E-4,48
3E-4,48
3.9E-4,48
3E-5,48
3E-5,24
0.00205,48
0.00756,48
0.00498,24
0.00174,48
5E-4,48
0.00414,24
7.9E-4,48
0,24
2E-5,48
9.4E-4,48
8.3E-4,48
2.5E-4,48
4.4E-4,48
2E-4,48
0.00122,48
0,48
8.3E-4,48
0.00378,48
0.00101,48
0.00247,24
8.6E-4,48
1.3E-4,48
1.4E-4,48
0.00134,48
0.00271,24
0.00172,24
3.4E-4,48
0.00117,48
5.3E-4,48
1E-5,48
4.7E-4,48
4.1E-4,48
1.2E-4,48
2.2E-4,48
2.1E-4,48
1E-4,48
0.00233,48
0.00447,48
0.0038,48
2.8E-4,24
7E-5,48
0.00385,48
1E-5,48
7E-5,48
7E-5,48
6.6E-4,48
0.00135,24
8.6E-4,24
1.7E-4,48
5.8E-4,48
2.7E-4,48
8.3E-4,48
0.0112,48
0.0052,48
5E-5,48
1.1E-4,48
5E-5,48
0.0091,24
0.00318,48
0.00213,48
6E-5,48
5E-5,48
0.00116,48
0.00222,48
0.00189,48
1.4E-4,24
3E-5,48
0.00192,48
1E-5,48
4.1E-4,48
0.00258,48
0.00558,48
3E-5,48
1E-5,48
4E-5,48
1.2E-4,48
6.5E-4,48
2.4E-4,48
0.00114,48
1.8E-4,48
0.015,48
0.00158,48
2E-5,48
0.00454,24
0.00106,48
3E-5,48
8E-5,6
0.00127,48
0.00316,48
2.5E-4,24
8E-5,48
9.1E-4,48
5E-5,48
1.9E-4,24
0.00178,24
7.8E-4,48
0.00152,24
1E-5,48
2E-5,48
6E-5,48
3.2E-4,48
1.2E-4,48
5.7E-4,48
9E-5,48
0.00748,48
0,48
4.4E-4,48
6.7E-4,48
8.7E-4,24
7.3E-4,24
4E-5,6
0.00186,48
5E-5,48
1.9E-4,48
6.3E-4,48
0.00158,48
1.3E-4,24
4E-5,48
4.5E-4,48
2E-5,48
9E-5,24
8.8E-4,24
3.9E-4,48
7.6E-4,24
0.00113,24
0.00188,48
0.00527,24
0,48
2.2E-4,48
3.3E-4,48
4.3E-4,24
3.6E-4,24
3.9E-4,48
2.6E-4,48
0.00217,48
8.7E-4,48
0.00193,48
0.00489,48
5.9E-4,48
0.00817,48
0.00251,48
5E-5,48
0.00106,48
9.3E-4,48
3E-5,48
9E-5,48
5E-5,48
1.1E-4,48
5.6E-4,24
9.4E-4,48
0.00262,24
9.9E-4,48
8.6E-4,48
6E-5,48
1.3E-4,48
0.00108,48
2E-4,48
4.3E-4,48
9.6E-4,48
0.00243,48
3E-4,48
0.00407,48
0.00125,48
2E-5,48
5.3E-4,48
6E-5,24
0.00793,48
0.00362,24
3E-5,48
6E-5,48
0.00102,48
0.00135,48
1.2E-4,24
2E-4,24
4.9E-4,48
4.3E-4,48
3E-5,48
0.00369,48
2.2E-4,48
2.7E-4,24
2.2E-4,48
0.01365,48
3E-5,24
0.00394,48
0.00181,24
1.2E-4,48
4.1E-4,24
0.00296,48
6E-5,48
0.00179,48
4.6E-4,48
0.00285,48
2.7E-4,48
4.4E-4,48
5.4E-4,48
0.00149,48
5E-4,48
6.7E-4,48
6E-5,24
1E-4,24
5.8E-4,24
3E-5,48
0.00184,48
1.1E-4,48
1.3E-4,24
1.1E-4,48
0.0068,48
0.00269,48
2.3E-4,48
3.4E-4,48
4.9E-4,48
0,48
0.0076,48
1.9E-4,48
6E-5,48
2E-4,24
0.00147,48
3E-5,48
8.9E-4,48
2.3E-4,48
0.00142,48
1.4E-4,48
2.2E-4,48
2.7E-4,48
7.4E-4,48
2.9E-4,24
1E-5,48
2.2E-4,48
5.9E-4,48
0.00114,48
9E-5,48
0.00134,48
1.2E-4,48
1.7E-4,48
2.4E-4,48
0,48
0.00378,48
1E-4,48
8.4E-4,24
0.00162,48
6.7E-4,24
0.00137,48
4.5E-4,48
0.00134,12
4E-4,48
8E-4,48
2.2E-4,48
4.9E-4,48
1.1E-4,48
3E-4,48
5.7E-4,48
5E-5,48
4.9E-4,48
0.00492,24
4.9E-4,24
4.2E-4,24
8.1E-4,48
3.3E-4,24
1.9E-4,48
0.00298,24
0.00341,48
6.5E-4,24
0.00751,48
1.8E-4,24
3E-5,48
0.00736,48
1.2E-4,48
6.8E-4,48
2.3E-4,48
6.7E-4,12
2E-4,48
4E-4,48
1.1E-4,48
2.4E-4,48
1.8E-4,48
1.2E-4,48
0.00129,48
0.00828,48
7E-5,48
2.4E-4,48
0.00245,24
2.4E-4,24
2.8E-4,48
0.0028,48
0.00177,48
0.00404,24
0.00223,48
0.00366,24
9E-5,48
0.00148,24
0.0017,48
3.2E-4,24
0.00374,48
9E-5,24
2E-5,48
0.00366,48
6E-5,48
3.5E-4,24
0.01338,24
9E-5,48
6E-5,48
6.4E-4,48
0.00412,48
3E-5,48
0.00582,48
0,48
6.5E-4,48
4E-5,48
3.2E-4,48
1.8E-4,48
0.00425,48
0.00621,48
0.00124,48
1.4E-4,48
0.00139,48
8.8E-4,48
0.00202,24
0.00111,48
0.00182,24
7E-5,24
1.7E-4,24
0.00666,24
1E-5,48
0.00322,48
0.00252,48
0.00161,24
4.3E-4,48
3.3E-4,48
1.8E-4,48
7.6E-4,24
0,48
0.0029,48
0,48
3.2E-4,48
2E-5,48
9E-5,48
1.6E-4,48
0.00211,48
0.00309,48
6.1E-4,48
0.00756,48
0.00274,48
0.0073,24
0.00354,48
0.0016,48
0.00203,48
3E-5,24
2E-5,48
0.00249,24
0.00174,48
0.00342,48
1.4E-4,48
0,48
0.0016,48
0.00125,48
8E-4,24
2.1E-4,48
1.7E-4,48
9E-5,48
3.8E-4,24
0,48
2E-5,48
0.0091,48
1.4E-4,48
7E-5,48
0.00376,48
0.00136,48
0.00363,24
0.00176,48
8E-4,48
0.00101,48
0.00149,48
1E-5,24
1.4E-4,48
0.00382,48
2.3E-4,48
0.00496,48
1E-5,48
0.00124,24
8.7E-4,48
0.00171,48
7E-5,48
1E-5,48
0.00453,48
7E-5,48
4E-5,48
0.00254,48
4.4E-4,48
1.8E-4,48
0.00486,48
3E-5,48
9E-5,48
2.4E-4,48
7.4E-4,48
1E-5,24
7E-5,48
0.0019,48
1.2E-4,48
0.00247,48
7E-5,24
2.4E-4,24
7.5E-4,48
0,48
0.00771,24
1E-5,24
0.00126,48
2.2E-4,48
9E-5,48
0.00242,48
1E-5,48
4E-5,48
1.2E-4,48
8E-5,48
0.00676,48
3E-5,24
1.2E-4,24
6E-5,48
1E-3,48
0.00105,24
1.7E-4,48
6.8E-4,48
0.01043,48
0.0013,48
3.7E-4,48
0,48
0.00384,24
0,24
0.00158,24
6.8E-4,48
3.7E-4,48
0.0025,24
0.00336,48
4E-5,48
3.9E-4,48
7.9E-4,48
0.00373,48
2.7E-4,48
0.00125,48
0.00172,48
0.00164,48
0.00167,24
9E-5,48
5.2E-4,24
3E-5,48
5E-4,48
3.4E-4,48
0.00519,48
6.5E-4,48
2.8E-4,48
0.00659,48
7.1E-4,24
7.9E-4,24
3.4E-4,48
1.8E-4,48
0.00125,24
7.1E-4,48
0.00659,48
1E-4,48
0.00162,48
0.00156,48
1.9E-4,48
3.9E-4,48
0.00186,48
1.4E-4,48
6.3E-4,48
8.6E-4,48
8.1E-4,48
8.3E-4,24
7.7E-4,48
2.1E-4,48
1.4E-4,48
3.6E-4,24
0.00327,48
4.4E-4,48
0.00144,48
0.00141,48
2E-5,48
1E-5,48
1.7E-4,48
0.00253,48
1E-5,48
1E-5,48
