Chan	Prompt	Decay	Fit	Residuals
1125	1	96	0	0
1126	0	90	0	0
1127	0	106	0	0
1128	0	84	0	0
1129	0	94	0	0
1130	0	88	0	0
1131	1	118	0	0
1132	1	88	0	0
1133	0	89	0	0
1134	0	75	0	0
1135	0	91	0	0
1136	0	77	0	0
1137	0	94	0	0
1138	0	75	0	0
1139	0	84	0	0
1140	1	69	0	0
1141	0	95	0	0
1142	0	84	0	0
1143	1	84	0	0
1144	0	86	0	0
1145	0	102	0	0
1146	0	71	0	0
1147	0	89	0	0
1148	0	63	0	0
1149	1	76	0	0
1150	1	72	0	0
1151	0	81	0	0
1152	0	97	0	0
1153	0	85	0	0
1154	0	80	0	0
1155	1	76	0	0
1156	0	73	0	0
1157	1	71	0	0
1158	0	70	0	0
1159	1	65	0	0
1160	0	72	0	0
1161	0	83	0	0
1162	1	69	0	0
1163	1	72	0	0
1164	0	83	0	0
1165	1	74	0	0
1166	1	71	0	0
1167	0	75	0	0
1168	0	73	0	0
1169	0	79	0	0
1170	0	71	0	0
1171	0	72	0	0
1172	0	68	0	0
1173	0	70	0	0
1174	0	69	0	0
1175	0	53	0	0
1176	1	64	0	0
1177	0	63	0	0
1178	0	59	0	0
1179	0	79	0	0
1180	0	65	0	0
1181	0	80	0	0
1182	0	75	0	0
1183	0	61	0	0
1184	0	66	0	0
1185	0	70	0	0
1186	1	59	0	0
1187	0	62	0	0
1188	0	64	0	0
1189	0	73	0	0
1190	0	61	0	0
1191	0	55	0	0
1192	1	47	0	0
1193	0	59	0	0
1194	1	60	0	0
1195	1	70	0	0
1196	1	65	0	0
1197	0	51	0	0
1198	0	61	0	0
1199	0	72	0	0
1200	0	57	0	0
1201	0	59	0	0
1202	0	68	0	0
1203	1	55	0	0
1204	0	51	0	0
1205	0	58	0	0
1206	1	67	0	0
1207	0	53	0	0
1208	0	58	0	0
1209	0	60	0	0
1210	0	55	0	0
1211	2	62	0	0
1212	1	75	0	0
1213	0	51	0	0
1214	0	52	0	0
1215	1	51	0	0
1216	0	69	0	0
1217	0	64	0	0
1218	2	48	0	0
1219	1	58	0	0
1220	0	75	0	0
1221	1	63	0	0
1222	1	48	0	0
1223	1	61	0	0
1224	0	63	0	0
1225	0	62	0	0
1226	0	55	0	0
1227	0	68	0	0
1228	0	48	0	0
1229	0	50	0	0
1230	0	59	0	0
1231	0	59	0	0
1232	0	34	0	0
1233	0	65	0	0
1234	0	54	0	0
1235	0	45	0	0
1236	1	60	0	0
1237	0	47	0	0
1238	1	41	0	0
1239	0	63	0	0
1240	1	51	0	0
1241	0	48	0	0
1242	0	52	0	0
1243	0	55	0	0
1244	0	49	0	0
1245	1	59	0	0
1246	0	48	0	0
1247	0	62	0	0
1248	1	50	0	0
1249	0	45	0	0
1250	1	52	0	0
1251	0	60	0	0
1252	1	38	0	0
1253	0	61	0	0
1254	1	54	0	0
1255	0	53	0	0
1256	0	54	0	0
1257	1	45	0	0
1258	0	48	0	0
1259	1	58	0	0
1260	0	39	0	0
1261	1	52	0	0
1262	0	39	0	0
1263	0	45	0	0
1264	0	59	0	0
1265	1	50	0	0
1266	0	61	0	0
1267	0	39	0	0
1268	1	47	0	0
1269	1	50	0	0
1270	0	62	0	0
1271	0	67	0	0
1272	1	48	0	0
1273	0	44	0	0
1274	1	47	0	0
1275	1	44	0	0
1276	1	59	0	0
1277	1	47	0	0
1278	1	42	0	0
1279	0	40	0	0
1280	0	35	0	0
1281	0	46	0	0
1282	0	47	0	0
1283	2	62	0	0
1284	0	41	0	0
1285	0	44	0	0
1286	0	40	0	0
1287	0	29	0	0
1288	2	55	0	0
1289	0	36	0	0
1290	0	43	0	0
1291	0	34	0	0
1292	1	34	0	0
1293	0	35	0	0
1294	1	33	0	0
1295	1	38	0	0
1296	0	40	0	0
1297	0	38	0	0
1298	1	35	0	0
1299	0	38	0	0
1300	0	48	0	0
1301	0	33	0	0
1302	2	35	0	0
1303	2	46	0	0
1304	2	37	0	0
1305	1	45	0	0
1306	0	38	0	0
1307	0	51	0	0
1308	0	34	0	0
1309	0	41	0	0
1310	1	47	0	0
1311	0	37	0	0
1312	0	36	0	0
1313	0	36	0	0
1314	1	40	0	0
1315	0	36	0	0
1316	0	45	0	0
1317	2	37	0	0
1318	0	37	0	0
1319	0	38	0	0
1320	2	39	0	0
1321	0	33	0	0
1322	0	41	0	0
1323	1	33	0	0
1324	1	29	0	0
1325	2	30	0	0
1326	0	37	0	0
1327	2	38	0	0
1328	1	35	0	0
1329	0	31	0	0
1330	2	24	0	0
1331	0	31	0	0
1332	2	42	0	0
1333	0	32	0	0
1334	0	28	0	0
1335	0	28	0	0
1336	2	35	0	0
1337	0	27	0	0
1338	1	41	0	0
1339	1	33	0	0
1340	1	47	0	0
1341	0	34	0	0
1342	0	24	0	0
1343	0	32	0	0
1344	1	32	0	0
1345	2	35	0	0
1346	2	35	0	0
1347	1	39	0	0
1348	2	40	0	0
1349	0	26	0	0
1350	0	37	0	0
1351	0	31	0	0
1352	0	35	0	0
1353	0	27	0	0
1354	0	33	0	0
1355	0	32	0	0
1356	0	21	0	0
1357	2	39	0	0
1358	0	34	0	0
1359	1	30	0	0
1360	1	37	0	0
1361	0	31	0	0
1362	1	31	0	0
1363	1	31	0	0
1364	0	25	0	0
1365	0	30	0	0
1366	1	23	0	0
1367	1	30	0	0
1368	0	27	0	0
1369	1	35	0	0
1370	1	34	0	0
1371	0	26	0	0
1372	1	33	0	0
1373	0	25	0	0
1374	2	31	0	0
1375	1	26	0	0
1376	0	32	0	0
1377	0	43	0	0
1378	1	26	0	0
1379	1	21	0	0
1380	0	24	0	0
1381	0	23	0	0
1382	1	31	0	0
1383	0	30	0	0
1384	0	37	0	0
1385	2	22	0	0
1386	2	20	0	0
1387	3	21	0	0
1388	1	26	0	0
1389	1	23	0	0
1390	1	33	0	0
1391	1	21	0	0
1392	1	30	0	0
1393	0	25	0	0
1394	0	23	0	0
1395	1	34	0	0
1396	1	31	0	0
1397	1	29	0	0
1398	0	33	0	0
1399	1	36	0	0
1400	0	26	0	0
1401	0	29	0	0
1402	1	27	0	0
1403	0	22	0	0
1404	2	26	0	0
1405	4	28	0	0
1406	1	31	0	0
1407	2	22	0	0
1408	0	21	0	0
1409	1	26	0	0
1410	0	28	0	0
1411	0	28	0	0
1412	1	26	0	0
1413	4	27	0	0
1414	0	28	0	0
1415	0	32	0	0
1416	0	28	0	0
1417	1	23	0	0
1418	1	27	0	0
1419	0	28	0	0
1420	0	23	0	0
1421	1	22	0	0
1422	2	24	0	0
1423	0	26	0	0
1424	2	30	0	0
1425	0	28	0	0
1426	2	24	0	0
1427	1	21	0	0
1428	2	29	0	0
1429	0	30	0	0
1430	1	21	0	0
1431	0	24	0	0
1432	1	21	0	0
1433	0	17	0	0
1434	0	19	0	0
1435	2	16	0	0
1436	1	19	0	0
1437	0	14	0	0
1438	0	23	0	0
1439	0	22	0	0
1440	0	18	0	0
1441	0	24	0	0
1442	0	25	0	0
1443	0	18	0	0
1444	1	26	0	0
