Chan	Prompt	Decay	Fit	Residuals
286	0	4272	4328.303	-0.7618371
287	0	4313	4307.779	7.026572E-02
288	0	4431	4287.354	1.904425
289	1	4345	4267.024	1.045163
290	0	4325	4246.792	1.050981
291	0	4334	4226.655	1.440854
292	0	4289	4206.614	1.112292
293	0	4178	4186.669	-0.1187633
294	0	4261	4166.818	1.276209
295	0	4106	4147.062	-0.5680105
296	0	4123	4127.399	-6.071119E-02
297	0	4146	4107.83	0.5251741
298	0	4091	4088.354	3.668391E-02
299	0	4017	4068.97	-0.7277334
300	0	3980	4049.679	-0.9807377
301	0	4062	4030.479	0.4386578
302	0	4005	4011.37	-8.935206E-02
303	0	3888	3992.353	-1.487991
304	0	4083	3973.425	1.520515
305	0	3841	3954.588	-1.630652
306	0	3804	3935.84	-1.902874
307	0	3866	3917.181	-0.7321059
308	0	3735	3898.611	-2.385532
309	0	3992	3880.129	1.571971
310	0	3877	3861.735	0.218016
311	0	4016	3843.428	2.416842
312	0	3841	3825.208	0.2267011
313	0	3887	3807.075	1.139832
314	0	3792	3789.028	4.297325E-02
315	0	3832	3771.067	0.8758891
316	0	3810	3753.191	0.8192216
317	0	3791	3735.4	0.8040146
318	0	3795	3717.693	1.117252
319	0	3811	3700.071	1.59943
320	0	3638	3682.532	-0.6588439
321	0	3642	3665.077	-0.3412114
322	0	3733	3647.705	1.244017
323	0	3755	3630.415	1.811139
324	0	3647	3613.207	0.499269
325	0	3723	3596.082	1.853842
326	0	3678	3579.037	1.455283
327	0	3600	3562.073	0.5643827
328	0	3522	3545.191	-0.3493074
329	0	3596	3528.388	1.006751
330	0	3620	3511.666	1.607183
331	0	3611	3495.022	1.722955
332	0	3558	3478.458	1.19138
333	0	3578	3461.972	1.732476
334	0	3503	3445.565	0.8677057
335	0	3524	3429.236	1.426932
336	0	3378	3412.984	-0.5392414
337	0	3409	3396.809	0.1869602
338	0	3346	3380.712	-0.5378601
339	0	3412	3364.691	0.7251991
340	0	3493	3348.746	2.182775
341	1	3329	3332.877	-6.023898E-02
342	0	3315	3317.083	-3.243495E-02
343	0	3249	3301.364	-0.8246484
344	0	3280	3285.72	-8.960695E-02
345	0	3343	3270.15	1.129377
346	0	3151	3254.654	-1.660171
347	0	3178	3239.232	-0.9761266
348	0	3243	3223.883	0.3013667
349	0	3211	3208.607	3.792464E-02
350	0	3305	3193.404	1.74099
351	0	3226	3178.273	0.7545792
352	0	3158	3163.214	-8.340575E-02
353	0	3101	3148.226	-0.7630856
354	0	3191	3133.31	0.9175932
355	0	3048	3118.464	-1.149412
356	0	3089	3103.689	-0.2378598
357	0	3025	3088.985	-1.048069
358	0	3050	3074.35	-0.3970467
359	0	3078	3059.784	0.295536
360	0	3052	3045.288	0.1094056
361	0	2994	3030.861	-0.6072121
362	0	3134	3016.502	1.887511
363	0	3158	3002.212	2.492131
364	0	2944	2987.989	-0.7313668
365	0	2990	2973.834	0.2664981
366	0	3123	2959.746	2.627622
367	0	3005	2945.726	0.9744613
368	0	2930	2931.771	-2.952992E-02
369	0	2954	2917.884	0.5993565
370	0	2933	2904.062	0.4821176
371	0	2865	2890.305	-0.4270546
372	0	3003	2876.615	2.078516
373	0	2907	2862.989	0.7368288
374	0	2950	2849.427	1.670254
375	0	2834	2835.931	-3.278511E-02
376	0	2776	2822.499	-0.7984027
377	0	2868	2809.13	0.9929188
378	0	2802	2795.825	0.105488
379	1	2726	2782.583	-0.981273
380	0	2813	2769.404	0.7431501
381	0	2677	2756.288	-1.388731
382	0	2691	2743.234	-0.9122689
383	0	2723	2730.242	-0.125662
384	0	2764	2717.312	0.803564
385	0	2672	2704.443	-0.5688157
