,MOF-230
-1E-5,8.06193977947456E-4
-9.8E-6,8.06193977947456E-4
-9.6E-6,0.00551209397794744
-9.4E-6,0.00237489397794743
-9.2E-6,0.00394349397794747
-9E-6,0.00708079397794747
-8.8E-6,0.00708079397794747
-8.6E-6,0.00708079397794747
-8.4E-6,0.00864939397794745
-8.2E-6,0.00394349397794747
-8E-6,0.00551209397794744
-7.8E-6,0.00551209397794744
-7.6E-6,0.00708079397794747
-7.4E-6,0.00708079397794747
-7.2E-6,0.00551209397794744
-7E-6,0.00394349397794747
-6.8E-6,0.00237489397794743
-6.6E-6,0.00551209397794744
-6.4E-6,0.00551209397794744
-6.2E-6,0.00708079397794747
-6E-6,0.00708079397794747
-5.8E-6,0.00394349397794747
-5.6E-6,0.00394349397794747
-5.4E-6,-7.62406022052575E-4
-5.2E-6,8.06193977947456E-4
-5E-6,0.00394349397794747
-4.8E-6,0.00864939397794745
-4.6E-6,0.00708079397794747
-4.4E-6,0.00394349397794747
-4.2E-6,0.00551209397794744
-4E-6,0.00394349397794747
-3.8E-6,0.00394349397794747
-3.6E-6,0.00394349397794747
-3.4E-6,-7.62406022052575E-4
-3.2E-6,0.00551209397794744
-3E-6,0.00864939397794745
-2.8E-6,0.00864939397794745
-2.6E-6,0.00551209397794744
-2.4E-6,0.00551209397794744
-2.2E-6,0.00237489397794743
-2E-6,8.06193977947456E-4
-1.8E-6,0.00394349397794747
-1.6E-6,0.00864939397794745
-1.4E-6,0.00551209397794744
-1.2E-6,0.00708079397794747
-1E-6,0.00394349397794747
-8E-7,0.00708079397794747
-6E-7,0.00708079397794747
-4E-7,0.00708079397794747
-2E-7,0.00394349397794747
-1.270549E-21,0.00551209397794744
2E-7,0.116884893977947
4E-7,0.298845893977947
6E-7,0.298845893977947
8E-7,0.298845893977947
1E-6,0.298845893977947
1.2E-6,0.298845893977947
1.4E-6,0.298845893977947
1.6E-6,0.298845893977947
1.8E-6,0.295708693977947
2E-6,0.245512493977948
2.2E-6,0.185904593977947
2.4E-6,0.154531993977947
2.6E-6,0.132571193977947
2.8E-6,0.124727993977947
3E-6,0.121590793977947
3.2E-6,0.112178993977947
3.4E-6,0.109041693977947
3.6E-6,0.105904493977947
3.8E-6,0.104335793977947
4E-6,0.0964926939779475
4.2E-6,0.0933553939779475
4.4E-6,0.0917867939779474
4.6E-6,0.0902181939779474
4.8E-6,0.0855122939779475
5E-6,0.0823749939779475
5.2E-6,0.0792376939779474
5.4E-6,0.0745318939779475
5.6E-6,0.0761004939779474
5.8E-6,0.0745318939779475
6E-6,0.0761004939779474
6.2E-6,0.0666886939779475
6.4E-6,0.0666886939779475
6.6E-6,0.0651200939779474
6.8E-6,0.0682572939779474
7E-6,0.0635513939779475
7.2E-6,0.0635513939779475
7.4E-6,0.0588455939779475
7.6E-6,0.0541396939779474
7.8E-6,0.0572768939779474
8E-6,0.0525709939779475
8.2E-6,0.0510023939779474
8.4E-6,0.0510023939779474
8.6E-6,0.0447278939779475
8.8E-6,0.0415905939779475
9E-6,0.0415905939779475
9.2E-6,0.0462964939779474
9.4E-6,0.0447278939779475
9.6E-6,0.0431592939779474
9.8E-6,0.0415905939779475
1E-5,0.0447278939779475
1.02E-5,0.0384533939779474
1.04E-5,0.0431592939779474
1.06E-5,0.0415905939779475
1.08E-5,0.0415905939779475
1.1E-5,0.0415905939779475
1.12E-5,0.0384533939779474
1.14E-5,0.0337474939779475
1.16E-5,0.0353160939779474
1.18E-5,0.0400219939779474
