No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
382,13.9159,-17.0489, , ,195.2635,120.8123
383,13.9419,37.9365, , ,195.2635,121.0020
384,13.9679,-84.1693, , ,195.2635,120.4586
385,13.9939,-76.0212, , ,195.2635,120.4546
386,14.0199,-16.9277, , ,195.2635,120.6619
387,14.0459,76.8409, , ,195.2635,121.0122
388,14.0719,22.2108, , ,195.2635,120.7485
389,14.0979,-9.4883, , ,195.2635,120.5610
390,14.1239,-125.3248, , ,195.2635,120.0232
391,14.1499,-201.7760, , ,195.2635,119.6476
392,14.1759,20.6491, , ,195.2635,120.5173
393,14.2019,2.1736, , ,195.2635,120.3844
394,14.2279,-9.3030, , ,195.2635,120.2804
395,14.2539,-34.6979, , ,195.2635,120.1183
396,14.2799,9.3863, , ,195.2635,120.2453
397,14.3059,4.5866, , ,195.2635,120.1690
398,14.3319,-2.8186, , ,195.2635,120.0902
399,14.3579,32.8945, , ,195.2635,120.1910
400,14.3839,-79.1985, , ,195.2635,119.6756
401,14.4099,75.8721, , ,195.2635,120.2739
402,14.4359,13.2514, , ,195.2635,119.9653
403,14.4619,51.5143, , ,195.2635,120.0768
404,14.4879,138.7360, , ,195.2635,120.3916
405,14.5139,434.5857, , ,195.2635,121.5667
406,14.5399,533.1628, , ,195.2635,121.9243
407,14.5659,985.9585, , ,195.2635,123.6628
408,14.5919,1229.6940, , ,195.2635,124.5408
409,14.6179,1772.2000, , ,195.2635,126.5981
410,14.6439,2724.1280, , ,195.2635,130.2043
411,14.6699,3528.7080, , ,195.2635,133.1612
412,14.6959,4710.9480, , ,195.2635,137.4348
413,14.7219,5536.5370, , ,195.2635,140.3142
414,14.7479,6159.5840, , ,195.2635,142.4264
415,14.7739,6017.9290, , ,195.2635,141.8372
416,14.7999,5364.5570, , ,195.2635,139.4224
417,14.8259,4449.3060, , ,195.2635,136.0056
418,14.8519,3416.5910, , ,195.2635,132.0567
419,14.8779,2382.5930, , ,195.2635,127.9810
420,14.9039,1680.2550, , ,195.2635,125.1038
421,14.9299,1153.1530, , ,195.2635,122.8740
422,14.9559,686.9192, , ,195.2635,120.8551
423,14.9819,420.1095, , ,195.2635,119.6383
424,15.0079,326.5448, , ,195.2635,119.1382
425,15.0339,272.7629, , ,195.2635,118.7434
426,15.0599,355.0366, , ,195.2635,118.9206
427,15.0859,150.7434, , ,195.2635,117.8883
428,15.1119,167.3558, , ,195.2635,117.7885
429,15.1379,164.0475, , ,195.2635,117.6038
430,15.1639,-14.5256, , ,195.2635,116.6702
431,15.1899,-179.8518, , ,195.2635,115.7862
432,15.2159,-79.5869, , ,195.2635,116.0455
433,15.2419,30.8635, , ,195.2635,116.3480
434,15.2679,100.7801, , ,195.2635,116.6765
435,15.2939,122.1180, , ,195.2635,116.7963
436,15.3199,34.3199, , ,195.2635,116.4482
437,15.3459,163.6405, , ,195.2635,117.0305
438,15.3719,275.3586, , ,195.2635,117.5350
439,15.3979,231.6731, , ,195.2635,117.3773
440,15.4239,365.0426, , ,195.2635,117.9721
441,15.4499,523.3132, , ,195.2635,118.6689
442,15.4759,650.7605, , ,195.2635,119.2325
443,15.5019,979.0443, , ,195.2635,120.5622
444,15.5279,1548.2700, , ,195.2635,122.8619
445,15.5539,2053.7500, , ,195.2635,124.8643
446,15.5799,2579.6940, , ,195.2635,126.9158
447,15.6059,2903.9020, , ,195.2635,128.1499
448,15.6319,2998.7550, , ,195.2635,128.4828
449,15.6579,2938.9040, , ,195.2635,128.2130
450,15.6839,2528.0320, , ,195.2635,126.5633
451,15.7099,1929.2110, , ,195.2635,124.1371
452,15.7359,1297.2780, , ,195.2635,121.5264
453,15.7619,990.4360, , ,195.2635,120.2181
454,15.7879,763.5079, , ,195.2635,119.2311
455,15.8139,445.3058, , ,195.2635,117.8492
456,15.8399,292.8265, , ,195.2635,117.1602
457,15.8659,121.1694, , ,195.2635,116.3849
458,15.8919,51.7979, , ,195.2635,116.0459
459,15.9179,39.4981, , ,195.2635,115.9522
460,15.9439,-5.6691, , ,195.2635,115.7166
461,15.9699,24.5554, , ,195.2635,115.7502
462,15.9959,-24.7173, , ,195.2635,115.4400
463,16.0219,-21.0629, , ,195.2635,115.3586
464,16.0479,27.2809, , ,195.2635,115.4708
465,16.0739,-12.1876, , ,195.2635,115.2024
466,16.0999,-7.5791, , ,195.2635,115.1250
467,16.1259,-32.2394, , ,195.2635,114.9202
468,16.1519,-37.1423, , ,195.2635,114.8011
469,16.1779,-35.1971, , ,195.2635,114.7118
470,16.2039,62.5590, , ,195.2635,115.1033
471,16.2299,37.6073, , ,195.2635,114.9611
472,16.2559,-77.8828, , ,195.2635,114.4237
473,16.2819,-103.0664, , ,195.2635,114.2796
474,16.3079,-16.6984, , ,195.2635,114.6229
475,16.3339,-21.5452, , ,195.2635,114.5678
476,16.3599,24.2360, , ,195.2635,114.7336
477,16.3859,-20.9264, , ,195.2635,114.5026
478,16.4119,-52.3573, , ,195.2635,114.3313
479,16.4379,66.2714, , ,195.2635,114.8039
480,16.4639,72.6831, , ,195.2635,114.7868
481,16.4899,129.7383, , ,195.2635,114.9902
482,16.5159,312.4309, , ,195.2635,115.7372
483,16.5419,207.8413, , ,195.2635,115.2396
484,16.5679,274.0488, , ,195.2635,115.4818
485,16.5939,292.8500, , ,195.2635,115.5185
486,16.6199,334.8015, , ,195.2635,115.6552
487,16.6459,244.6156, , ,195.2635,115.2199
488,16.6719,187.4289, , ,195.2635,114.9265
489,16.6979,193.3454, , ,195.2635,114.9073
490,16.7239,2.9906, , ,195.2635,114.0307
491,16.7499,-107.7387, , ,195.2635,113.4986
492,16.7759,-18.0737, , ,195.2635,113.8475
493,16.8019,88.7453, , ,195.2635,114.2705
494,16.8279,37.3378, , ,195.2635,114.0000
495,16.8539,40.1394, , ,195.2635,113.9670
496,16.8799,-81.9692, , ,195.2635,113.3844
497,16.9059,80.5972, , ,195.2635,114.0670
498,16.9319,-93.3243, , ,195.2635,113.2699
499,16.9579,56.7239, , ,195.2635,113.8982
500,16.9839,-42.2875, , ,195.2635,113.4306
501,17.0099,230.2562, , ,195.2635,114.5938
502,17.0359,110.6550, , ,195.2635,114.0387
503,17.0619,187.8828, , ,195.2635,114.3448
504,17.0879,206.4853, , ,195.2635,114.3942
505,17.1139,342.8085, , ,195.2635,114.9568
506,17.1399,578.4417, , ,195.2635,115.8740
507,17.1659,422.4265, , ,195.2635,115.0951
508,17.1919,733.2320, , ,195.2635,116.3347
509,17.2179,696.2029, , ,195.2635,116.0726
510,17.2439,802.5391, , ,195.2635,116.4271
511,17.2699,719.0914, , ,195.2635,115.9652
512,17.2959,616.7352, , ,195.2635,115.4195
513,17.3219,360.6594, , ,195.2635,114.2002
514,17.3479,357.7641, , ,195.2635,114.0828
515,17.3739,290.3435, , ,195.2635,113.6819
516,17.3999,340.5581, , ,195.2635,113.7975
517,17.4259,315.2147, , ,195.2635,113.5809
518,17.4519,39.3521, , ,195.2635,112.2536
519,17.4779,120.2136, , ,195.2635,112.5070
520,17.5039,12.4351, , ,195.2635,111.9203
521,17.5299,2.6633, , ,195.2635,111.7697
522,17.5559,-18.1274, , ,195.2635,111.5696
523,17.5819,117.8786, , ,195.2635,112.0709
524,17.6079,-97.3736, , ,195.2635,111.1102
525,17.6339,-63.5238, , ,195.2635,111.2662
526,17.6599,93.2071, , ,195.2635,111.9721
527,17.6859,2.6308, , ,195.2635,111.5707
528,17.7119,73.3182, , ,195.2635,111.8908
529,17.7379,70.2568, , ,195.2635,111.8809
530,17.7639,134.1923, , ,195.2635,112.1701
531,17.7899,156.4332, , ,195.2635,112.2729
532,17.8159,300.7611, , ,195.2635,112.9176
533,17.8419,407.4313, , ,195.2635,113.3927
534,17.8679,775.5477, , ,195.2635,115.0081
535,17.8939,1012.7720, , ,195.2635,116.0385
536,17.9199,1324.6380, , ,195.2635,117.3782
537,17.9459,1689.1540, , ,195.2635,118.9244
538,17.9719,1983.3990, , ,195.2635,120.1587
539,17.9979,2074.5910, , ,195.2635,120.5411
540,18.0239,2116.9280, , ,195.2635,120.7201
541,18.0499,1988.8520, , ,195.2635,120.1919
542,18.0759,1626.5490, , ,195.2635,118.6231
543,18.1019,1092.3600, , ,195.2635,116.2966
544,18.1279,831.5642, , ,195.2635,115.1162
545,18.1539,618.8238, , ,195.2635,114.1343
546,18.1799,295.3381, , ,195.2635,112.6534
547,18.2059,194.5372, , ,195.2635,112.1500
548,18.2319,130.9383, , ,195.2635,111.8108
549,18.2579,0.3529, , ,195.2635,111.1698
550,18.2839,-22.1909, , ,195.2635,111.0127
551,18.3099,49.2599, , ,195.2635,111.2062
552,18.3359,-54.2413, , ,195.2635,110.6113
553,18.3619,-122.0517, , ,195.2635,110.1754
554,18.3879,-156.9627, , ,195.2635,109.8875
555,18.4139,-165.4407, , ,195.2635,109.7194
556,18.4399,-77.7200, , ,195.2635,109.9892
557,18.4659,-101.8222, , ,195.2635,109.7500
558,18.4919,-52.4083, , ,195.2635,109.8455
559,18.5179,31.4118, , ,195.2635,110.0973
560,18.5439,8.9412, , ,195.2635,109.9548
