No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1,4.0099,0.0000, , ,195.2635,261.3343
2,4.0359,-2546.9290, , ,195.2635,255.2901
3,4.0619,-4569.7050, , ,195.2635,250.1491
4,4.0879,-5477.8380, , ,195.2635,247.1655
5,4.1139,-5803.8860, , ,195.2635,245.3346
6,4.1399,-6736.9430, , ,195.2635,242.2403
7,4.1659,-6921.1930, , ,195.2635,240.6666
8,4.1919,-7103.5920, , ,195.2635,239.0865
9,4.2179,-6813.9770, , ,195.2635,238.4875
10,4.2439,-7039.9470, , ,195.2635,236.8009
11,4.2699,-6419.7730, , ,195.2635,236.8619
12,4.2959,-6126.0740, , ,195.2635,236.2329
13,4.3219,-5213.2890, , ,195.2635,236.9125
14,4.3479,-4317.0760, , ,195.2635,237.5552
15,4.3739,-3020.6210, , ,195.2635,239.0348
16,4.3999,-1146.1960, , ,195.2635,241.7040
17,4.4259,1098.1090, , ,195.2635,245.0997
18,4.4519,4318.6830, , ,195.2635,250.4060
19,4.4779,8532.5840, , ,195.2635,257.5379
20,4.5039,14251.6800, , ,195.2635,267.3081
21,4.5299,21463.5000, , ,195.2635,279.4176
22,4.5559,30563.6400, , ,195.2635,294.2500
23,4.5819,39092.6900, , ,195.2635,307.4424
24,4.6079,45064.4600, , ,195.2635,316.0717
25,4.6339,46286.5400, , ,195.2635,317.0681
26,4.6599,42632.0600, , ,195.2635,310.3005
27,4.6859,34717.7900, , ,195.2635,296.2784
28,4.7119,24709.8400, , ,195.2635,277.8158
29,4.7379,15963.6500, , ,195.2635,260.4392
30,4.7639,9548.9570, , ,195.2635,246.5908
31,4.7899,5320.3080, , ,195.2635,236.5830
32,4.8159,2745.2770, , ,195.2635,229.7599
33,4.8419,1168.0390, , ,195.2635,224.9567
34,4.8679,520.1255, , ,195.2635,222.1502
35,4.8939,367.0343, , ,195.2635,220.4331
36,4.9199,289.5262, , ,195.2635,218.8753
37,4.9459,158.4821, , ,195.2635,217.1831
38,4.9719,-226.5644, , ,195.2635,215.1777
39,4.9979,-407.3309, , ,195.2635,213.6321
40,5.0239,-539.7876, , ,195.2635,212.1891
41,5.0499,-413.9277, , ,195.2635,211.3482
42,5.0759,-272.0474, , ,195.2635,210.5420
43,5.1019,-103.6789, , ,195.2635,209.7959
44,5.1279,-154.7304, , ,195.2635,208.5216
45,5.1539,-135.9113, , ,195.2635,207.4080
46,5.1799,45.2872, , ,195.2635,206.6816
47,5.2059,-30.1309, , ,195.2635,205.7271
48,5.2319,4.5888, , ,195.2635,205.0369
49,5.2579,-41.9123, , ,195.2635,204.1456
50,5.2839,-120.0413, , ,195.2635,203.1725
51,5.3099,-95.6331, , ,195.2635,202.4482
52,5.3359,33.0060, , ,195.2635,201.9794
53,5.3619,70.5323, , ,195.2635,201.2833
