No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1029,30.7379,242.3115, , ,195.2635,108.7131
1030,30.7639,159.8194, , ,195.2635,108.2550
1031,30.7899,158.7823, , ,195.2635,108.1722
1032,30.8159,143.8004, , ,195.2635,108.0248
1033,30.8419,114.8226, , ,195.2635,107.8123
1034,30.8679,36.1270, , ,195.2635,107.3681
1035,30.8939,-13.2377, , ,195.2635,107.0591
1036,30.9199,20.5620, , ,195.2635,107.1381
1037,30.9459,-33.4068, , ,195.2635,106.8765
1038,30.9719,37.6809, , ,195.2635,107.1993
1039,30.9979,28.2936, , ,195.2635,107.1461
1040,31.0239,46.0329, , ,195.2635,107.2196
1041,31.0499,60.6372, , ,195.2635,107.2783
1042,31.0759,130.0614, , ,195.2635,107.5921
1043,31.1019,58.3086, , ,195.2635,107.2488
1044,31.1279,42.4516, , ,195.2635,107.1655
1045,31.1539,24.2925, , ,195.2635,107.0714
1046,31.1799,-61.5963, , ,195.2635,106.5383
1047,31.2059,-43.2573, , ,195.2635,106.4929
1048,31.2319,-13.0208, , ,195.2635,106.5034
1049,31.2579,-10.9667, , ,195.2635,106.3815
1050,31.2839,-3.6918, , ,195.2635,106.2841
1051,31.3099,26.8156, , ,195.2635,106.2959
1052,31.3359,119.6435, , ,195.2635,106.6004
1053,31.3619,119.8319, , ,195.2635,106.4699
1054,31.3879,64.5203, , ,195.2635,106.0779
1055,31.4139,70.2525, , ,195.2635,105.9729
1056,31.4399,92.5725, , ,195.2635,105.9461
1057,31.4659,103.3861, , ,195.2635,105.8649
1058,31.4919,115.0648, , ,195.2635,105.7878
1059,31.5179,-21.1302, , ,195.2635,105.0089
1060,31.5439,-4.3445, , ,195.2635,104.9555
1061,31.5699,91.7865, , ,195.2635,105.2796
1062,31.5959,28.3468, , ,195.2635,104.8444
1063,31.6219,9.1019, , ,195.2635,104.6188
1064,31.6479,-61.4629, , ,195.2635,104.1680
1065,31.6739,-51.4836, , ,195.2635,104.1029
1066,31.6999,15.0449, , ,195.2635,104.3091
1067,31.7259,-33.3956, , ,195.2635,103.9634
1068,31.7519,-45.6968, , ,195.2635,103.7908
1069,31.7779,-11.4610, , ,195.2635,103.8422
1070,31.8039,-78.0207, , ,195.2635,103.4074
1071,31.8299,-21.8617, , ,195.2635,103.5649
1072,31.8559,44.4317, , ,195.2635,103.7711
1073,31.8819,-14.4916, , ,195.2635,103.5522
1074,31.9079,-20.8105, , ,195.2635,103.5872
1075,31.9339,-38.6589, , ,195.2635,103.5664
1076,31.9599,-49.3949, , ,195.2635,103.5801
1077,31.9859,-8.1128, , ,195.2635,103.8444
1078,32.0119,-19.2141, , ,195.2635,103.8562
1079,32.0379,-30.1428, , ,195.2635,103.8689
1080,32.0639,58.0011, , ,195.2635,104.3573
