No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1,4.0099,0.0000, , ,195.2635,260.4758
2,4.0359,-2489.5480, , ,195.2635,254.4579
3,4.0619,-3465.9700, , ,195.2635,251.3228
4,4.0879,-4249.1530, , ,195.2635,248.5372
5,4.1139,-4588.4040, , ,195.2635,246.6217
6,4.1399,-4724.7830, , ,195.2635,245.1054
7,4.1659,-4101.9490, , ,195.2635,245.1331
8,4.1919,-3236.4860, , ,195.2635,245.6552
9,4.2179,-1788.7320, , ,195.2635,247.3560
10,4.2439,346.2287, , ,195.2635,250.4210
11,4.2699,3115.0020, , ,195.2635,254.6468
12,4.2959,7080.5430, , ,195.2635,261.1055
13,4.3219,11952.4700, , ,195.2635,269.0977
14,4.3479,18893.8800, , ,195.2635,280.5718
15,4.3739,28131.0900, , ,195.2635,295.5051
16,4.3999,40642.7900, , ,195.2635,314.9612
17,4.4259,57715.7700, , ,195.2635,340.0574
18,4.4519,80826.3600, , ,195.2635,371.6385
19,4.4779,109643.0000, , ,195.2635,407.7958
20,4.5039,130357.8000, , ,195.2635,431.7148
21,4.5299,123384.6000, , ,195.2635,422.8121
22,4.5559,88928.6300, , ,195.2635,379.0510
23,4.5819,52520.3500, , ,195.2635,326.5531
24,4.6079,29028.3600, , ,195.2635,287.2464
25,4.6339,16807.6700, , ,195.2635,263.9230
26,4.6599,10678.0900, , ,195.2635,250.7814
27,4.6859,7293.3760, , ,195.2635,242.6358
28,4.7119,4619.0040, , ,195.2635,235.7187
29,4.7379,3289.5580, , ,195.2635,231.4610
30,4.7639,2158.4360, , ,195.2635,227.5596
31,4.7899,1286.9670, , ,195.2635,224.1701
32,4.8159,724.5276, , ,195.2635,221.4275
33,4.8419,433.3912, , ,195.2635,219.2700
34,4.8679,345.5283, , ,195.2635,217.5587
35,4.8939,311.2474, , ,195.2635,215.9580
36,4.9199,126.7170, , ,195.2635,213.9945
37,4.9459,30.8521, , ,195.2635,212.2219
38,4.9719,482.4988, , ,195.2635,211.6576
39,4.9979,840.9738, , ,195.2635,210.8711
40,5.0239,638.0071, , ,195.2635,208.7411
41,5.0499,559.4991, , ,195.2635,206.8902
42,5.0759,666.5481, , ,195.2635,205.4745
43,5.1019,376.5051, , ,195.2635,203.0737
44,5.1279,155.1339, , ,195.2635,200.8152
45,5.1539,87.8093, , ,195.2635,198.9186
46,5.1799,-21.5062, , ,195.2635,196.8972
47,5.2059,-150.0792, , ,195.2635,195.4162
48,5.2319,-235.2607, , ,195.2635,194.0357
49,5.2579,-200.7670, , ,195.2635,192.9557
50,5.2839,-269.3813, , ,195.2635,191.6007
51,5.3099,-300.3262, , ,195.2635,190.3351
52,5.3359,-201.4131, , ,195.2635,189.4041
