370	110,298	81,920.1	60,066.2	40,706.8	1.01025e+06	13,905.1	4,469.05	2,125.99	1,205.94	993.905	802.946	744.526	673.336	651.44	612.106	642.031	532.276	555.585	550.993	642.058	656.401	518.181	554.031																		
375	168,401	132,048	100,235	69,758.7	46,697.1	1.18627e+06	15,415	5,057.51	2,177.93	1,349.75	910.904	919.768	765.911	672.947	454.39	605.329	635.058	698.258	541.901	618.789	547.161	601.882	588.214																		
380	234,938	197,701	159,993	118,389	82,288.4	54,556.6	1.34171e+06	17,044.8	5,016.54	2,130.49	1,386.77	973.261	786.53	795.761	713.477	640.918	579.209	544.065	639.911	547.638	538.765	643.178	634.093																		
385	310,847	271,722	228,741	184,848	131,666	87,818.6	59,147.5	1.51903e+06	19,007.6	5,496.02	2,226.42	1,463.34	1,101.08	660.785	809.096	755.894	751.32	619.129	722.508	595.101	491.881	568.309	688.116																		
390	391,459	355,972	309,671	257,189	197,314	140,339	92,447.1	59,475.5	1.65212e+06	18,401.4	5,849.86	2,679.25	1,462.38	1,001.09	866.331	785.104	821.477	804.212	649.593	778.791	552.201	523.361	516.219																		
395	457,417	432,397	392,262	333,311	271,461	203,338	140,473	89,820.1	59,042.6	1.73402e+06	19,057.1	5,858.1	2,674.59	1,154.2	976.024	830.934	769.12	783.693	681.557	662.66	521.936	567.041	501.648																		
400	512,483	497,115	466,537	409,978	344,734	266,820	194,187	133,847	87,099.9	54,675.6	1.75835e+06	18,964.5	6,187.68	2,350.74	1,431.99	1,146.48	961.053	788.247	896.617	835.645	554.528	617.126	544.673																		
405	564,902	554,825	532,051	487,946	416,925	337,988	259,368	184,315	126,797	80,175.2	54,582.6	1.79539e+06	17,458.8	5,093.52	2,536.74	1,879.47	1,270.47	980.992	903.921	855.62	690.425	668.302	634.662																		
410	566,743	568,998	552,263	520,293	459,173	384,900	303,941	229,398	164,100	111,915	74,433.8	50,445.7	1.56351e+06	14,263.8	4,832.78	3,148.48	2,085.2	1,453.97	947.073	950.437	665.816	675.81	595.949																		
415	482,308	497,875	500,053	471,104	431,206	370,731	305,598	235,793	175,551	127,071	86,145.8	58,892.8	38,909.4	1.07741e+06	11,509.4	5,296.5	3,093.51	1,952.43	1,223.57	920.513	701.092	660.251	697.511																		
