index,MOF90,MOF170,MOF230
600,0.0113463823306125,0.0348537983019145,0.0117202359396523
601,0.0118255868163917,0.0358134139392407,0.0120699767845733
602,0.0120763738050363,0.0349135492033224,0.0122614673851165
603,0.0122205936091125,0.0359627881758254,0.0124702487565758
604,0.0127064436921002,0.0373971308617861,0.0126875395181615
605,0.0131170100015464,0.0355525280008982,0.0128049200338973
606,0.0132833469223934,0.0366376262633576,0.0131454154826018
607,0.0137094644837747,0.0363557990246273,0.0133857179503832
608,0.0138838353675562,0.0363851887487889,0.0133135538661273
609,0.014075816417638,0.0342910338202924,0.0134682654265506
610,0.0144019154907493,0.0350766520028338,0.0134668588626933
611,0.014421838784445,0.0354067114849665,0.0138395831360948
612,0.0143670186277373,0.0361175330596145,0.0139235278484009
613,0.0146633321731962,0.0363321316720142,0.0136775116269821
614,0.0148831277978682,0.0352286107471078,0.0139562101825679
615,0.015155714258271,0.0352287080432631,0.01383744515286
616,0.0152921170355083,0.035360031203234,0.0141129497573331
617,0.0154818046084726,0.0369930355422141,0.0143741458378573
618,0.0161465289683656,0.0351898076827804,0.0147257575846752
619,0.0170602625863026,0.0367029921837086,0.0155896680313718
620,0.0181641127993819,0.0354882630104278,0.0164054930507488
621,0.0197220017065313,0.0375165496988882,0.0174000084738831
622,0.0220077473079745,0.0369796385907312,0.0191736558455787
623,0.0249359494193143,0.0384765779020819,0.0216559418372862
624,0.0287661462228,0.0362302017559624,0.0243511503568424
625,0.0337561768923708,0.0422719455455453,0.0280195735774601
626,0.0404471642787913,0.0448624270177266,0.0329829587945372
627,0.0483663640473128,0.0484891009782158,0.0392560954215028
628,0.0586919229282226,0.051787148249308,0.0472188631439177
629,0.071547544313889,0.0593244418002417,0.0567318757728738
630,0.0865876609637916,0.0658437246733331,0.0694344695555658
631,0.106802135361487,0.0758327282266712,0.0840330114359407
632,0.130770740856215,0.0886631918272533,0.102674055279234
633,0.160903589557264,0.101613028005267,0.127826688215078
634,0.19741023549515,0.122105814738836,0.157553947970763
635,0.24328198189999,0.14388230632882,0.195820519308497
636,0.298652033049719,0.178579985533032,0.241624341564483
637,0.361610485508424,0.214546984344537,0.297156971507829
638,0.435643545272978,0.258111715218162,0.362975892555648
639,0.51392311273629,0.314137781152803,0.437587101722497
640,0.595737124414558,0.370416044252854,0.5182254946813
641,0.677433954169592,0.434518858877063,0.601398107689847
642,0.752065773276157,0.517174033985846,0.684448259156928
643,0.820625718091137,0.587399862595906,0.763241805061722
644,0.878155670067502,0.671342282180146,0.833592084153597
645,0.922036163528956,0.743737669484774,0.893392815181704
646,0.956995047091435,0.807943329664821,0.939949381003846
647,0.980495844176399,0.876983207393592,0.972424215904814
648,0.995578781252763,0.912767912933169,0.993215010524078
649,1,0.950103698946198,1
650,0.999156608970761,0.97831242125699,0.998064391074058
651,0.990854915534793,0.999530119406106,0.98550175973691
652,0.978482603936068,1,0.967529603185459
653,0.962421252495993,0.984503525455538,0.942795816949491
654,0.940877087043006,0.982206598802845,0.913179485579312
655,0.917164415831757,0.972940070490004,0.88030009329994
656,0.890324251209381,0.942626188225902,0.843643369335413
657,0.861151136997,0.920721736352878,0.809477551661399
