A,Perileno,Pyn,PynMOF,Peaks
3,863.39,92.9628,74.8424,84.7652,
3,862.45,93.3269,75.0447,84.9281,
3,861.52,93.5752,75.169,84.9731,
3,860.59,93.3274,75.0583,84.881,
3,859.66,93.4002,75.0243,85.0454,
3,858.73,94.606,75.2662,85.1728,
3,857.79,94.616,74.8088,84.544,
3,856.86,93.0425,73.9816,84.0255,
3,855.93,92.7156,73.8709,83.7115,
3,855,92.0166,73.7749,83.6143,
3,854.07,92.0749,74.2577,84.1265,
3,853.14,92.7989,74.7944,84.4718,
3,852.2,93.0352,75.0211,84.6664,
3,851.27,93.2748,75.1922,84.8727,
3,850.34,93.4105,75.3214,85.0016,
3,849.41,93.5314,75.3472,85.107,
3,848.48,93.8488,75.3735,85.1828,
3,847.54,93.8608,75.2522,84.9255,
3,846.61,93.2299,74.9252,84.7454,
3,845.68,93.3793,74.9619,84.8771,
3,844.75,93.7592,75.0442,84.8074,
3,843.82,93.3318,74.8277,84.6522,
3,842.89,93.4295,74.8489,84.7814,
3,841.95,94.047,74.9718,84.6618,
3,841.02,93.0887,74.4596,84.198,
3,840.09,92.5091,74.4185,84.4112,
3,839.16,93.4097,74.8617,84.5825,
3,838.23,93.1159,74.7328,84.3854,
3,837.29,92.7674,74.707,84.5289,
3,836.36,93.5389,75.1279,84.8468,
3,835.43,93.784,75.2059,84.7536,
3,834.5,93.0703,74.8852,84.5883,
3,833.57,93.0376,74.9772,84.7145,
3,832.64,93.3913,75.2038,84.8977,
3,831.7,93.679,75.3265,85.0155,
3,830.77,93.805,75.3384,85.0026,
3,829.84,93.3863,75.1362,84.8634,
3,828.91,93.1366,75.0994,84.8376,
3,827.98,93.3131,75.2355,84.91,
3,827.04,93.5841,75.3023,85.0745,
3,826.11,94.2151,75.4133,85.1538,
3,825.18,94.3947,75.2,84.8183,
3,824.25,93.2504,74.5895,84.2385,
3,823.32,92.3227,74.3917,84.1357,
3,822.38,92.5655,74.7044,84.4477,
3,821.45,93.2857,75.0389,84.87,
3,820.52,94.3349,75.3001,85.0119,
3,819.59,94.0727,74.9582,84.5085,
3,818.66,92.6045,74.5568,84.2923,
3,817.73,92.6519,74.868,84.5923,
3,816.79,93.1624,75.2103,84.8114,
3,815.86,93.4069,75.3686,84.9175,
3,814.93,93.5535,75.4226,85.0047,
3,814,93.5711,75.4745,85.0905,
3,813.07,93.6419,75.5164,85.1646,
3,812.13,93.9803,75.5953,85.322,
3,811.2,94.539,75.6046,85.2055,
3,810.27,93.8391,75.1012,84.6683,
3,809.34,92.7753,74.777,84.5515,
3,808.41,92.9816,75.0016,84.8155,
3,807.48,93.5174,75.2637,84.9905,
3,806.54,94.0743,75.4109,85.1098,
3,805.61,94.4534,75.3486,84.9328,
3,804.68,93.5455,74.8242,84.3076,
3,803.75,92.344,74.5395,84.1988,
3,802.82,92.7151,74.9125,84.5308,
3,801.88,93.3654,75.2456,84.7964,
3,800.95,93.9061,75.4688,84.898,
3,800.02,93.7955,75.3636,84.7216,
3,799.09,93.0955,75.1498,84.6678,
3,798.16,93.1398,75.2724,84.8411,
3,797.23,93.4855,75.4347,84.9691,
3,796.29,93.598,75.507,85.0123,
3,795.36,93.6495,75.5578,85.0664,
3,794.43,93.6709,75.5759,85.091,
3,793.5,93.6886,75.5581,85.085,
3,792.57,93.7041,75.5158,85.1276,
3,791.63,93.7094,75.5017,85.1475,
3,790.7,93.7093,75.4963,85.1051,
3,789.77,93.7975,75.5001,85.0896,
3,788.84,93.8672,75.4538,85.0018,
3,787.91,93.6483,75.3265,84.8665,
3,786.98,93.4083,75.3032,84.881,
3,786.04,93.4893,75.3938,84.9478,
3,785.11,93.6378,75.4249,85.0401,
3,784.18,93.9701,75.4981,85.1138,
3,783.25,93.9969,75.3733,84.882,
3,782.32,93.3384,75.0783,84.6537,
3,781.38,93.1807,75.1635,84.7223,
3,780.45,93.3878,75.3406,84.8644,
3,779.52,93.4998,75.4515,84.9394,
3,778.59,93.581,75.5333,84.9768,
3,777.66,93.6179,75.5657,85.0062,
3,776.73,93.6289,75.5827,85.0326,
3,775.79,93.6925,75.6219,85.0827,
3,774.86,94.0162,75.6834,85.1679,
3,773.93,94.3253,75.6665,85.0271,
3,773,93.6169,75.2926,84.6868,
3,772.07,92.9989,75.1382,84.6461,
3,771.13,93.4106,75.3493,84.8653,
3,770.2,93.9155,75.563,85.0523,
3,769.27,93.8446,75.4732,84.8373,
3,768.34,93.2943,75.338,84.7488,
3,767.41,93.2993,75.5179,84.9275,
3,766.47,93.4532,75.6438,85.049,
3,765.54,93.5951,75.7204,85.1202,
3,764.61,93.9149,75.8362,85.2508,
3,763.68,94.151,75.7988,85.1277,
3,762.75,93.4991,75.446,84.7944,
3,761.82,93.1439,75.4014,84.8844,
3,760.88,93.55,75.6058,85.0697,
3,759.95,93.4781,75.5661,84.9242,
3,759.02,93.1222,75.5649,84.9423,
3,758.09,93.3904,75.7881,85.1499,
3,757.16,94.1018,75.9754,85.3763,
3,756.22,94.7007,76.0036,85.1818,
3,755.29,93.6515,75.3763,84.6572,
3,754.36,93.118,75.1908,84.826,
3,753.43,94.043,75.4428,84.7596,
3,752.5,93.1268,74.977,84.2186,
3,751.57,92.1928,74.998,84.3982,
3,750.63,92.7874,75.5343,84.8461,
3,749.7,93.8539,76.0152,85.319,
3,748.77,95.31,76.3388,85.3591,
3,747.84,94.2515,75.5148,84.4536,
3,746.91,91.8871,74.844,84.1862,
3,745.97,92.247,75.4548,84.786,
3,745.04,93.1758,75.9726,85.0352,
3,744.11,93.1899,76.0418,85.1215,
3,743.18,93.3747,76.2649,85.3855,
3,742.25,93.8492,76.4612,85.4663,
3,741.32,94.1122,76.4402,85.5176,
3,740.38,94.2495,76.3195,85.4725,
