nm    	T%   
381.00 	103.3 
380.00 	102.7 
379.00 	103.9 
378.00 	102.8 
377.00 	101.8 
376.00 	102.7 
375.00 	103.2 
374.00 	104.2 
373.00 	103.2 
372.00 	104.0 
371.00 	102.7 
370.00 	102.8 
369.00 	103.0 
368.00 	102.8 
367.00 	103.9 
366.00 	102.8 
365.00 	102.3 
364.00 	102.5 
363.00 	102.6 
362.00 	103.5 
361.00 	102.6 
360.00 	103.2 
359.00 	103.7 
358.00 	103.5 
357.00 	103.1 
356.00 	103.5 
355.00 	103.7 
354.00 	103.7 
353.00 	103.3 
352.00 	103.8 
351.00 	103.3 
350.00 	103.1 
349.00 	103.8 
348.00 	102.6 
347.00 	102.4 
346.00 	102.5 
345.00 	102.3 
344.00 	102.6 
343.00 	102.6 
342.00 	102.6 
341.00 	102.5 
340.00 	102.8 
339.00 	102.6 
338.00 	102.3 
337.00 	103.1 
336.00 	103.5 
335.00 	103.1 
334.00 	103.6 
333.00 	103.6 
332.00 	102.8 
331.00 	103.7 
330.00 	102.6 
329.00 	103.7 
328.00 	103.3 
327.00 	104.1 
326.00 	103.2 
325.00 	103.2 
324.00 	103.4 
323.00 	103.3 
322.00 	103.2 
321.00 	103.5 
320.00 	104.2 
319.00 	103.6 
318.00 	103.9 
317.00 	103.1 
316.00 	103.6 
315.00 	103.0 
314.00 	104.2 
313.00 	104.3 
312.00 	104.6 
311.00 	103.6 
310.00 	104.5 
309.00 	104.7 
308.00 	104.5 
307.00 	104.6 
306.00 	104.7 
305.00 	104.0 
304.00 	105.6 
303.00 	105.3 
302.00 	105.1 
301.00 	105.4 
300.00 	105.5 
299.00 	104.8 
298.00 	105.6 
297.00 	106.5 
296.00 	106.1 
295.00 	105.9 
294.00 	106.6 
293.00 	106.7 
292.00 	107.4 
291.00 	107.4 
290.00 	107.1 
289.00 	107.2 
288.00 	107.8 
287.00 	107.8 
286.00 	107.8 
285.00 	109.4 
284.00 	109.0 
283.00 	108.8 
282.00 	109.2 
281.00 	109.3 
280.00 	109.7 
279.00 	110.5 
278.00 	110.5 
277.00 	111.1 
276.00 	111.7 
275.00 	111.7 
274.00 	112.9 
273.00 	112.5 
272.00 	112.8 
271.00 	113.4 
270.00 	114.9 
269.00 	116.5 
268.00 	116.5 
267.00 	117.5 
266.00 	118.1 
265.00 	119.1 
264.00 	121.1 
263.00 	121.0 
262.00 	121.1 
261.00 	121.4 
260.00 	121.6 
259.00 	122.2 
258.00 	121.6 
257.00 	122.0 
256.00 	122.2 
255.00 	122.9 
254.00 	122.5 
253.00 	121.3 
252.00 	123.3 
251.00 	123.0 
250.00 	121.6 
