nm,T%,
700.00,  101.3,
699.00,  101.0,
698.00,  101.1,
697.00,  101.4,
696.00,  101.3,
695.00,  101.1,
694.00,  101.2,
693.00,  101.1,
692.00,  101.5,
691.00,  101.2,
690.00,  101.1,
689.00,  101.6,
688.00,  101.4,
687.00,  101.2,
686.00,  101.5,
685.00,  101.4,
684.00,  101.1,
683.00,  101.2,
682.00,  101.3,
681.00,  101.5,
680.00,  101.4,
679.00,  101.6,
678.00,  101.6,
677.00,  101.3,
676.00,  101.3,
675.00,  101.5,
674.00,  101.4,
673.00,  101.8,
672.00,  101.8,
671.00,  101.6,
670.00,  101.4,
669.00,  101.8,
668.00,  101.6,
667.00,  101.8,
666.00,  101.8,
665.00,  101.7,
664.00,  102.0,
663.00,  102.0,
662.00,  102.3,
661.00,  102.3,
660.00,  102.3,
659.00,  102.2,
658.00,  102.7,
657.00,  102.6,
656.00,  102.5,
655.00,  102.5,
654.00,  102.9,
653.00,  102.8,
652.00,  102.9,
651.00,  103.0,
650.00,  103.1,
649.00,  103.2,
648.00,  103.1,
647.00,  103.1,
646.00,  103.2,
645.00,  102.7,
644.00,  102.5,
643.00,  102.7,
642.00,  102.6,
641.00,  102.5,
640.00,  102.5,
639.00,  101.9,
638.00,  102.3,
637.00,  102.4,
636.00,  102.2,
635.00,  102.1,
634.00,  101.9,
633.00,  101.7,
632.00,  101.8,
631.00,  101.9,
630.00,  102.1,
629.00,  102.0,
628.00,  102.1,
627.00,  101.8,
626.00,  101.9,
625.00,  101.6,
624.00,  102.0,
623.00,  101.7,
622.00,  102.0,
621.00,  102.1,
620.00,  102.2,
619.00,  102.1,
618.00,  102.4,
617.00,  102.6,
616.00,  102.5,
615.00,  102.0,
614.00,  102.1,
613.00,  102.3,
612.00,  102.6,
611.00,  102.3,
610.00,  102.6,
609.00,  102.7,
608.00,  102.7,
607.00,  103.0,
606.00,  102.8,
605.00,  103.4,
604.00,  103.2,
603.00,  102.9,
602.00,  103.4,
601.00,  103.6,
600.00,  103.5,
599.00,  103.5,
598.00,  103.6,
597.00,  103.6,
596.00,  103.9,
595.00,  103.8,
