nm,T%,
381.00,  118.9,
380.00,  118.8,
379.00,  119.0,
378.00,  119.2,
377.00,  119.0,
376.00,  119.4,
375.00,  119.0,
374.00,  119.1,
373.00,  118.8,
372.00,  119.5,
371.00,  119.3,
370.00,  119.3,
369.00,  119.1,
368.00,  118.5,
367.00,  118.6,
366.00,  118.7,
365.00,  118.1,
364.00,  118.1,
363.00,  118.3,
362.00,  117.6,
361.00,  116.9,
360.00,  117.5,
359.00,  117.1,
358.00,  116.3,
357.00,  116.9,
356.00,  116.5,
355.00,  115.9,
354.00,  116.3,
353.00,  116.1,
352.00,  115.4,
351.00,  115.8,
350.00,  116.0,
349.00,  115.8,
348.00,  115.0,
347.00,  114.5,
346.00,  114.5,
345.00,  114.1,
344.00,  114.5,
343.00,  114.1,
342.00,  113.5,
341.00,  113.6,
340.00,  113.9,
339.00,  112.9,
338.00,  113.0,
337.00,  113.3,
336.00,  112.7,
335.00,  113.1,
334.00,  112.9,
333.00,  112.2,
332.00,  112.2,
331.00,  112.2,
330.00,  113.8,
329.00,  113.0,
328.00,  112.4,
327.00,  113.8,
326.00,  113.7,
325.00,  113.2,
324.00,  113.1,
323.00,  113.2,
322.00,  113.1,
321.00,  112.2,
320.00,  113.6,
319.00,  113.0,
318.00,  112.6,
317.00,  112.9,
316.00,  114.1,
315.00,  113.5,
314.00,  113.6,
313.00,  113.7,
312.00,  113.9,
311.00,  114.2,
310.00,  113.5,
309.00,  114.2,
308.00,  113.6,
307.00,  113.4,
306.00,  113.8,
305.00,  114.1,
304.00,  113.7,
303.00,  113.5,
302.00,  113.2,
301.00,  113.7,
300.00,  112.8,
