nm    	T%   
700.00 	103.6 
699.00 	103.9 
698.00 	103.8 
697.00 	103.8 
696.00 	103.7 
695.00 	104.0 
694.00 	103.8 
693.00 	104.1 
692.00 	103.9 
691.00 	103.6 
690.00 	104.1 
689.00 	104.3 
688.00 	104.1 
687.00 	103.9 
686.00 	104.1 
685.00 	103.9 
684.00 	104.3 
683.00 	103.9 
682.00 	104.0 
681.00 	103.8 
680.00 	104.3 
679.00 	104.2 
678.00 	104.1 
677.00 	104.3 
676.00 	104.3 
675.00 	104.2 
674.00 	104.3 
673.00 	104.5 
672.00 	104.3 
671.00 	104.3 
670.00 	104.9 
669.00 	104.5 
668.00 	104.7 
667.00 	104.9 
666.00 	104.9 
665.00 	104.7 
664.00 	105.1 
663.00 	105.4 
662.00 	105.4 
661.00 	105.1 
660.00 	105.4 
659.00 	106.0 
658.00 	105.6 
657.00 	105.8 
656.00 	106.0 
655.00 	106.0 
654.00 	105.8 
653.00 	106.1 
652.00 	106.3 
651.00 	106.6 
650.00 	106.5 
649.00 	106.7 
648.00 	106.8 
647.00 	106.6 
646.00 	106.7 
645.00 	106.5 
644.00 	106.1 
643.00 	106.5 
642.00 	106.0 
641.00 	106.2 
640.00 	106.1 
639.00 	106.0 
638.00 	105.7 
637.00 	105.6 
636.00 	105.5 
635.00 	105.3 
634.00 	105.2 
633.00 	105.1 
632.00 	105.2 
631.00 	105.3 
630.00 	105.0 
629.00 	105.3 
628.00 	104.7 
627.00 	105.4 
626.00 	105.1 
625.00 	104.9 
624.00 	105.1 
623.00 	105.1 
622.00 	105.0 
621.00 	105.0 
620.00 	105.1 
619.00 	105.1 
618.00 	105.3 
617.00 	105.3 
616.00 	105.4 
615.00 	105.3 
614.00 	105.9 
613.00 	105.9 
612.00 	105.6 
611.00 	106.0 
610.00 	105.7 
609.00 	106.0 
608.00 	106.0 
607.00 	106.0 
606.00 	106.5 
605.00 	106.3 
604.00 	106.5 
603.00 	106.5 
602.00 	106.4 
601.00 	106.6 
600.00 	107.0 
599.00 	107.3 
598.00 	107.1 
597.00 	107.1 
596.00 	107.1 
595.00 	107.4 
594.00 	107.4 
593.00 	107.3 
592.00 	107.4 
591.00 	107.2 
590.00 	107.2 
589.00 	107.4 
588.00 	107.2 
587.00 	107.4 
586.00 	107.2 
