nm    	T%   
381.00 	108.2 
380.00 	108.5 
379.00 	108.0 
378.00 	108.6 
377.00 	108.3 
376.00 	108.1 
375.00 	108.1 
374.00 	107.9 
373.00 	107.6 
372.00 	107.5 
371.00 	108.1 
370.00 	107.8 
369.00 	108.2 
368.00 	107.5 
367.00 	107.5 
366.00 	108.4 
365.00 	107.9 
364.00 	108.0 
363.00 	107.6 
362.00 	107.0 
361.00 	108.1 
360.00 	108.3 
359.00 	107.8 
358.00 	107.5 
357.00 	107.7 
356.00 	107.0 
355.00 	107.2 
354.00 	107.3 
353.00 	107.8 
352.00 	107.2 
351.00 	107.5 
350.00 	107.5 
349.00 	107.4 
348.00 	107.2 
347.00 	107.1 
346.00 	106.7 
345.00 	106.9 
344.00 	106.9 
343.00 	107.0 
342.00 	106.7 
341.00 	107.1 
340.00 	107.1 
339.00 	107.0 
338.00 	107.1 
337.00 	107.3 
336.00 	106.5 
335.00 	106.6 
334.00 	107.2 
333.00 	106.5 
332.00 	106.8 
331.00 	107.0 
330.00 	107.4 
329.00 	106.7 
328.00 	108.0 
327.00 	106.7 
326.00 	106.5 
325.00 	107.3 
324.00 	107.8 
323.00 	107.4 
322.00 	107.8 
321.00 	107.4 
320.00 	107.8 
319.00 	107.7 
318.00 	107.6 
317.00 	107.5 
316.00 	107.9 
315.00 	107.8 
314.00 	108.5 
313.00 	107.9 
312.00 	108.5 
311.00 	108.1 
310.00 	108.3 
309.00 	109.0 
308.00 	108.6 
307.00 	108.2 
306.00 	108.2 
305.00 	108.9 
304.00 	108.6 
303.00 	108.6 
302.00 	108.4 
301.00 	109.0 
300.00 	109.0 
