nm,T%,
700.00,  100.9,
699.00,  100.5,
698.00,  100.6,
697.00,  100.9,
696.00,  101.1,
695.00,  100.8,
694.00,  100.7,
693.00,  100.6,
692.00,  100.8,
691.00,  100.5,
690.00,  100.6,
689.00,  101.3,
688.00,  101.0,
687.00,  100.6,
686.00,  100.6,
685.00,  101.0,
684.00,  100.6,
683.00,  100.6,
682.00,  100.6,
681.00,  100.7,
680.00,  100.6,
679.00,  100.7,
678.00,  100.8,
677.00,  100.7,
676.00,  100.6,
675.00,  100.5,
674.00,  100.3,
673.00,  100.7,
672.00,  101.2,
671.00,  100.7,
670.00,  100.5,
669.00,  101.0,
668.00,  100.7,
667.00,  101.0,
666.00,  100.7,
665.00,  100.8,
664.00,  100.9,
663.00,  101.0,
662.00,  101.3,
661.00,  101.0,
660.00,  100.7,
659.00,  101.0,
658.00,  100.9,
657.00,  100.9,
656.00,  101.1,
655.00,  100.7,
654.00,  101.5,
653.00,  101.0,
652.00,  101.4,
651.00,  100.9,
650.00,  100.8,
649.00,  101.4,
648.00,  101.1,
647.00,  101.3,
646.00,  101.0,
645.00,  100.9,
644.00,  100.8,
643.00,  100.9,
642.00,  101.0,
641.00,  100.8,
640.00,  100.8,
639.00,  100.9,
638.00,  100.7,
637.00,  101.2,
636.00,  100.8,
635.00,  101.1,
634.00,  100.8,
633.00,  100.7,
632.00,  100.8,
631.00,  100.9,
630.00,  101.0,
629.00,  100.8,
628.00,  100.7,
627.00,  100.3,
626.00,  101.0,
625.00,  101.0,
624.00,  100.9,
623.00,  100.8,
622.00,  101.0,
621.00,  101.0,
620.00,  101.1,
619.00,  101.1,
618.00,  101.3,
617.00,  101.3,
616.00,  101.0,
615.00,  100.7,
614.00,  100.9,
613.00,  100.7,
612.00,  100.9,
611.00,  100.5,
610.00,  100.9,
609.00,  101.0,
608.00,  101.0,
607.00,  101.0,
606.00,  101.1,
605.00,  101.1,
604.00,  101.2,
603.00,  101.0,
602.00,  101.3,
601.00,  101.3,
600.00,  101.6,
599.00,  101.4,
598.00,  101.3,
597.00,  101.5,
596.00,  101.3,
595.00,  101.4,
594.00,  101.3,
593.00,  101.7,
592.00,  101.5,
591.00,  101.4,
590.00,  101.5,
589.00,  101.5,
588.00,  101.4,
587.00,  100.9,
586.00,  100.9,
585.00,  101.0,
584.00,  101.2,
583.00,  101.3,
582.00,  101.3,
581.00,  101.3,
580.00,  101.0,
579.00,  101.2,
578.00,  101.1,
577.00,  101.4,
576.00,  101.0,
575.00,  101.3,
574.00,  101.1,
573.00,  101.3,
572.00,  101.4,
571.00,  101.4,
570.00,  101.6,
569.00,  101.2,
568.00,  101.3,
567.00,  101.8,
566.00,  101.5,
565.00,  101.3,
564.00,  102.1,
563.00,  101.4,
562.00,  101.8,
561.00,  101.2,
560.00,  101.7,
559.00,  102.0,
558.00,  101.8,
557.00,  101.5,
556.00,  101.3,
555.00,  101.5,
554.00,  101.7,
553.00,  102.0,
552.00,  101.7,
551.00,  101.6,
550.00,  101.7,
549.00,  101.7,
548.00,  101.7,
547.00,  102.2,
546.00,  101.7,
545.00,  101.3,
544.00,  101.7,
543.00,  101.9,
542.00,  101.8,
541.00,  101.6,
540.00,  101.7,
539.00,  101.5,
538.00,  101.6,
537.00,  101.7,
536.00,  101.7,
535.00,  101.6,
534.00,  101.7,
533.00,  101.6,
532.00,  101.7,
531.00,  101.9,
530.00,  101.9,
529.00,  102.1,
528.00,  102.1,
527.00,  102.3,
526.00,  102.4,
525.00,  102.2,
524.00,  102.3,
523.00,  102.5,
522.00,  102.7,
521.00,  102.4,
520.00,  102.5,
519.00,  102.5,
518.00,  102.5,
517.00,  102.4,
516.00,  102.3,
515.00,  102.5,
514.00,  102.3,
513.00,  102.3,
512.00,  102.4,
511.00,  102.3,
510.00,  102.0,
509.00,  102.0,
508.00,  101.8,
507.00,  102.0,
506.00,  101.8,
505.00,  102.2,
504.00,  102.1,
503.00,  102.1,
502.00,  102.2,
501.00,  102.1,
500.00,  101.8,
499.00,  102.0,
498.00,  101.9,
497.00,  101.6,
496.00,  102.1,
495.00,  101.8,
494.00,  101.6,
493.00,  101.8,
492.00,  102.0,
491.00,  102.0,
490.00,  102.3,
489.00,  102.3,
488.00,  102.0,
487.00,  102.2,
486.00,  101.7,
485.00,  101.8,
484.00,  102.2,
483.00,  102.1,
482.00,  101.7,
481.00,  102.2,
480.00,  102.2,
479.00,  101.9,
478.00,  102.3,
477.00,  102.1,
476.00,  102.4,
475.00,  102.4,
474.00,  102.3,
473.00,  102.5,
472.00,  102.4,
471.00,  102.4,
470.00,  102.2,
469.00,  102.3,
468.00,  102.1,
467.00,  102.4,
466.00,  102.3,
465.00,  102.5,
464.00,  102.8,
463.00,  102.6,
462.00,  102.8,
461.00,  103.2,
460.00,  103.2,
459.00,  103.2,
458.00,  103.3,
457.00,  103.9,
456.00,  103.6,
455.00,  103.4,
454.00,  103.5,
453.00,  103.9,
452.00,  104.4,
451.00,  104.2,
450.00,  104.3,
449.00,  104.8,
448.00,  104.8,
447.00,  104.7,
446.00,  105.3,
445.00,  105.3,
444.00,  105.4,
443.00,  105.6,
442.00,  106.3,
441.00,  106.2,
440.00,  106.5,
439.00,  106.3,
438.00,  106.3,
437.00,  107.0,
436.00,  106.6,
435.00,  106.8,
434.00,  106.5,
433.00,  107.0,
432.00,  107.2,
431.00,  106.9,
430.00,  107.3,
429.00,  107.1,
428.00,  107.3,
427.00,  107.7,
426.00,  106.9,
425.00,  107.5,
424.00,  107.5,
423.00,  107.4,
422.00,  108.3,
421.00,  107.7,
420.00,  107.8,
419.00,  107.5,
418.00,  107.4,
417.00,  107.5,
416.00,  107.1,
415.00,  106.5,
414.00,  106.3,
413.00,  106.4,
412.00,  106.3,
411.00,  105.9,
410.00,  105.9,
409.00,  105.3,
408.00,  105.3,
407.00,  105.4,
406.00,  105.3,
405.00,  105.0,
404.00,  105.2,
403.00,  105.0,
402.00,  104.6,
401.00,  104.5,
400.00,  104.7,
399.00,  104.2,
398.00,  104.1,
397.00,  103.7,
396.00,  103.5,
395.00,  103.9,
394.00,  103.5,
393.00,  103.8,
392.00,  103.1,
391.00,  103.1,
390.00,  103.1,
389.00,  103.0,
388.00,  103.1,
387.00,  102.4,
386.00,  102.5,
385.00,  102.4,
384.00,  102.5,
383.00,  102.9,
382.00,  103.1,
381.00,  102.7,
380.00,  102.9,
379.00,  102.2,
378.00,  102.3,
377.00,  102.6,
376.00,  102.9,
375.00,  102.9,
374.00,  102.4,
373.00,  102.7,
372.00,  102.9,
371.00,  102.7,
370.00,  102.8,
369.00,  102.9,
368.00,  102.3,
367.00,  102.9,
366.00,  102.7,
365.00,  102.5,
364.00,  102.6,
363.00,  102.1,
362.00,  101.8,
361.00,  101.9,
360.00,  102.3,
359.00,  102.1,
358.00,  102.0,
357.00,  102.4,
356.00,  101.7,
355.00,  102.8,
354.00,  102.8,
353.00,  102.2,
352.00,  102.2,
351.00,  102.8,
350.00,  102.1,
349.00,  103.3,
348.00,  102.7,
347.00,  101.9,
346.00,  102.6,
345.00,  102.9,
344.00,  102.3,
343.00,  102.6,
342.00,  102.5,
341.00,  102.8,
