nm    	T%   
700.00 	101.5 
699.00 	101.8 
698.00 	101.5 
697.00 	101.6 
696.00 	101.4 
695.00 	101.3 
694.00 	101.6 
693.00 	101.7 
692.00 	101.8 
691.00 	101.7 
690.00 	101.7 
689.00 	101.6 
688.00 	102.2 
687.00 	101.7 
686.00 	101.9 
685.00 	101.8 
684.00 	102.1 
683.00 	101.8 
682.00 	101.8 
681.00 	101.8 
680.00 	102.2 
679.00 	102.1 
678.00 	101.8 
677.00 	102.0 
676.00 	102.1 
675.00 	101.7 
674.00 	102.1 
673.00 	101.9 
672.00 	101.9 
671.00 	101.9 
670.00 	102.1 
669.00 	101.4 
668.00 	101.9 
667.00 	102.0 
666.00 	101.9 
665.00 	101.8 
664.00 	102.6 
663.00 	102.6 
662.00 	102.4 
661.00 	102.6 
660.00 	102.5 
659.00 	102.7 
658.00 	102.3 
657.00 	102.8 
656.00 	102.6 
655.00 	102.6 
654.00 	102.4 
653.00 	102.9 
652.00 	102.9 
651.00 	102.8 
650.00 	102.8 
649.00 	102.9 
648.00 	102.9 
647.00 	103.1 
646.00 	103.0 
645.00 	103.0 
644.00 	102.9 
643.00 	103.0 
642.00 	102.4 
641.00 	102.8 
640.00 	102.8 
639.00 	102.9 
638.00 	102.5 
637.00 	102.4 
636.00 	102.4 
635.00 	102.5 
634.00 	102.6 
633.00 	102.5 
632.00 	102.2 
631.00 	102.4 
630.00 	102.3 
629.00 	102.6 
628.00 	102.0 
627.00 	102.4 
626.00 	102.4 
625.00 	102.0 
624.00 	102.4 
623.00 	102.4 
622.00 	102.4 
621.00 	102.6 
620.00 	102.6 
619.00 	102.2 
618.00 	102.4 
617.00 	102.5 
616.00 	102.7 
615.00 	102.6 
614.00 	103.0 
613.00 	102.7 
612.00 	102.6 
611.00 	102.8 
610.00 	102.7 
609.00 	102.7 
608.00 	102.8 
607.00 	102.7 
606.00 	102.9 
605.00 	103.0 
604.00 	103.1 
603.00 	103.1 
602.00 	103.1 
601.00 	103.1 
600.00 	103.3 
599.00 	103.6 
598.00 	103.5 
597.00 	103.7 
596.00 	103.6 
595.00 	103.6 
594.00 	103.5 
593.00 	103.5 
592.00 	103.8 
591.00 	103.5 
590.00 	103.6 
589.00 	103.6 
588.00 	103.6 
587.00 	103.5 
586.00 	103.4 
585.00 	103.4 
584.00 	103.3 
583.00 	103.3 
582.00 	103.3 
581.00 	103.2 
580.00 	103.2 
579.00 	103.2 
578.00 	103.3 
577.00 	103.2 
576.00 	103.2 
575.00 	103.2 
574.00 	103.2 
573.00 	103.2 
572.00 	103.4 
571.00 	103.5 
570.00 	103.3 
569.00 	103.6 
568.00 	103.6 
567.00 	103.8 
566.00 	104.0 
565.00 	103.5 
564.00 	103.9 
563.00 	103.8 
562.00 	104.0 
561.00 	104.5 
560.00 	104.5 
559.00 	104.5 
558.00 	104.5 
557.00 	104.5 
556.00 	104.4 
555.00 	104.7 
554.00 	104.5 
553.00 	104.6 
552.00 	104.4 
551.00 	104.6 
550.00 	104.7 
549.00 	104.6 
548.00 	104.3 
547.00 	104.3 
546.00 	104.4 
545.00 	104.4 
544.00 	104.0 
543.00 	104.3 
542.00 	104.2 
541.00 	104.5 
540.00 	104.1 
539.00 	104.0 
538.00 	104.1 
537.00 	104.0 
536.00 	104.5 
535.00 	104.4 
534.00 	104.4 
533.00 	104.3 
532.00 	104.7 
531.00 	104.7 
530.00 	104.7 
529.00 	105.1 
528.00 	105.2 
527.00 	105.4 
526.00 	105.1 
525.00 	105.3 
524.00 	105.7 
523.00 	106.2 
522.00 	105.9 
521.00 	106.2 
520.00 	106.1 
519.00 	106.1 
518.00 	106.0 
517.00 	106.2 
516.00 	106.1 
515.00 	105.9 
514.00 	106.0 
513.00 	105.7 
512.00 	105.6 
511.00 	105.5 
510.00 	105.6 
509.00 	105.4 
508.00 	105.4 
507.00 	105.0 
506.00 	105.4 
505.00 	104.6 
504.00 	104.9 
503.00 	104.7 
502.00 	104.6 
501.00 	104.6 
500.00 	104.6 
499.00 	104.7 
498.00 	105.0 
497.00 	104.4 
496.00 	104.9 
495.00 	104.3 
494.00 	104.5 
493.00 	104.8 
492.00 	105.1 
491.00 	104.4 
490.00 	104.9 
489.00 	105.1 
488.00 	104.7 
487.00 	105.0 
486.00 	104.9 
485.00 	105.0 
484.00 	105.0 
483.00 	105.2 
482.00 	105.2 
481.00 	105.3 
480.00 	105.1 
479.00 	105.2 
478.00 	105.4 
477.00 	105.2 
476.00 	105.4 
475.00 	105.0 
474.00 	105.1 
473.00 	105.1 
472.00 	105.1 
471.00 	105.6 
470.00 	105.9 
469.00 	105.5 
468.00 	105.7 
467.00 	106.2 
466.00 	105.6 
465.00 	105.9 
464.00 	106.5 
463.00 	106.3 
462.00 	106.4 
461.00 	106.7 
460.00 	106.7 
459.00 	106.7 
458.00 	106.9 
457.00 	107.3 
456.00 	107.0 
455.00 	107.8 
454.00 	107.6 
453.00 	107.8 
452.00 	108.3 
451.00 	108.0 
450.00 	108.5 
449.00 	108.6 
448.00 	109.2 
447.00 	109.1 
446.00 	109.3 
445.00 	110.1 
444.00 	110.5 
