nm    	T%   
381.00 	110.7 
380.00 	110.4 
379.00 	110.1 
378.00 	110.3 
377.00 	109.7 
376.00 	110.1 
375.00 	110.1 
374.00 	109.6 
373.00 	109.3 
372.00 	109.5 
371.00 	110.0 
370.00 	109.8 
369.00 	109.3 
368.00 	109.4 
367.00 	109.7 
366.00 	110.3 
365.00 	109.7 
364.00 	109.8 
363.00 	109.5 
362.00 	109.2 
361.00 	110.1 
360.00 	109.4 
359.00 	109.7 
358.00 	109.2 
357.00 	109.1 
356.00 	109.1 
355.00 	108.9 
354.00 	109.7 
353.00 	109.5 
352.00 	109.4 
351.00 	109.7 
350.00 	109.4 
349.00 	108.8 
348.00 	108.7 
347.00 	109.5 
346.00 	108.9 
345.00 	109.4 
344.00 	108.9 
343.00 	108.7 
342.00 	108.7 
341.00 	109.0 
340.00 	109.1 
339.00 	109.2 
338.00 	109.2 
337.00 	109.0 
336.00 	108.3 
335.00 	108.6 
334.00 	108.9 
333.00 	108.7 
332.00 	108.7 
331.00 	109.2 
330.00 	109.1 
329.00 	109.2 
328.00 	109.7 
327.00 	108.6 
326.00 	108.8 
325.00 	109.3 
324.00 	109.6 
323.00 	109.7 
322.00 	109.2 
321.00 	109.3 
320.00 	109.9 
319.00 	109.6 
318.00 	109.7 
317.00 	110.0 
316.00 	109.8 
315.00 	109.5 
314.00 	110.5 
313.00 	110.1 
312.00 	110.7 
311.00 	110.1 
310.00 	110.2 
309.00 	111.1 
308.00 	110.7 
307.00 	110.7 
306.00 	110.5 
305.00 	110.7 
304.00 	110.3 
303.00 	110.8 
302.00 	110.4 
301.00 	110.8 
300.00 	111.0 
