nm,T%,
381.00,  113.3,
380.00,  113.0,
379.00,  112.7,
378.00,  112.8,
377.00,  112.6,
376.00,  112.8,
375.00,  112.8,
374.00,  112.6,
373.00,  112.7,
372.00,  112.9,
371.00,  112.9,
370.00,  112.5,
369.00,  112.7,
368.00,  112.3,
367.00,  113.0,
366.00,  112.8,
365.00,  112.7,
364.00,  112.2,
363.00,  112.5,
362.00,  111.7,
361.00,  111.6,
360.00,  111.8,
359.00,  112.3,
358.00,  111.7,
357.00,  111.4,
356.00,  110.9,
355.00,  111.7,
354.00,  111.9,
353.00,  111.5,
352.00,  111.1,
351.00,  111.9,
350.00,  111.2,
349.00,  111.8,
348.00,  111.7,
347.00,  111.3,
346.00,  111.5,
345.00,  111.5,
344.00,  111.1,
343.00,  110.6,
342.00,  110.6,
341.00,  111.3,
340.00,  110.8,
339.00,  110.6,
338.00,  111.4,
337.00,  111.1,
336.00,  111.2,
335.00,  111.3,
334.00,  111.0,
333.00,  111.0,
332.00,  111.1,
331.00,  110.9,
330.00,  111.3,
329.00,  111.5,
328.00,  112.4,
327.00,  112.5,
326.00,  112.4,
325.00,  112.3,
324.00,  112.0,
323.00,  112.9,
322.00,  113.0,
321.00,  111.9,
320.00,  113.1,
319.00,  113.3,
318.00,  113.2,
317.00,  113.4,
316.00,  113.9,
315.00,  114.6,
314.00,  114.4,
313.00,  114.9,
312.00,  115.3,
311.00,  116.0,
310.00,  116.0,
309.00,  116.1,
308.00,  115.8,
307.00,  116.6,
306.00,  116.4,
305.00,  117.3,
304.00,  117.7,
303.00,  118.2,
302.00,  118.1,
301.00,  118.4,
300.00,  119.2,
