Chan	Prompt	Decay
1	0	0
2	0	0
3	1	1
4	0	1
5	0	0
6	0	0
7	0	1
8	0	0
9	0	1
10	0	0
11	0	1
12	0	0
13	0	1
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	1	2
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	1
36	0	0
37	0	0
38	0	0
39	0	1
40	0	0
41	0	1
42	1	1
43	0	0
44	0	0
45	0	0
46	0	1
47	0	0
48	0	0
49	0	0
50	0	0
51	0	2
52	0	0
53	0	0
54	0	0
55	0	0
56	0	1
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	1
67	0	0
68	0	0
69	0	1
70	0	0
71	0	0
72	0	2
73	0	0
74	0	1
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	1
81	0	2
82	0	1
83	0	0
84	0	0
85	0	1
86	0	0
87	0	1
88	0	0
89	0	1
90	0	0
91	1	0
92	0	1
93	0	1
94	0	0
95	0	0
96	1	0
97	5	0
98	7	1
99	23	1
100	46	0
101	72	1
102	126	1
103	223	4
104	396	5
105	815	20
106	1486	30
107	2731	42
108	4335	86
109	6630	171
110	9312	205
111	11683	267
112	12891	364
113	13615	462
114	13118	541
115	11184	679
116	9416	736
117	6861	777
118	4782	835
119	3333	870
120	2047	714
121	1283	718
122	805	724
123	425	619
124	265	530
125	138	539
126	89	540
127	64	481
128	46	477
129	36	432
130	30	402
131	20	407
132	22	371
133	13	397
134	13	355
135	16	367
136	14	317
137	10	333
138	9	322
139	10	343
140	9	311
141	5	314
142	4	275
143	0	292
144	2	252
145	3	255
146	1	264
147	0	244
148	1	222
149	1	220
150	1	224
151	1	222
152	2	250
153	1	224
154	0	211
155	0	195
156	0	196
157	0	192
158	1	198
159	1	194
160	0	195
161	0	187
162	0	172
163	0	179
164	0	170
165	0	177
166	0	177
167	0	169
168	0	169
169	1	142
170	1	175
171	0	129
172	0	126
173	0	159
174	0	128
175	2	146
176	0	138
177	0	147
178	0	147
179	0	149
180	0	144
181	0	143
182	0	134
183	0	137
184	0	122
185	0	127
186	0	122
187	0	130
188	0	114
189	1	111
190	0	104
191	0	97
192	1	109
193	0	118
194	0	107
195	0	127
196	0	110
197	0	117
198	0	101
199	0	94
200	0	109
201	0	92
202	0	96
203	0	105
204	1	111
205	0	85
206	0	99
207	2	96
208	1	68
209	0	87
210	0	83
211	1	86
212	0	104
213	0	72
214	0	79
215	0	89
216	0	107
217	0	83
218	0	91
219	0	86
220	0	80
221	0	74
222	0	98
223	1	79
224	0	73
225	0	75
226	0	84
227	0	93
228	0	77
229	0	80
230	0	87
231	0	70
232	0	71
233	0	67
234	0	71
235	0	70
236	0	72
237	0	54
238	0	81
239	0	69
240	1	66
241	2	56
242	0	71
243	0	64
