Chan	Prompt	Decay
1	0	0
2	0	0
3	1	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	1
9	0	0
10	0	0
11	0	1
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	1
18	0	0
19	0	1
20	0	0
21	0	0
22	0	1
23	0	0
24	0	0
25	0	0
26	1	0
27	0	2
28	0	0
29	0	0
30	0	1
31	0	0
32	0	1
33	0	0
34	0	1
35	0	0
36	0	0
37	0	0
38	0	1
39	0	0
40	0	1
41	0	0
42	1	0
43	0	1
44	0	0
45	0	0
46	0	0
47	0	1
48	0	0
49	0	0
50	0	1
51	0	0
52	0	0
53	0	0
54	0	1
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	1
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	1
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	1
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	1
90	0	1
91	1	0
92	0	0
93	0	0
94	0	0
95	0	1
96	1	2
97	5	1
98	7	1
99	23	0
100	46	2
101	72	2
102	126	3
103	223	2
104	396	9
105	815	22
106	1486	40
107	2731	65
108	4335	161
109	6630	240
110	9312	377
111	11683	476
112	12891	694
113	13615	886
114	13118	1036
115	11184	1216
116	9416	1467
117	6861	1559
118	4782	1614
119	3333	1781
120	2047	1756
121	1283	1675
122	805	1626
123	425	1541
124	265	1355
125	138	1247
126	89	1199
127	64	1050
128	46	1009
129	36	916
130	30	818
131	20	703
132	22	706
133	13	664
134	13	663
135	16	592
136	14	557
137	10	502
138	9	508
139	10	490
140	9	446
141	5	451
142	4	401
143	0	388
144	2	329
145	3	316
146	1	310
147	0	299
148	1	291
149	1	304
150	1	286
151	1	222
152	2	232
153	1	237
154	0	233
155	0	221
156	0	201
157	0	241
158	1	207
159	1	186
160	0	194
161	0	198
162	0	173
163	0	173
164	0	177
165	0	156
166	0	138
167	0	158
168	0	154
169	1	138
170	1	129
171	0	134
172	0	127
173	0	139
174	0	111
175	2	133
176	0	116
177	0	105
178	0	101
179	0	103
180	0	74
181	0	100
182	0	88
183	0	103
184	0	89
185	0	71
186	0	94
187	0	52
188	0	77
189	1	85
190	0	96
191	0	62
192	1	87
193	0	83
194	0	74
195	0	67
196	0	52
197	0	71
198	0	60
199	0	62
200	0	54
201	0	65
202	0	58
203	0	59
204	1	66
205	0	65
206	0	65
207	2	51
208	1	62
209	0	56
210	0	54
211	1	50
212	0	47
213	0	52
214	0	41
215	0	61
216	0	57
217	0	49
218	0	45
219	0	35
220	0	35
221	0	40
222	0	40
223	1	49
224	0	48
225	0	52
226	0	38
227	0	45
228	0	47
229	0	32
230	0	39
231	0	49
232	0	35
233	0	37
234	0	32
235	0	34
236	0	38
237	0	33
238	0	41
239	0	28
240	1	40
241	2	35
