Chan	Prompt	Decay
1	0	0
2	0	0
3	1	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	1
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	1
24	0	1
25	0	0
26	1	0
27	0	0
28	0	0
29	0	0
30	0	1
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	1
41	0	0
42	1	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	1
52	0	0
53	0	1
54	0	0
55	0	0
56	0	1
57	0	0
58	0	1
59	0	1
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	1
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	1
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	1
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	1
91	1	0
92	0	0
93	0	0
94	0	0
95	0	0
96	1	0
97	5	0
98	7	0
99	23	0
100	46	0
101	72	1
102	126	1
103	223	2
104	396	11
105	815	10
106	1486	29
107	2731	44
108	4335	89
109	6630	95
110	9312	146
111	11683	171
112	12891	222
113	13615	249
114	13118	288
115	11184	313
116	9416	340
117	6861	301
118	4782	319
119	3333	305
120	2047	210
121	1283	196
122	805	140
123	425	123
124	265	83
125	138	83
126	89	46
127	64	36
128	46	41
129	36	29
130	30	33
131	20	31
132	22	24
133	13	31
134	13	19
135	16	20
136	14	24
137	10	22
138	9	21
139	10	29
140	9	14
141	5	15
142	4	16
143	0	17
144	2	25
145	3	13
146	1	15
147	0	10
148	1	11
149	1	14
150	1	11
151	1	10
152	2	14
153	1	8
154	0	10
155	0	11
156	0	7
157	0	7
158	1	18
159	1	11
160	0	12
161	0	5
162	0	9
163	0	9
164	0	8
165	0	9
166	0	5
167	0	8
168	0	7
169	1	9
170	1	7
171	0	5
172	0	1
173	0	6
174	0	3
175	2	13
176	0	5
177	0	5
178	0	5
179	0	6
180	0	4
181	0	4
182	0	5
183	0	6
184	0	4
185	0	3
186	0	5
187	0	3
188	0	3
189	1	6
190	0	5
191	0	6
192	1	2
193	0	4
194	0	6
195	0	5
196	0	4
197	0	3
198	0	1
199	0	2
200	0	3
201	0	6
202	0	5
203	0	2
204	1	3
205	0	5
206	0	3
207	2	5
208	1	4
209	0	3
210	0	1
211	1	4
212	0	0
213	0	1
214	0	4
215	0	6
216	0	4
217	0	4
218	0	4
219	0	4
220	0	3
221	0	1
222	0	5
223	1	0
224	0	1
225	0	2
226	0	3
227	0	6
228	0	3
229	0	2
230	0	5
231	0	1
232	0	2
233	0	2
234	0	2
235	0	0
236	0	3
237	0	1
238	0	1
239	0	1
240	1	3
241	2	3
242	0	4
243	0	2
