Chan	Prompt	Decay
1	0	0
2	0	0
3	1	1
4	0	0
5	0	1
6	0	1
7	0	0
8	0	2
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	1
16	0	0
17	0	0
18	0	0
19	0	0
20	0	1
21	0	1
22	0	0
23	0	0
24	0	0
25	0	0
26	1	1
27	0	0
28	0	0
29	0	0
30	0	1
31	0	0
32	0	0
33	0	0
34	0	0
35	0	1
36	0	1
37	0	0
38	0	0
39	0	0
40	0	0
41	0	1
42	1	0
43	0	0
44	0	2
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	1
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	1
58	0	0
59	0	0
60	0	0
61	0	1
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	1
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	1
80	0	0
81	0	0
82	0	0
83	0	1
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	1	0
92	0	0
93	0	0
94	0	0
95	0	0
96	1	0
97	5	0
98	7	0
99	23	0
100	46	2
101	72	0
102	126	0
103	223	4
104	396	6
105	815	8
106	1486	20
107	2731	46
108	4335	79
109	6630	114
110	9312	135
111	11683	229
112	12891	250
113	13615	281
114	13118	311
115	11184	354
116	9416	370
117	6861	380
118	4782	362
119	3333	299
120	2047	220
121	1283	211
122	805	156
123	425	127
124	265	92
125	138	63
126	89	54
127	64	59
128	46	32
129	36	38
130	30	28
131	20	30
132	22	27
133	13	22
134	13	13
135	16	15
136	14	18
137	10	19
138	9	13
139	10	16
140	9	18
141	5	13
142	4	14
143	0	17
144	2	13
145	3	10
146	1	5
147	0	8
148	1	2
149	1	11
150	1	9
151	1	13
152	2	5
153	1	8
154	0	9
155	0	6
156	0	13
157	0	9
158	1	8
159	1	8
160	0	13
161	0	8
162	0	7
163	0	3
164	0	6
165	0	8
166	0	11
167	0	11
168	0	9
169	1	4
170	1	5
171	0	14
172	0	5
173	0	5
174	0	6
175	2	3
176	0	7
177	0	2
178	0	4
179	0	6
180	0	6
181	0	4
182	0	5
183	0	5
184	0	6
185	0	3
186	0	5
187	0	5
188	0	9
189	1	4
190	0	3
191	0	2
192	1	4
193	0	3
194	0	7
195	0	3
196	0	2
197	0	4
198	0	2
199	0	1
200	0	4
201	0	6
202	0	2
203	0	0
204	1	4
205	0	1
206	0	1
207	2	7
208	1	3
209	0	1
210	0	4
211	1	3
212	0	2
213	0	3
214	0	1
215	0	4
216	0	3
217	0	1
218	0	1
219	0	4
220	0	0
221	0	4
222	0	1
223	1	1
224	0	4
225	0	2
226	0	1
227	0	3
228	0	3
229	0	2
230	0	3
231	0	2
232	0	5
233	0	1
234	0	2
235	0	4
236	0	0
237	0	0
238	0	0
239	0	2
240	1	1
241	2	1
242	0	2
243	0	4
