Chan	Prompt	Decay
1	0	0
2	0	0
3	1	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	2
14	0	0
15	0	0
16	0	0
17	0	0
18	0	1
19	0	0
20	0	1
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	1	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	1	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	1
49	0	0
50	0	1
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	1
58	0	0
59	0	1
60	0	0
61	0	0
62	0	0
63	0	0
64	0	1
65	0	0
66	0	0
67	0	1
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	2
74	0	0
75	0	1
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	2
83	0	1
84	0	0
85	0	1
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	1	0
92	0	0
93	0	0
94	0	0
95	0	0
96	1	1
97	5	0
98	7	2
99	23	2
100	46	0
101	72	3
102	126	3
103	223	4
104	396	13
105	815	19
106	1486	42
107	2731	68
108	4335	124
109	6630	207
110	9312	298
111	11683	429
112	12891	505
113	13615	716
114	13118	807
115	11184	974
116	9416	1106
117	6861	1234
118	4782	1352
119	3333	1349
120	2047	1358
121	1283	1242
122	805	1210
123	425	1148
124	265	1019
125	138	911
126	89	902
127	64	793
128	46	765
129	36	683
130	30	653
131	20	599
132	22	580
133	13	505
134	13	459
135	16	459
136	14	407
137	10	462
138	9	447
139	10	394
140	9	389
141	5	376
142	4	346
143	0	299
144	2	280
145	3	275
146	1	270
147	0	286
148	1	254
149	1	231
150	1	278
151	1	193
152	2	209
153	1	199
154	0	198
155	0	185
156	0	188
157	0	181
158	1	151
159	1	193
160	0	166
161	0	152
162	0	173
163	0	151
164	0	141
165	0	161
166	0	149
167	0	190
168	0	144
169	1	144
170	1	129
171	0	135
172	0	118
173	0	110
174	0	107
175	2	129
176	0	104
177	0	110
178	0	119
179	0	106
180	0	108
181	0	107
182	0	102
183	0	102
184	0	85
185	0	87
186	0	85
187	0	96
188	0	92
189	1	63
190	0	88
191	0	77
192	1	60
193	0	78
194	0	94
195	0	67
196	0	70
197	0	76
198	0	60
199	0	76
200	0	64
201	0	77
202	0	73
203	0	61
204	1	70
205	0	75
206	0	69
207	2	68
208	1	57
209	0	61
210	0	51
211	1	49
212	0	49
213	0	50
214	0	56
215	0	51
216	0	47
217	0	48
218	0	65
219	0	61
220	0	55
221	0	48
222	0	60
223	1	44
224	0	42
225	0	56
226	0	37
227	0	52
228	0	42
229	0	45
230	0	38
231	0	46
232	0	39
233	0	56
234	0	40
235	0	41
236	0	49
237	0	47
238	0	38
239	0	37
240	1	37
241	2	31
242	0	39
