Chan	Prompt	Decay
1	0	0
2	0	0
3	1	0
4	0	1
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	1
16	0	0
17	0	0
18	0	0
19	0	0
20	0	1
21	0	0
22	0	0
23	0	0
24	0	1
25	0	1
26	1	0
27	0	0
28	0	0
29	0	0
30	0	1
31	0	0
32	0	0
33	0	2
34	0	0
35	0	1
36	0	0
37	0	0
38	0	0
39	0	1
40	0	1
41	0	1
42	1	1
43	0	1
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	2
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	1
69	0	0
70	0	0
71	0	1
72	0	1
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	1
89	0	0
90	0	0
91	1	0
92	0	0
93	0	1
94	0	0
95	0	1
96	1	1
97	5	0
98	7	0
99	23	1
100	46	2
101	72	2
102	126	1
103	223	8
104	396	11
105	815	10
106	1486	20
107	2731	46
108	4335	81
109	6630	132
110	9312	187
111	11683	223
112	12891	290
113	13615	425
114	13118	459
115	11184	539
116	9416	613
117	6861	602
118	4782	602
119	3333	600
120	2047	550
121	1283	573
122	805	531
123	425	438
124	265	359
125	138	337
126	89	272
127	64	293
128	46	261
129	36	257
130	30	213
131	20	214
132	22	200
133	13	177
134	13	159
135	16	166
136	14	149
137	10	180
138	9	114
139	10	125
140	9	108
141	5	123
142	4	118
143	0	108
144	2	85
145	3	85
146	1	100
147	0	80
148	1	80
149	1	85
150	1	63
151	1	71
152	2	77
153	1	65
154	0	57
155	0	55
156	0	63
157	0	53
158	1	62
159	1	50
160	0	46
161	0	51
162	0	46
163	0	40
164	0	39
165	0	34
166	0	37
167	0	34
168	0	39
169	1	37
170	1	31
171	0	27
172	0	30
173	0	30
174	0	31
175	2	27
176	0	25
177	0	36
178	0	28
179	0	25
180	0	32
181	0	14
182	0	29
183	0	22
184	0	30
185	0	15
186	0	25
187	0	25
188	0	22
189	1	16
190	0	20
191	0	18
192	1	24
193	0	18
194	0	20
195	0	20
196	0	17
197	0	17
198	0	16
199	0	21
200	0	17
201	0	22
202	0	16
203	0	13
204	1	15
205	0	12
206	0	15
207	2	12
208	1	9
209	0	15
210	0	17
211	1	14
212	0	18
213	0	5
214	0	9
215	0	11
216	0	13
217	0	7
218	0	12
219	0	11
220	0	14
221	0	13
222	0	10
223	1	14
224	0	6
225	0	17
226	0	8
227	0	13
228	0	17
229	0	14
230	0	10
231	0	3
232	0	10
233	0	9
234	0	11
235	0	6
236	0	7
237	0	10
238	0	9
239	0	8
240	1	5
241	2	4
242	0	9
243	0	6
