Chan	Prompt	Decay
1	0	0
2	0	0
3	1	1
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	1
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	1
26	1	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	1	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	1
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	3
55	0	0
56	0	1
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	1
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	1
72	0	1
73	0	0
74	0	0
75	0	0
76	0	1
77	0	0
78	0	1
79	0	0
80	0	0
81	0	0
82	0	1
83	0	1
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	1	1
92	0	0
93	0	0
94	0	0
95	0	0
96	1	1
97	5	0
98	7	0
99	23	0
100	46	1
101	72	3
102	126	2
103	223	0
104	396	8
105	815	20
106	1486	41
107	2731	53
108	4335	102
109	6630	157
110	9312	216
111	11683	300
112	12891	391
113	13615	525
114	13118	627
115	11184	714
116	9416	778
117	6861	856
118	4782	872
119	3333	914
120	2047	894
121	1283	852
122	805	804
123	425	707
124	265	633
125	138	590
126	89	520
127	64	497
128	46	475
129	36	414
130	30	332
131	20	312
132	22	341
133	13	319
134	13	283
135	16	269
136	14	226
137	10	238
138	9	224
139	10	216
140	9	201
141	5	202
142	4	158
143	0	160
144	2	158
145	3	144
146	1	135
147	0	127
148	1	124
149	1	105
150	1	106
151	1	118
152	2	92
153	1	87
154	0	112
155	0	86
156	0	107
157	0	72
158	1	61
159	1	72
160	0	79
161	0	69
162	0	71
163	0	75
164	0	66
165	0	70
166	0	62
167	0	66
168	0	52
169	1	46
170	1	48
171	0	57
172	0	50
173	0	51
174	0	47
175	2	32
176	0	49
177	0	47
178	0	47
179	0	43
180	0	40
181	0	41
182	0	36
183	0	44
184	0	38
185	0	49
186	0	38
187	0	35
188	0	30
189	1	27
190	0	36
191	0	35
192	1	28
193	0	22
194	0	26
195	0	26
196	0	28
197	0	24
198	0	23
199	0	31
200	0	37
201	0	19
202	0	24
203	0	18
204	1	28
205	0	23
206	0	25
207	2	24
208	1	20
209	0	20
210	0	29
211	1	21
212	0	16
213	0	28
214	0	22
215	0	14
216	0	24
217	0	23
218	0	14
219	0	21
220	0	16
221	0	16
222	0	19
223	1	22
224	0	12
225	0	20
226	0	16
227	0	15
228	0	15
229	0	20
230	0	17
231	0	14
232	0	12
233	0	13
234	0	13
235	0	15
236	0	10
237	0	13
238	0	17
239	0	14
240	1	14
241	2	15
242	0	11
243	0	17
