Chan	Prompt	Decay
1	0	0
2	0	0
3	1	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	1
9	0	0
10	0	1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	1
20	0	0
21	0	1
22	0	0
23	0	0
24	0	0
25	0	0
26	1	1
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	1
38	0	0
39	0	0
40	0	0
41	0	0
42	1	1
43	0	1
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	1
64	0	0
65	0	2
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	1
74	0	0
75	0	1
76	0	0
77	0	0
78	0	0
79	0	0
80	0	1
81	0	0
82	0	1
83	0	0
84	0	0
85	0	1
86	0	0
87	0	0
88	0	0
89	0	0
90	0	1
91	1	1
92	0	0
93	0	0
94	0	3
95	0	0
96	1	0
97	5	0
98	7	0
99	23	0
100	46	1
101	72	0
102	126	2
103	223	6
104	396	9
105	815	13
106	1486	42
107	2731	71
108	4335	124
109	6630	177
110	9312	313
111	11683	387
112	12891	482
113	13615	659
114	13118	844
115	11184	983
116	9416	1086
117	6861	1185
118	4782	1306
119	3333	1328
120	2047	1203
121	1283	1204
122	805	1204
123	425	1064
124	265	1008
125	138	878
126	89	790
127	64	733
128	46	707
129	36	642
130	30	582
131	20	570
132	22	516
133	13	423
134	13	457
135	16	442
136	14	377
137	10	370
138	9	342
139	10	306
140	9	312
141	5	299
142	4	242
143	0	254
144	2	243
145	3	227
146	1	215
147	0	227
148	1	176
149	1	184
150	1	187
151	1	154
152	2	177
153	1	163
154	0	146
155	0	156
156	0	150
157	0	124
158	1	142
159	1	114
160	0	112
161	0	129
162	0	107
163	0	108
164	0	99
165	0	99
166	0	104
167	0	105
168	0	96
169	1	88
170	1	77
171	0	107
172	0	75
173	0	70
174	0	81
175	2	67
176	0	57
177	0	67
178	0	68
179	0	74
180	0	56
181	0	62
182	0	63
183	0	64
184	0	49
185	0	65
186	0	63
187	0	70
188	0	47
189	1	67
190	0	48
191	0	47
192	1	42
193	0	35
194	0	46
195	0	44
196	0	40
197	0	40
198	0	48
199	0	38
200	0	51
201	0	39
202	0	31
203	0	43
204	1	38
205	0	48
206	0	29
207	2	31
208	1	24
209	0	36
210	0	27
211	1	26
212	0	29
213	0	35
214	0	27
215	0	35
216	0	23
217	0	22
218	0	38
219	0	23
220	0	20
221	0	29
222	0	28
223	1	22
224	0	35
225	0	25
226	0	20
227	0	29
228	0	28
229	0	25
230	0	25
231	0	19
232	0	19
233	0	22
234	0	22
235	0	12
236	0	19
237	0	19
238	0	17
239	0	16
240	1	24
241	2	16
242	0	12
