Chan	Prompt	Decay
1	0	0
2	0	0
3	1	0
4	0	0
5	0	1
6	0	1
7	0	0
8	0	0
9	0	1
10	0	1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	1
21	0	0
22	0	0
23	0	0
24	0	0
25	0	1
26	1	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	2
32	0	1
33	0	0
34	0	1
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	1	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	2
52	0	0
53	0	0
54	0	0
55	0	1
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	1
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	1
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	2
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	1
90	0	0
91	1	0
92	0	0
93	0	1
94	0	0
95	0	0
96	1	0
97	5	1
98	7	0
99	23	0
100	46	2
101	72	3
102	126	0
103	223	6
104	396	4
105	815	14
106	1486	30
107	2731	45
108	4335	79
109	6630	127
110	9312	172
111	11683	201
112	12891	269
113	13615	287
114	13118	328
115	11184	357
116	9416	361
117	6861	394
118	4782	347
119	3333	300
120	2047	267
121	1283	204
122	805	147
123	425	87
124	265	69
125	138	75
126	89	34
127	64	39
128	46	21
129	36	25
130	30	27
131	20	36
132	22	24
133	13	25
134	13	20
135	16	34
136	14	18
137	10	15
138	9	16
139	10	22
140	9	10
141	5	11
142	4	18
143	0	16
144	2	13
145	3	12
146	1	10
147	0	14
148	1	11
149	1	12
150	1	9
151	1	8
152	2	9
153	1	11
154	0	12
155	0	13
156	0	7
157	0	7
158	1	6
159	1	2
160	0	11
161	0	7
162	0	8
163	0	8
164	0	5
165	0	7
166	0	16
167	0	9
168	0	6
169	1	3
170	1	5
171	0	4
172	0	8
173	0	2
174	0	3
175	2	2
176	0	8
177	0	3
178	0	12
179	0	4
180	0	1
181	0	6
182	0	5
183	0	7
184	0	3
185	0	5
186	0	5
187	0	4
188	0	2
189	1	2
190	0	4
191	0	7
192	1	7
193	0	4
194	0	3
195	0	3
196	0	3
197	0	3
198	0	1
199	0	5
200	0	2
201	0	2
202	0	2
203	0	0
204	1	5
205	0	4
206	0	1
207	2	2
208	1	6
209	0	3
210	0	1
211	1	2
212	0	6
213	0	1
214	0	3
215	0	0
216	0	3
217	0	0
218	0	5
219	0	2
220	0	2
221	0	5
222	0	3
223	1	4
224	0	3
225	0	3
226	0	2
227	0	3
228	0	1
229	0	1
230	0	3
231	0	2
232	0	1
233	0	2
234	0	1
235	0	3
236	0	2
237	0	0
238	0	2
239	0	0
240	1	2
241	2	1
242	0	2
243	0	1
