Labels,MOF90 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-8.72623583E-4,
40.00,-2.75862636E-4,
80.00,-2.81282904E-4,
120.00,1.08444027E-3,
160.00,-1.84581324E-3,
200.00,-8.63263500E-4,
240.00,-8.26422765E-5,
280.00,-2.82218301E-4,
320.00,3.02677101E-4,
360.00,-8.83944886E-5,
400.00,-8.83653411E-5,
440.00,-3.01293633E-3,
480.00,1.47343334E-3,
520.00,-8.75745536E-5,
560.00,3.05861497E-4,
600.00,-8.60934146E-4,
640.00,-2.03511026E-3,
680.00,3.02813598E-3,
720.00,1.08473247E-3,
760.00,-2.03006761E-3,
800.00,8.87746806E-4,
840.00,1.11537222E-4,
880.00,-4.75752371E-4,
920.00,-2.74062273E-4,
960.00,3.04548943E-4,
1000.00,-1.64071412E-3,
1040.00,3.05861497E-4,
1080.00,-1.84262428E-3,
1120.00,2.64052534E-3,
1160.00,2.25305930E-3,
1200.00,-2.80377601E-4,
1240.00,-2.76763923E-4,
1280.00,2.05789297E-3,
1320.00,-6.68005669E-4,
1360.00,1.47408212E-3,
1400.00,4.98578825E-4,
1440.00,-6.65851752E-4,
1480.00,3.05803493E-4,
1520.00,-1.05986360E-3,
1560.00,-1.63617916E-3,
1600.00,-8.65626498E-4,
1640.00,3.61793162E-3,
1680.00,-8.50905490E-5,
1720.00,1.08241697E-3,
1760.00,6.94216753E-4,
1800.00,-4.76774760E-4,
1840.00,-2.78598221E-4,
1880.00,3.62049765E-3,
1920.00,-1.83620595E-3,
1960.00,-1.25810248E-3,
2000.00,2.25190283E-3,
2040.00,-6.72296504E-4,
2080.00,3.02926311E-3,
2120.00,1.08417694E-3,
2160.00,-1.05613330E-3,
2200.00,-1.25278905E-3,
2240.00,2.05723196E-3,
2280.00,3.04519752E-4,
2320.00,-1.44679495E-3,
2360.00,2.45009107E-3,
2400.00,-1.25544344E-3,
2440.00,1.08648186E-4,
2480.00,4.98520734E-4,
2520.00,-1.85065088E-3,
2560.00,-6.76602416E-4,
2600.00,1.27838051E-3,
2640.00,1.08300464E-3,
2680.00,5.00214752E-4,
2720.00,1.66815647E-3,
2760.00,-6.71244052E-4,
2800.00,3.05161899E-4,
2840.00,2.64208880E-3,
2880.00,-1.84098829E-3,
2920.00,-1.25276006E-3,
2960.00,2.44942028E-3,
3000.00,1.27884955E-3,
3040.00,8.88479815E-4,
3080.00,1.27840962E-3,
3120.00,-1.64377352E-3,
3160.00,1.10108595E-4,
3200.00,8.89999967E-4,
3240.00,-6.68005669E-4,
3280.00,-1.24074449E-3,
3320.00,1.66821806E-3,
3360.00,8.89620453E-4,
3400.00,8.87307047E-4,
3440.00,3.03103030E-3,
3480.00,-1.83623482E-3,
3520.00,-4.69839812E-4,
3560.00,3.42186005E-3,
3600.00,-8.50615761E-5,
3640.00,1.28002011E-3,
3680.00,-6.75517309E-4,
3720.00,-1.06114789E-3,
3760.00,1.08648186E-4,
3800.00,-2.04359298E-3,
3840.00,8.90729018E-4,
3880.00,-6.60483318E-4,
3920.00,1.08557835E-3,
3960.00,-4.70798812E-4,
4000.00,2.64211767E-3,
4040.00,1.09349683E-4,
4080.00,3.07724782E-4,
4120.00,-8.10426936E-5,
4160.00,-1.84745330E-3,
4200.00,-2.79502070E-4,
4240.00,-1.83941214E-3,
4280.00,2.05705944E-3,
4320.00,-1.83780817E-3,
4360.00,-8.62098357E-4,
4400.00,-4.73797234E-4,
4440.00,1.08560733E-3,
4480.00,2.05795094E-3,
4520.00,1.10837653E-4,
4560.00,1.66834227E-3,
4600.00,-6.66870154E-4,
4640.00,6.93748822E-4,
4680.00,-1.25675777E-3,
4720.00,8.90350144E-4,
4760.00,-4.75781359E-4,
4800.00,3.06444475E-4,
4840.00,-4.70769912E-4,
4880.00,-4.71816835E-4,
4920.00,-8.65597394E-4,
4960.00,1.07156236E-4,
5000.00,-6.64747087E-4,
5040.00,-1.25816057E-3,
5080.00,6.94655115E-4,
5120.00,3.02618952E-4,
5160.00,-1.63923018E-3,
5200.00,-7.77941605E-5,
5240.00,2.25305930E-3,
5280.00,-2.74091144E-4,
5320.00,2.05864431E-3,
5360.00,8.90379131E-4,
5400.00,-1.25544344E-3,
5440.00,-9.00071609E-5,
5480.00,3.03271529E-3,
5520.00,-8.62098183E-4,
5560.00,2.25239387E-3,
5600.00,2.25305930E-3,
5640.00,1.10779627E-4,
5680.00,1.27925980E-3,
5720.00,-8.56258848E-4,
5760.00,1.47340435E-3,
5800.00,1.08476146E-3,
5840.00,-4.67837468E-4,
5880.00,-2.79472966E-4,
5920.00,2.05763406E-3,
5960.00,-4.75752226E-4,
6000.00,1.08297553E-3,
6040.00,-6.69113302E-4,
6080.00,2.44886684E-3,
6120.00,1.27838051E-3,
6160.00,1.86324632E-3,
6200.00,1.08505331E-3,
6240.00,-2.74991093E-4,
6280.00,-6.65880623E-4,
6320.00,2.25193193E-3,
6360.00,1.08444027E-3,
6400.00,-8.34576786E-5,
6440.00,-4.73797380E-4,
6480.00,6.95122057E-4,
6520.00,1.13021240E-4,
6560.00,4.97350004E-4,
6600.00,6.93280657E-4,
6640.00,-8.64458969E-4,
6680.00,-1.44254812E-3,
6720.00,-1.05363259E-3,
6760.00,4.98549780E-4,
6800.00,1.47387595E-3,
6840.00,-6.69055211E-4,
6880.00,-1.63920131E-3,
6920.00,-1.64529053E-3,
6960.00,-6.62569888E-4,
7000.00,1.08528696E-3,
7040.00,1.08241697E-3,
7080.00,1.12265094E-4,
7120.00,-1.83777930E-3,
7160.00,-4.74759756E-4,
7200.00,-3.01296543E-3,
7240.00,-1.06240448E-3,
7280.00,3.01974505E-4,
7320.00,1.66830851E-3,
7360.00,3.04577814E-4,
7400.00,1.27840950E-3,
7440.00,1.13747796E-4,
7480.00,-1.24473881E-3,
7520.00,1.27946457E-3,
7560.00,-1.24740775E-3,
7600.00,-8.51196382E-5,
7640.00,-6.68005669E-4,
7680.00,-8.57447798E-4,
7720.00,-4.73797380E-4,
7760.00,6.95122057E-4,
7800.00,-1.43828394E-3,
7840.00,5.01293340E-4,
7880.00,-1.26220181E-3,
7920.00,-2.03172746E-3,
7960.00,-1.26085361E-3,
8000.00,-2.81484122E-3,
8040.00,-8.64429807E-4,
8080.00,-2.73163168E-4,
