Labels,MOF230 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

8000.00,-9.16894933E-4,
8040.00,1.04601169E-3,
8080.00,2.75775744E-3,
8120.00,-1.80460236E-4,
8160.00,5.54530881E-4,
8200.00,-1.16632506E-3,
8240.00,5.54727914E-4,
8280.00,6.30774666E-5,
8320.00,1.53585861E-3,
8360.00,5.54779370E-4,
8400.00,1.53649121E-3,
8440.00,-6.69953588E-4,
8480.00,-2.64877500E-3,
8520.00,1.04789750E-3,
8560.00,6.37501071E-5,
8600.00,-1.41383929E-3,
8640.00,-6.74516195E-4,
8680.00,8.01414542E-4,
8720.00,8.00004753E-4,
8760.00,-1.82708056E-4,
8800.00,-1.89663563E-3,
8840.00,1.29218260E-3,
8880.00,1.29126583E-3,
8920.00,3.09160445E-4,
8960.00,-2.39016232E-3,
9000.00,-4.26885730E-4,
9040.00,5.54904225E-4,
9080.00,-1.16446149E-3,
9120.00,-6.69990084E-4,
9160.00,7.99681642E-4,
9200.00,2.52046902E-3,
9240.00,-3.13968817E-3,
9280.00,1.29038759E-3,
9320.00,-1.16628839E-3,
9360.00,-6.73898845E-4,
9400.00,5.54815924E-4,
9440.00,-2.38365028E-3,
9480.00,-4.59742220E-3,
9520.00,8.00726353E-4,
9560.00,-9.18475911E-4,
9600.00,-1.90063240E-3,
9640.00,-3.62070999E-3,
9680.00,1.53533649E-3,
9720.00,-2.87149404E-3,
9760.00,1.29179715E-3,
9800.00,6.30774666E-5,
9840.00,1.04725524E-3,
9880.00,-1.16819295E-3,
9920.00,-2.63995538E-3,
9960.00,1.77784264E-3,
1E04,2.27731280E-3,
10040.000,-6.73862174E-4,
10080.000,1.04569248E-3,
10120.000,-1.90471602E-3,
10160.000,3.09294352E-4,
1.02E04,-1.65085518E-3,
10240.000,8.00328562E-4,
10280.000,7.99608650E-4,
10320.000,-1.16535602E-3,
10360.000,1.78150530E-3,
1.04E04,5.54857485E-4,
10440.000,-4.35350463E-3,
10480.000,-6.74442912E-4,
10520.000,-1.83497395E-4,
10560.000,-1.64725212E-3,
1.06E04,5.54904225E-4,
10640.000,3.25830886E-3,
10680.000,-1.16542948E-3,
10720.000,2.27419240E-3,
10760.000,6.23658416E-5,
1.08E04,-9.20060498E-4,
10840.000,-1.65567861E-3,
10880.000,-1.65809842E-3,
10920.000,-9.22407373E-4,
10960.000,-4.28354542E-4,
1.1E04,-1.65934709E-3,
