Sliced MOF90 DMSO Ar 300 700 nm 20 us Delta OD

Labels,0.000 us,2.000 us,4.000 us,6.000 us,8.000 us,10.000 us,12.000 us,14.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,

300.00,-1.89809198E-5,2.53558188E-4,3.29686067E-4,8.01038521E-4,5.99286286E-4,6.86620944E-4,4.18374024E-4,1.70687039E-4,
310.00,5.15142572E-4,5.35832543E-4,5.30596124E-4,3.49558046E-4,2.30518766E-4,2.04693191E-4,3.72431910E-4,3.20043182E-4,
320.00,1.06941734E-3,1.11579383E-3,1.16101839E-3,1.07595278E-3,1.16983533E-3,1.13893568E-3,1.45365496E-3,1.43701863E-3,
330.00,8.63820373E-4,8.38752312E-4,7.41344702E-4,7.89070851E-4,7.59577611E-4,6.27428119E-4,7.31584325E-4,6.40769722E-4,
340.00,8.30165111E-4,5.94467740E-4,4.17353178E-4,2.06574507E-4,-3.37966958E-5,-3.34586774E-4,-4.78992471E-4,-8.79731728E-4,
350.00,3.83696693E-4,4.54886962E-4,1.91847270E-4,1.46799081E-4,1.30163447E-4,5.37980668E-6,-8.32518781E-5,-2.73791928E-4,
360.00,4.22449259E-4,3.16776510E-4,1.98395966E-4,3.11079843E-4,2.17198118E-4,1.50642911E-4,1.57133662E-4,2.38872344E-5,
370.00,4.19661053E-4,1.28246524E-4,-1.12005167E-4,-2.09292499E-4,-4.55259142E-4,-4.91533137E-4,-5.95594815E-4,-6.51446520E-4,
380.00,4.59540344E-4,1.90348102E-4,8.07739052E-5,2.71863610E-5,-1.57776129E-4,-2.85717892E-4,-3.47753055E-4,-3.60442209E-4,
390.00,2.07307952E-4,-1.89148413E-4,-4.73224500E-4,-6.34624797E-4,-7.95739237E-4,-8.89782212E-4,-1.05950935E-3,-1.16528070E-3,
400.00,-1.05698267E-3,-1.16828142E-3,-1.64175685E-3,-1.39596523E-3,-1.68030325E-3,-1.57678395E-3,-2.01977114E-3,-2.07192660E-3,
410.00,-1.92128948E-3,-2.52567534E-3,-2.76111462E-3,-2.72922381E-3,-2.58381316E-3,-3.12251016E-3,-3.21025541E-3,-3.57444654E-3,
420.00,-8.63245036E-3,-8.87923129E-3,-9.09893028E-3,-9.05708037E-3,-8.93239770E-3,-8.74628779E-3,-9.02333856E-3,-9.18165315E-3,
430.00,-3.15959100E-3,-2.85792421E-3,-2.73242523E-3,-2.91320984E-3,-3.00616608E-3,-3.31079867E-3,-3.31185106E-3,-3.33153293E-3,
440.00,-1.26530312E-3,-4.28117113E-4,-8.51466830E-5,-1.99908754E-4,-2.62749290E-5,3.37223202E-4,2.32152306E-4,2.24154908E-4,
450.00,-9.35869815E-4,-2.35083295E-4,2.70949949E-5,-1.80399191E-4,-1.99562885E-4,-2.99215899E-4,-6.50533126E-4,-9.31549876E-4,
460.00,-6.07184265E-5,3.82578030E-4,3.06334288E-4,1.21466554E-4,2.31063343E-4,1.03668084E-4,-1.21013094E-4,3.97910517E-5,
470.00,3.56079487E-4,6.75219868E-4,7.15209637E-4,5.82868874E-4,6.65574975E-4,5.22343384E-4,3.44389817E-4,8.51227560E-6,
480.00,7.10252425E-5,1.21296885E-4,4.99107482E-5,-8.32394871E-5,-2.85716786E-4,-3.98096890E-4,-4.58323339E-4,-5.67891519E-4,
490.00,1.06529740E-4,1.73912587E-4,1.18794233E-4,5.90240779E-5,4.26376319E-5,-6.72618262E-6,-2.01679468E-5,-1.92319247E-4,
500.00,1.81008523E-4,2.47632444E-4,2.45630159E-4,4.38324059E-4,3.78620840E-4,2.21894821E-4,1.32808418E-4,1.59835326E-4,
510.00,-2.27713477E-4,1.23482721E-4,2.09459613E-4,-8.23411901E-5,-1.14235227E-4,-2.92288576E-4,-1.73486405E-4,-1.82901960E-4,
520.00,-4.09142784E-4,-2.62223533E-4,-1.72720349E-4,-2.14807325E-4,-2.18575122E-4,-1.18361524E-4,-7.92199207E-5,-7.80126502E-5,
530.00,-1.49831467E-4,2.37723827E-4,2.89182353E-4,2.20877220E-4,4.33308654E-4,3.80010693E-4,4.03129699E-4,5.87106100E-4,
540.00,-1.73354492E-4,-1.16597555E-4,-5.15928696E-5,1.54184836E-5,-4.59275980E-5,-6.65750704E-5,-1.61523014E-4,1.23148502E-5,
550.00,-2.44361814E-4,2.59199642E-5,-2.34598465E-5,1.18472535E-5,3.98627162E-5,-2.56401609E-6,-2.63074980E-5,-4.08121196E-5,
560.00,-3.15970421E-4,-1.77885129E-4,-1.52841720E-4,-1.37201423E-4,-9.45989086E-5,-1.02012973E-5,-1.52749744E-5,-5.94037701E-5,
570.00,-2.29016543E-4,5.38359927E-5,1.17592885E-4,2.40548652E-5,9.57224111E-5,7.84742224E-6,1.32266025E-4,1.28777465E-4,
580.00,-2.94797617E-4,-5.34169085E-5,-6.00203857E-5,6.00700805E-5,9.16534482E-5,9.10587332E-5,1.55924601E-4,1.14199916E-4,
590.00,-3.48563452E-4,-1.56378286E-4,-2.19761554E-4,-1.54275680E-4,-5.13819032E-5,-6.48782734E-5,-1.28191692E-4,-6.44003558E-6,
600.00,-4.21812350E-4,-1.82550924E-4,-3.18181876E-4,-3.35519144E-4,-3.17797734E-4,-2.20894959E-4,-4.64865625E-5,-2.91928125E-4,
610.00,-2.55847088E-4,-7.73694846E-5,-1.20486839E-4,-8.86233611E-5,5.34616120E-5,7.11758112E-5,4.46112863E-5,4.44331163E-5,
620.00,-3.26216774E-4,-6.13705415E-5,5.19156583E-6,8.16207103E-5,-6.09111812E-5,-1.17498144E-4,-1.26474057E-4,-1.74840432E-4,
630.00,-3.42024141E-4,-2.98724684E-4,-2.56492116E-4,-2.93958845E-4,-4.54007793E-4,-4.91082494E-4,-5.49574208E-4,-6.20577775E-4,
640.00,-2.01981427E-4,-4.75067100E-5,-2.68944568E-5,-1.02789716E-4,-1.28348780E-4,-1.15651099E-4,-1.18491684E-4,-6.34917524E-5,
650.00,-3.55387805E-4,-9.92039131E-5,-1.19757409E-4,-7.91607818E-5,-2.13299689E-4,-1.65513541E-6,3.60066224E-5,-2.39094690E-4,
660.00,-1.95782370E-4,1.61601682E-4,-5.09167330E-5,5.89014744E-5,-3.90863133E-5,1.99869872E-4,-2.00122973E-4,-2.11828272E-4,
670.00,-1.37668234E-4,-1.54714380E-5,-1.16183786E-4,1.57261660E-4,7.21068500E-5,2.78736970E-5,-4.87500292E-5,-2.02533192E-4,
680.00,8.10747733E-5,-3.31687159E-4,-3.85336665E-4,-2.04848857E-5,-3.97874595E-4,2.55333252E-5,-4.25316161E-4,-3.79498597E-5,
690.00,-3.32475087E-4,-1.53513349E-4,-3.81931110E-4,-1.59717849E-4,-5.98046972E-5,-1.82376447E-4,-2.66291659E-6,1.45508980E-4,
700.00,-1.61317570E-4,-4.57645307E-4,-2.88877665E-4,1.87939833E-4,-4.46643244E-4,-3.04945017E-4,-6.07019756E-4,-6.89371082E-4,
