7,98793028 5295,44421769829 153,682712403864
8,01393028 4087,34384025845 151,618683693681
8,03993028 3273,86564654415 150,208736022494
8,06593028 2653,24699586838 149,118522858104
8,09193028 2355,95164531276 148,552552390332
8,11793028 2109,70584313212 148,181933544384
8,14393028 1836,92913045212 147,658570873721
8,16993028 1815,94729509663 147,681472594399
8,19593028 1713,44101041938 147,544421995565
8,22193028 1607,1090570512 147,448836174672
8,24793028 1442,68655656588 147,240345032506
8,27393028 1379,05600952606 147,190469858759
8,29993028 1385,02122102386 147,362580446012
8,32593028 1370,774553661 147,423942604735
8,35193028 1374,76129050717 147,691254748329
8,37793028 1184,4725304769 147,461003697205
8,40393028 1167,35244932411 147,601839762314
8,42993028 1234,050425222 147,916811303586
8,45593028 1284,53890909537 148,318570903558
8,48193028 1151,66815495537 148,311936825624
8,50793028 1049,00895153269 148,330394928814
8,53393028 1045,16462258392 148,602564904806
8,55993028 1024,67268916649 148,87325075813
8,58593028 971,581035560424 149,065727875568
8,61193028 914,007068348978 149,304449492158
8,63793028 792,288056006095 149,364348051956
8,66393028 799,576244236287 149,618256877327
8,68993028 1020,62860472967 150,568244691346
8,71593028 1014,32079850825 150,948736223764
8,74193028 985,767418026486 151,310606113051
8,76793028 959,027370524311 151,576270208988
8,79393028 1128,00934626978 152,480476228424
8,81993028 1161,8650374627 152,902247210097
8,84593028 1526,46561995541 154,208934954052
8,87193028 1950,03339881416 155,854552712194
8,89793028 2122,92430705967 156,608131476122
8,92393028 2949,32469330652 159,151921772045
8,94993028 4072,66520773651 162,311573887758
8,97593028 6085,85770991165 167,783876846722
9,00193028 8850,57721091744 174,898967538857
9,02793028 13130,9796352063 185,721438895685
9,05393028 17786,3446774122 197,494519314592
9,07993028 20612,4239584385 205,579679672418
9,10593028 18205,0165334979 201,974031907753
9,13193028 12361,6447305098 189,478148450875
9,15793028 6882,52632589158 176,262196160233
9,18393028 4128,07957044928 169,429424485444
9,20993028 2689,55262108805 165,981128902458
9,23593028 2170,22684584152 165,146607777851
9,26193028 1688,31049361959 163,625956308915
9,28793028 1346,37413770408 161,569374310065
9,31393028 1059,69655039028 159,715809889402
9,33993028 979,700820663751 158,523222935252
9,36593028 944,044862299139 157,470196511303
9,39193028 987,364779477226 156,668888313348
9,41793028 825,527677080976 155,250638912136
9,44393028 638,700258312023 153,818213070155
9,46993028 671,811900193577 153,075703792107
9,49593028 710,916341498363 152,313185923386
9,52193028 662,871421294662 151,307697525895
9,54793028 517,185374462446 150,057081997349
9,57393028 344,490767883741 148,779517814103
9,59993028 448,720333553149 148,345285540616
9,62593028 620,949130066227 148,013520786443
9,65193028 524,170934533578 146,898852026761
9,67793028 511,696912200261 146,16081063811
9,70393028 508,22601272764 145,407994014374
9,72993028 481,392646241626 144,612260811762
9,75593028 488,171876070477 143,938434161782
9,78193028 425,417006078196 143,067768895302
9,80793028 461,864440826399 142,532035611789
9,83393028 337,482222017572 141,5057888348
9,85993028 285,115319336737 140,805276511871
9,88593028 465,017097630134 140,679819982546
9,91193028 474,867474190949 139,992224301492
9,93793028 224,879869561639 138,769090808008
9,96393028 283,570038976908 138,498273928983
9,98993028 477,004536066779 138,362245147839
10,01593028 579,385632441599 137,999306225031
10,04193028 636,297944436938 137,59049365658
10,06793028 929,562552571982 137,793704305848
10,09393028 1484,1975575806 138,492051873796
10,11993028 2097,20299259434 139,222994048227
10,14593028 2491,78695059147 139,434539345841
10,17193028 2497,48978048441 138,869968164511
10,19793028 2227,50967954246 137,852987782044
10,22393028 1446,93546095264 135,75717159758
10,24993028 928,281088510163 134,53587502365
10,27593028 853,046890990552 134,064581697415
10,30193028 616,798405009165 133,18071224617
10,32793028 335,940521949407 132,341941344732
10,35393028 296,404753715629 131,998888277813
10,37993028 280,777712254941 131,653696888755
10,40593028 257,188748837012 131,346152789505
10,43193028 324,197377277585 131,224369737643
10,45793028 269,989611498479 130,855923916079
10,48393028 58,6591183055407 130,22701748548
10,50993028 50,1841900262207 130,025602324365
10,53593028 180,755136928985 130,082027327819
10,56193028 186,365773000221 129,920014021797
10,58793028 235,532517113741 129,856522922149
10,61393028 215,286536196789 129,690994927826
10,63993028 61,652972647069 129,269306081142
10,66593028 56,7900526478352 129,141710155602
10,69193028 108,56506340888 129,161824048773
10,71793028 91,5678526200772 129,060787292465
10,74393028 97,7822157613209 129,004908748183
10,76993028 176,379679502719 129,114845360361
10,79593028 294,434049397438 129,31978453129
10,82193028 310,726653708982 129,404185078412
10,84793028 234,572440008329 129,216846268118
10,87393028 340,164330965878 129,436552246499
10,89993028 459,949055342107 129,754673467156
10,92593028 448,50316349388 129,828509372783
10,95193028 459,363414063475 129,846582695985
10,97793028 878,538273956117 130,660341993824
11,00393028 1567,88362273909 132,328440663087
11,02993028 2360,67639322665 133,849210211659
11,05593028 4024,09774235439 137,354691939857
11,08193028 6401,43474048532 142,173166714981
11,10793028 9226,35755463542 148,485877423711
11,13393028 10776,1842155551 152,500375695469
11,15993028 10306,5641378289 152,779744181025
11,18593028 7742,38525591859 148,403695595414
11,21193028 4518,87243812328 141,722322677639
11,23793028 2164,54246515522 136,222014354813
11,26393028 1155,51564745093 133,822039065156
11,28993028 768,861573581751 133,240217438835
11,31593028 358,21232674424 132,277296636067
11,34193028 373,247124508902 132,711231383692
11,36793028 148,326226200537 132,445673910977
11,39393028 -21,4316520238244 132,118398851766
11,41993028 166,205040685771 133,045918768847
11,44593028 91,3403344461476 133,185007489171
11,47193028 4,68378089488215 133,234572466456
11,49793028 41,4381488109229 133,67071358715
11,52393028 78,3712822758171 134,22235512818
11,54993028 -80,9624152477627 134,029633579713
11,57593028 34,6356179521754 134,746915651197
11,60193028 127,725230577887 135,49484646928
11,62793028 -13,9641379031127 135,427494091133
11,65393028 -26,8540474323763 135,780322709183
11,67993028 -4,85360946273795 136,324248148215
11,70593028 -200,299803810398 136,029005671396
11,73193028 8,91165775648733 137,186759364706
11,75793028 -11,1220305802872 137,591478380891
11,78393028 -195,417742908752 137,368289282972
11,80993028 8,23701603186601 138,557620141982
11,83593028 -122,475227049166 138,549440990787
11,86193028 108,164998214463 139,854730663846
11,88793028 54,6615309694444 139,249330024838
11,91393028 -11,6290363026365 138,127014889856
11,93993028 -118,898946780973 136,877565665679
11,96593028 -61,086786961192 136,237275995662
11,99193028 63,2494906707761 135,821565687099
12,01793028 93,6589074684434 135,069721646412
12,04393028 -19,8060740419387 133,842739820455
12,06993028 -67,6977571806492 132,893921269682
12,09593028 -169,731226692906 131,756971635819
12,12193028 1,81898940354586E-12 131,594206011937
12,14793028 69,4995424802728 131,024469110949
12,17393028 61,2236477017123 130,23900069591
12,19993028 -127,038847198774 128,881891698383
12,22593028 16,3932715398023 128,738110365299
12,25193028 42,9267115823786 128,053720261217
12,27793028 155,124159593892 127,740864137692
12,30393028 150,584825114203 126,994923347712
12,32993028 91,0381906629955 126,152615047955
12,35593028 135,561403485246 125,68213624346
12,38193028 53,1885732225219 124,752085062461
12,40793028 -106,725083283749 123,680146811992
12,43393028 0 123,508243070914
12,45993028 39,8959435271445 123,03411987077
12,48593028 171,176525970324 122,93874555564
12,51193028 138,070225108599 122,257443481863
12,53793028 27,3979790130961 121,490490940653
12,56393028 63,3604878404713 121,199995900588
12,58993028 184,406412847869 121,071019615259
12,61593028 79,0167249324622 120,253956684371
12,64193028 -24,5682328042658 119,63197164281
12,66793028 45,7634264107455 119,470000193795
12,69393028 144,262468318768 119,301624421811
12,71993028 79,6050973296205 118,700431305161
12,74593028 109,758682403512 118,490939321321
12,77193028 134,627995207466 118,163744366563
12,79793028 -73,9103779061734 117,268762238409
12,82393028 28,8205136161232 117,372151671748
12,84993028 110,829799309129 117,153945555767
12,87593028 100,758728794519 116,868071583759
12,90193028 135,553586312219 116,681005977623
12,92793028 125,299803688222 116,385096660787
12,95393028 121,102478378636 116,1501718773
12,97993028 56,3107967599171 115,757768522791
13,00593028 -29,6077429602101 115,373544687025
13,03193028 -87,6857156712085 115,053680042209
13,05793028 0 115,097853823026
13,08393028 89,1974664037662 115,128042497619
13,10993028 14,656346944319 114,829945648979
13,13593028 19,3331798597737 114,740014786112
13,16193028 123,934990494245 114,866399315365
13,18793028 145,703739622404 114,829941135328
13,21393028 136,153112307236 114,740855268703
13,23993028 106,962763960373 114,629056996725
13,26593028 146,290039118794 114,661481162135
13,29193028 112,391392167478 114,602314071102
13,31793028 48,8842135157847 114,407467687766
13,34393028 203,017249691498 114,762973225947
13,36993028 265,277581616308 114,938383517943
13,39593028 282,730879453971 115,010226563244
13,42193028 389,01515688968 115,269222783458
13,44793028 498,262440289735 115,632930228116
13,47393028 563,881890994762 115,811024532508
13,49993028 762,148369250976 116,375952658065
13,52593028 1169,20469265552 117,253797061504
13,55193028 2078,87137453746 119,388970728553
13,57793028 3247,49598696102 122,115595721741
13,60393028 5071,93110807311 125,960841355718
13,62993028 7626,0503464066 131,910654253525
13,65593028 9370,39517832579 136,292506643852
13,68193028 9589,16434468376 137,790815941312
13,70793028 7697,9761407575 134,893792045513
13,73393028 4622,27118939189 128,102647578031
13,75993028 2537,24885719492 123,264095989125
13,78593028 1295,07720336064 120,095527950646
13,81193028 862,446133542391 119,260233973839
13,83793028 502,769321071821 118,573722931912
13,86393028 262,530955925675 118,159296382996
13,88993028 199,266440756568 118,207684428921
13,91593028 254,715352584835 118,73822511454
13,94193028 214,918305672283 118,900901519624
13,96793028 267,782879699793 119,407056427544
13,99393028 271,635585425729 119,799953373787
14,01993028 185,244318101537 119,975996882126
14,04593028 15,614590990097 119,71833928094
14,07193028 98,4693919162582 120,3524374788
14,09793028 153,62966550009 120,948924281934
14,12393028 116,097301406855 121,265962068238
14,14993028 17,8569438292925 121,332115388496
14,17593028 2,73950928058548 121,697768650148
14,20193028 -10,2261967633622 122,107001975367
14,22793028 -101,026737920731 122,274543552002
14,25393028 -264,89574377378 122,057556841019
14,27993028 -110,782688074315 123,035357150818
14,30593028 53,4819701521301 124,094925069739
14,33193028 140,036330794073 124,914444723056
14,35793028 86,8233564374077 125,236694237297
14,38393028 -58,2278542403719 125,137152380501
14,40993028 203,091835673968 126,661713672683
14,43593028 119,611042345526 126,865017946757
14,46193028 101,270042957838 127,319628391903
14,48793028 186,306965786673 128,193357669695
14,51393028 -13,4194482236226 126,850058996463
14,53993028 139,202419277428 126,735682809719
14,56593028 80,2015193917105 125,785657142997
14,59193028 79,6115808468503 125,092927896415
14,61793028 35,1891178387132 124,236256244758
14,64393028 -20,4930751706506 123,358960767605
14,66993028 -217,369092726439 121,961761125152
14,69593028 23,1819131314605 122,28428305725
14,72193028 -8,81254541640101 121,450040833951
14,74793028 117,971257971019 121,31385448595
14,77393028 62,9456037384116 120,441620400167
14,79993028 43,3349851865396 119,790458963463
14,82593028 -135,008742660092 118,547139172148
14,85193028 -208,089438499491 117,787976248008
14,87793028 -25,2845075375726 117,915325406561
14,90393028 71,9158662822856 117,610103030482
14,92993028 51,6777828573831 116,956095432175
14,95593028 31,433762005423 116,369481507937
14,98193028 9,99496850111427 115,782178425929
15,00793028 18,0015344379435 115,314636722604
15,03393028 119,553312632088 115,162179845571
15,05993028 185,431356174781 114,835533985287
15,08593028 35,1877198065031 113,823697170189
15,11193028 40,6951079705923 113,499205728505
15,13793028 177,073045472403 113,470662153509
15,16393028 96,1536621800105 112,680856861456
15,18993028 86,380272320851 112,319099812672
15,21593028 60,4911631881914 111,805606379043
15,24193028 -9,09494701772928E-13 111,248687598351
15,26793028 -130,426903924588 110,548969317378
15,29393028 5,06311422344606 110,750974645399
15,31993028 -80,2080499390549 110,048264945875
15,34593028 -100,830634752385 109,82905642884
15,37193028 10,5250428123072 109,854670440785
15,39793028 36,816525442393 109,612036887808
15,42393028 -37,5670956703161 109,159857046281
15,44993028 63,7170705205972 109,27168741676
15,47593028 153,05093090645 109,213573816169
15,50193028 67,490034570169 108,759985978739
15,52793028 42,6316817323914 108,559702816274
15,55393028 94,8719417721777 108,507237371647
15,57993028 52,2036970382378 108,21194217715
15,60593028 92,5119412657814 108,205287187718
15,63193028 164,324064125046 108,217134861255
15,65793028 137,529325934087 108,024219363786
15,68393028 113,507624872239 107,870187822888
15,70993028 231,301408331939 108,069737113988
15,73593028 409,945173808769 108,397067232355
15,76193028 580,612390804832 108,725037090111
15,78793028 746,887257850181 109,052758980619
15,81393028 768,080591641074 109,066663232955
15,83993028 642,343258873866 108,763071683447
15,86593028 503,584755479043 108,44056887541
15,89193028 323,987684059858 108,046493988952
15,91793028 122,763509229428 107,596090678465
15,94393028 92,0226459056476 107,529946601799
15,96993028 153,912956961487 107,742256878423
15,99593028 182,152371658938 107,860083751968
16,02193028 206,78171614638 108,02000528292
16,04793028 103,782110608131 107,897148082251
16,07393028 63,3611542220979 107,82577629893
16,09993028 131,224728417322 108,176219187763
16,12593028 55,645708131663 108,109574962289
16,15193028 0,920929899925795 108,136021634163
16,17793028 0 108,220252282362
16,20393028 116,162491520391 108,747532952469
16,22993028 165,311914673292 109,104770487682
16,25593028 133,454903040347 109,329443869255
16,28193028 86,5706409066261 109,331667549831
16,30793028 186,649401207277 109,970578571466
16,33393028 124,855981199348 110,024225653732
16,35993028 149,163106788983 110,419724135119
16,38593028 158,125143556604 110,668145711557
16,41193028 254,334097094536 111,334578828956
16,43793028 222,110812721788 111,54207405174
16,46393028 216,040088904382 111,939726074892
16,48993028 147,703210411248 111,997691973192
16,51593028 233,524909454219 112,678301284749
16,54193028 183,517405880796 112,953825307366
16,56793028 89,5929008707717 113,020284135376
16,59393028 128,337025137746 113,449892730698
16,61993028 238,049446243332 114,416714330452
16,64593028 7,0548156168652 113,961507549379
16,67193028 92,6388835499156 114,719247784667
16,69793028 69,3722003087705 115,095259563966
16,72393028 64,2730656099766 115,486896781224
16,74993028 141,911767456211 116,294768003641
16,77593028 58,291730652425 116,432459575285
16,80193028 100,873620460093 117,180916288137
16,82793028 -96,3537779341086 116,873996832801
16,85393028 47,3120486269027 117,927295554685
16,87993028 74,3825874317927 118,527199682982
16,90593028 153,997085263079 119,39413165632
16,93193028 84,0225444362059 119,673058834302
16,95793028 78,4624855843176 120,193448298443
16,98393028 138,375305292254 121,008950462963
17,00993028 82,4639614947055 121,356870416361
17,03593028 143,129735084529 122,170632898731
17,06193028 279,608420472743 123,327897047979
17,08793028 166,597638298389 123,484093893998
17,11393028 271,366821840269 124,424211054917
17,13993028 114,977520799773 123,175979008544
17,16593028 126,810707334465 122,627191138045
17,19193028 234,525797680812 122,459055856189
17,21793028 42,0120950107412 121,09500839171
17,24393028 -77,5302107830648 120,08506148913
17,26993028 15,0511656876806 119,917280190182
17,29593028 73,2760324118062 119,5718154864
17,32193028 112,906443429313 119,168916065188
17,34793028 104,028974285205 118,590245119606
17,37393028 94,5801561509525 118,035719351984
17,39993028 222,554863813762 118,010845353084
17,42593028 170,557007667342 117,255489533749
17,45193028 134,18572800008 116,656213494178
17,47793028 164,407909507304 116,299892019499
17,50393028 140,072917608443 115,72181454276
17,52993028 90,9699276934534 115,09983532456
17,55593028 -7,18464290685915 114,323435558363
17,58193028 167,997408604488 114,576454956747
17,60793028 102,365874988662 113,798552963044
17,63393028 8,95670297336801 113,126860256233
17,65993028 6,87959128537841 112,769952816016
17,68593028 -47,87443762969 112,186501695344
17,71193028 7,2263093708525 112,048918887008
17,73793028 0,20635770122135 111,614856332196
17,76393028 -53,8326017959389 111,106854255999
17,78993028 -123,003286104422 110,577188988448
17,81593028 39,3257445962099 110,838168129117
17,84193028 51,0201130248151 110,427526267211
17,86793028 129,309898753347 110,424909802538
17,89393028 112,058092256142 110,005905528982
17,91993028 77,0765282624634 109,667021836038
17,94593028 32,1020918371714 109,275782481341
17,97193028 44,0884271031409 109,09902467812
17,99793028 68,9853788097453 108,919457343055
18,02393028 72,623893423096 108,704036393178
18,04993028 134,067363585893 108,681159371107
18,07593028 113,732789459486 108,383649508964
18,10193028 187,403420295562 108,45403191789
18,12793028 256,464216214414 108,411427986469
18,15393028 154,092104459727 107,969045115292
18,17993028 186,29736223779 107,982930091028
18,20593028 370,492210283674 108,296583369769
18,23193028 533,555320225916 108,554745701506
18,25793028 764,64553504247 109,013967805646
18,28393028 796,521497068662 108,935912524535
18,30993028 626,562600963978 108,475339887123
18,33593028 480,022009220122 108,084778438936
18,36193028 365,108925402375 107,782091803387
18,38793028 302,485301137246 107,614600508374
18,41393028 202,354960273557 107,369705042248
18,43993028 162,253925619944 107,278814459056
18,46593028 255,708751428303 107,511202361028
18,49193028 256,702397756918 107,555565005031
18,51793028 142,949289698316 107,339581074487
18,54393028 84,9371412421087 107,250196009029
18,56993028 130,461618710317 107,422984312261
18,59593028 253,214023818755 107,783394727905
18,62193028 286,112163469889 108,021218437695
18,64793028 190,278056024315 107,881773768967
18,67393028 232,053647404023 108,091281456696
18,69993028 362,680974336047 108,531559131302
18,72593028 491,943380959379 109,032463011286
18,75193028 657,699919889908 109,533340475845
18,77793028 1043,38874979871 110,630852974224
18,80393028 1429,92157450569 111,840118683155
18,82993028 1673,7112716001 112,690571546906
18,85593028 1803,18606099306 113,340451163036
18,88193028 1704,98120152376 113,461228212583
18,90793028 1332,0403618505 112,94754380071
18,93393028 810,355433358174 111,807611192126
18,95993028 576,432701355063 111,391026440065
18,98593028 437,39610642198 111,46671325296
19,01193028 184,995471934303 110,903782406166
19,03793028 258,187071782054 111,464798946984
19,06393028 235,227708909895 111,771828105374
19,08993028 183,361005020945 111,912607987923
19,11593028 236,149169065112 112,423484516821
19,14193028 307,447504082787 112,954428746846
19,16793028 380,084078697249 113,714594668985
19,19393028 219,351403720685 113,513636478134
19,21993028 263,929880131062 114,122118289149
19,24593028 184,628412032323 114,297971982579
19,27193028 129,778015428729 114,517610435527
19,29793028 159,053024904998 115,038944215082
19,32393028 233,577334815222 115,668817740642
19,34993028 401,225704730497 116,765345213761
19,37593028 377,390932362819 117,163230258553
19,40193028 367,32193683495 117,649025417575
19,42793028 313,637832179605 117,932529210079
19,45393028 353,548647266169 118,625986892418
19,47993028 293,160003498763 118,895016424965
19,50593028 367,703259486051 119,723015257113
19,53193028 346,345270988882 120,202188526043
19,55793028 309,855537842062 120,601769918564
19,58393028 377,903252749919 121,430595066948
19,60993028 405,666141876073 122,106748533848
19,63593028 483,545366260775 123,009301767861
19,66193028 459,408087748928 123,532537265708
19,68793028 337,659814321732 123,646258127476
19,71393028 529,077961994076 125,036056462238
19,73993028 414,73882968131 124,827196477747
19,76593028 398,121680936075 124,129333583445
19,79193028 376,914399413514 123,423634674162
19,81793028 422,382556515118 122,992805827415
19,84393028 321,998215220715 121,989247664969
19,86993028 584,161592640121 122,436269669573
19,89593028 957,568717543261 123,217579929501
19,92193028 726,88334238429 121,653466981602
19,94793028 926,041570662456 121,895252095371
19,97393028 762,061894282282 120,632096245083
19,99993028 841,869633162459 120,433126584443
20,02593028 650,37177976693 119,131223833364
20,05193028 367,260524586541 117,631040958215
20,07793028 288,658346453306 116,948300060372
20,10393028 519,578366704788 117,324351019348
20,12993028 469,518569410137 116,530165410916
20,15593028 724,865307954626 117,018939940072
20,18193028 660,996401212073 116,16224725799
20,20793028 622,743091233765 115,633449746198
20,23393028 595,094328282234 115,097102145352
20,25993028 585,23701291935 114,642513188309
20,28593028 491,050587688585 113,896744511459
20,31193028 624,850931803679 114,01155083587
20,33793028 734,451583388002 113,872645544382
20,36393028 925,259625248323 114,07333632349
20,38993028 1155,63862487198 114,32330875235
20,41593028 1592,16094918465 115,225757728712
20,44193028 1810,70170554988 115,264762569921
20,46793028 1712,82254642684 114,525483563079
20,49393028 1613,92724923872 113,96307890557
20,51993028 1354,16312970588 112,863588996455
20,54593028 1141,99037634086 112,082441008997
20,57193028 1067,17975274158 111,644638584198
20,59793028 808,677956585837 110,608170604139
20,62393028 696,399297927498 110,201785520321
20,64993028 737,630856472823 110,078295266246
20,67593028 663,275368597161 109,61027855577
20,70193028 670,248586267428 109,487909803394
20,72793028 654,653693674594 109,208200930809
20,75393028 636,383508467645 109,010926465614
20,77993028 726,270787029887 109,085675014219
20,80593028 823,230309622908 109,148395390554
20,83193028 936,377523721836 109,287997315467
20,85793028 1042,52772141412 109,39866554964
20,88393028 1306,97016191545 109,942622030951
20,90993028 1845,31800079519 111,093960093811
20,93593028 2430,77866126982 112,304318722664
20,96193028 2872,70530147776 113,192801862708
20,98793028 3013,16431749765 113,420646232909
21,01393028 2692,96075772474 112,663306581068
21,03993028 2122,93445015958 111,384644503892
21,06593028 1544,57232951321 110,090082103175
21,09193028 1070,40036358659 109,024291869112
21,11793028 838,549093595681 108,508890601595
21,14393028 730,094284208671 108,30555146497
21,16993028 671,350989133442 108,212335872687
21,19593028 740,873427048266 108,430696529391
21,22193028 629,65765009892 108,338798736901
21,24793028 486,602503411827 107,992267016373
21,27393028 603,959617139864 108,434647363776
21,29993028 596,874975179549 108,527333794694
21,32593028 711,304886833143 108,904129752999
21,35193028 860,298883814374 109,465287755169
21,37793028 908,970600314775 109,753473679034
21,40393028 1008,05883764635 110,158322476298
21,42993028 1218,89311337118 110,840954084479
21,45593028 1452,03579555055 111,702516530117
21,48193028 1480,07845251752 112,099297144241
21,50793028 1342,0971129626 112,027973949779
21,53393028 1107,94895414851 111,798142753335
21,55993028 797,373613198004 111,168771346645
21,58593028 723,816658070036 111,22700298065
21,61193028 744,61928576131 111,546241319242
21,63793028 730,978854548505 111,970180353212
21,66393028 579,251891229447 111,691209471617
