nm,Abs,
600.00,  0.153,
599.00,  0.161,
598.00,  0.162,
597.00,  0.161,
596.00,  0.164,
595.00,  0.167,
594.00,  0.166,
593.00,  0.171,
592.00,  0.168,
591.00,  0.167,
590.00,  0.166,
589.00,  0.170,
588.00,  0.162,
587.00,  0.166,
586.00,  0.164,
585.00,  0.164,
584.00,  0.162,
583.00,  0.158,
582.00,  0.157,
581.00,  0.161,
580.00,  0.156,
579.00,  0.155,
578.00,  0.160,
577.00,  0.160,
576.00,  0.165,
575.00,  0.157,
574.00,  0.162,
573.00,  0.163,
572.00,  0.166,
571.00,  0.171,
570.00,  0.175,
569.00,  0.174,
568.00,  0.175,
567.00,  0.178,
566.00,  0.182,
565.00,  0.183,
564.00,  0.194,
563.00,  0.191,
562.00,  0.198,
561.00,  0.198,
560.00,  0.203,
559.00,  0.206,
558.00,  0.208,
557.00,  0.209,
556.00,  0.212,
555.00,  0.210,
554.00,  0.219,
553.00,  0.217,
552.00,  0.219,
551.00,  0.220,
550.00,  0.218,
549.00,  0.213,
548.00,  0.214,
547.00,  0.214,
546.00,  0.213,
545.00,  0.213,
544.00,  0.208,
543.00,  0.209,
542.00,  0.208,
541.00,  0.205,
540.00,  0.209,
539.00,  0.207,
538.00,  0.209,
537.00,  0.211,
536.00,  0.213,
535.00,  0.216,
534.00,  0.222,
533.00,  0.220,
532.00,  0.231,
531.00,  0.243,
530.00,  0.241,
529.00,  0.250,
528.00,  0.253,
527.00,  0.262,
526.00,  0.267,
525.00,  0.275,
524.00,  0.272,
523.00,  0.278,
522.00,  0.280,
521.00,  0.283,
520.00,  0.285,
519.00,  0.289,
518.00,  0.284,
517.00,  0.290,
516.00,  0.288,
515.00,  0.276,
514.00,  0.278,
513.00,  0.276,
512.00,  0.270,
511.00,  0.274,
510.00,  0.261,
509.00,  0.261,
508.00,  0.248,
507.00,  0.243,
506.00,  0.245,
505.00,  0.235,
504.00,  0.233,
503.00,  0.233,
502.00,  0.228,
501.00,  0.233,
500.00,  0.227,
499.00,  0.229,
498.00,  0.229,
497.00,  0.230,
496.00,  0.236,
495.00,  0.233,
494.00,  0.237,
493.00,  0.236,
492.00,  0.244,
491.00,  0.248,
490.00,  0.249,
489.00,  0.251,
488.00,  0.257,
487.00,  0.259,
486.00,  0.262,
485.00,  0.265,
484.00,  0.266,
483.00,  0.273,
482.00,  0.276,
481.00,  0.279,
480.00,  0.282,
479.00,  0.291,
478.00,  0.291,
477.00,  0.297,
476.00,  0.299,
475.00,  0.304,
474.00,  0.309,
473.00,  0.314,
472.00,  0.318,
471.00,  0.334,
470.00,  0.330,
469.00,  0.338,
468.00,  0.343,
467.00,  0.355,
466.00,  0.358,
465.00,  0.365,
464.00,  0.374,
463.00,  0.382,
462.00,  0.395,
461.00,  0.401,
460.00,  0.407,
459.00,  0.417,
458.00,  0.435,
457.00,  0.443,
456.00,  0.451,
455.00,  0.469,
454.00,  0.482,
453.00,  0.500,
452.00,  0.512,
451.00,  0.533,
450.00,  0.553,
449.00,  0.567,
448.00,  0.588,
447.00,  0.608,
446.00,  0.633,
445.00,  0.661,
444.00,  0.680,
443.00,  0.715,
442.00,  0.735,
441.00,  0.768,
440.00,  0.790,
439.00,  0.820,
438.00,  0.842,
437.00,  0.869,
436.00,  0.897,
435.00,  0.897,
434.00,  0.916,
433.00,  0.932,
432.00,  0.937,
431.00,  0.931,
430.00,  0.944,
429.00,  0.952,
428.00,  0.952,
427.00,  0.939,
426.00,  0.956,
425.00,  0.946,
424.00,  0.931,
423.00,  0.931,
422.00,  0.919,
421.00,  0.910,
420.00,  0.901,
419.00,  0.881,
418.00,  0.861,
417.00,  0.856,
416.00,  0.825,
415.00,  0.798,
414.00,  0.769,
413.00,  0.736,
412.00,  0.717,
411.00,  0.700,
410.00,  0.675,
409.00,  0.653,
408.00,  0.632,
407.00,  0.620,
406.00,  0.601,
405.00,  0.579,
404.00,  0.576,
403.00,  0.550,
402.00,  0.549,
401.00,  0.534,
400.00,  0.508,
399.00,  0.492,
398.00,  0.473,
397.00,  0.463,
396.00,  0.443,
395.00,  0.413,
394.00,  0.400,
393.00,  0.382,
392.00,  0.358,
391.00,  0.345,
390.00,  0.324,
389.00,  0.314,
388.00,  0.308,
387.00,  0.294,
386.00,  0.284,
385.00,  0.278,
384.00,  0.276,
383.00,  0.271,
382.00,  0.273,
381.00,  0.261,
380.00,  0.264,
379.00,  0.258,
378.00,  0.253,
377.00,  0.257,
376.00,  0.255,
375.00,  0.254,
374.00,  0.264,
373.00,  0.261,
372.00,  0.250,
371.00,  0.246,
370.00,  0.254,
369.00,  0.255,
368.00,  0.254,
367.00,  0.247,
366.00,  0.238,
365.00,  0.261,
364.00,  0.252,
363.00,  0.248,
362.00,  0.250,
361.00,  0.241,
360.00,  0.247,
359.00,  0.253,
358.00,  0.250,
357.00,  0.239,
