nm,Abs,
600.00,  0.184,
599.00,  0.187,
598.00,  0.192,
597.00,  0.192,
596.00,  0.192,
595.00,  0.194,
594.00,  0.194,
593.00,  0.196,
592.00,  0.192,
591.00,  0.191,
590.00,  0.194,
589.00,  0.191,
588.00,  0.188,
587.00,  0.195,
586.00,  0.187,
585.00,  0.185,
584.00,  0.189,
583.00,  0.186,
582.00,  0.187,
581.00,  0.188,
580.00,  0.189,
579.00,  0.182,
578.00,  0.187,
577.00,  0.186,
576.00,  0.196,
575.00,  0.195,
574.00,  0.196,
573.00,  0.199,
572.00,  0.203,
571.00,  0.209,
570.00,  0.211,
569.00,  0.215,
568.00,  0.220,
567.00,  0.222,
566.00,  0.225,
565.00,  0.231,
564.00,  0.237,
563.00,  0.240,
562.00,  0.244,
561.00,  0.249,
560.00,  0.246,
559.00,  0.250,
558.00,  0.247,
557.00,  0.256,
556.00,  0.253,
555.00,  0.250,
554.00,  0.251,
553.00,  0.250,
552.00,  0.252,
551.00,  0.247,
550.00,  0.247,
549.00,  0.246,
548.00,  0.244,
547.00,  0.245,
546.00,  0.245,
545.00,  0.244,
544.00,  0.240,
543.00,  0.240,
542.00,  0.243,
541.00,  0.244,
540.00,  0.248,
539.00,  0.246,
538.00,  0.250,
537.00,  0.255,
536.00,  0.263,
535.00,  0.265,
534.00,  0.269,
533.00,  0.274,
532.00,  0.280,
531.00,  0.291,
530.00,  0.300,
529.00,  0.303,
528.00,  0.310,
527.00,  0.310,
526.00,  0.320,
525.00,  0.331,
524.00,  0.331,
523.00,  0.337,
522.00,  0.332,
521.00,  0.335,
520.00,  0.341,
519.00,  0.338,
518.00,  0.336,
517.00,  0.331,
516.00,  0.332,
515.00,  0.316,
514.00,  0.312,
513.00,  0.308,
512.00,  0.306,
511.00,  0.302,
510.00,  0.295,
509.00,  0.292,
508.00,  0.284,
507.00,  0.281,
506.00,  0.276,
505.00,  0.269,
504.00,  0.263,
503.00,  0.263,
502.00,  0.267,
501.00,  0.267,
500.00,  0.256,
499.00,  0.265,
498.00,  0.265,
497.00,  0.263,
496.00,  0.271,
495.00,  0.265,
494.00,  0.271,
493.00,  0.267,
492.00,  0.278,
491.00,  0.282,
490.00,  0.285,
489.00,  0.287,
488.00,  0.293,
487.00,  0.290,
486.00,  0.298,
485.00,  0.298,
484.00,  0.305,
483.00,  0.307,
482.00,  0.313,
481.00,  0.317,
480.00,  0.324,
479.00,  0.332,
478.00,  0.333,
477.00,  0.338,
476.00,  0.343,
475.00,  0.350,
474.00,  0.356,
473.00,  0.360,
472.00,  0.366,
471.00,  0.380,
470.00,  0.385,
469.00,  0.396,
468.00,  0.400,
467.00,  0.409,
466.00,  0.423,
465.00,  0.433,
464.00,  0.445,
463.00,  0.462,
462.00,  0.481,
461.00,  0.493,
460.00,  0.507,
459.00,  0.519,
458.00,  0.540,
457.00,  0.560,
456.00,  0.571,
455.00,  0.604,
454.00,  0.628,
453.00,  0.655,
452.00,  0.689,
451.00,  0.721,
450.00,  0.756,
449.00,  0.785,
448.00,  0.813,
447.00,  0.858,
446.00,  0.895,
445.00,  0.943,
444.00,  0.983,
443.00,  1.039,
442.00,  1.080,
441.00,  1.099,
440.00,  1.160,
439.00,  1.209,
438.00,  1.225,
437.00,  1.270,
436.00,  1.300,
435.00,  1.319,
434.00,  1.355,
433.00,  1.396,
432.00,  1.428,
431.00,  1.431,
430.00,  1.434,
429.00,  1.460,
428.00,  1.517,
427.00,  1.492,
426.00,  1.507,
425.00,  1.506,
424.00,  1.502,
423.00,  1.520,
422.00,  1.516,
421.00,  1.505,
420.00,  1.464,
419.00,  1.448,
418.00,  1.449,
417.00,  1.438,
416.00,  1.404,
415.00,  1.356,
414.00,  1.326,
413.00,  1.262,
412.00,  1.245,
411.00,  1.230,
410.00,  1.185,
409.00,  1.144,
408.00,  1.126,
407.00,  1.099,
406.00,  1.062,
405.00,  1.046,
404.00,  1.009,
403.00,  0.965,
402.00,  0.940,
401.00,  0.912,
400.00,  0.862,
399.00,  0.831,
398.00,  0.793,
397.00,  0.756,
396.00,  0.722,
395.00,  0.671,
394.00,  0.641,
393.00,  0.614,
392.00,  0.576,
391.00,  0.549,
390.00,  0.528,
389.00,  0.504,
388.00,  0.490,
387.00,  0.471,
386.00,  0.451,
385.00,  0.439,
384.00,  0.425,
383.00,  0.421,
382.00,  0.425,
381.00,  0.413,
380.00,  0.398,
379.00,  0.386,
378.00,  0.381,
377.00,  0.380,
376.00,  0.381,
375.00,  0.374,
374.00,  0.378,
373.00,  0.370,
372.00,  0.359,
371.00,  0.363,
370.00,  0.359,
369.00,  0.357,
368.00,  0.356,
367.00,  0.344,
366.00,  0.331,
365.00,  0.348,
364.00,  0.334,
363.00,  0.335,
362.00,  0.332,
361.00,  0.336,
360.00,  0.321,
359.00,  0.324,
358.00,  0.309,
357.00,  0.303,
356.00,  0.312,
355.00,  0.302,
354.00,  0.306,
353.00,  0.299,
352.00,  0.274,
351.00,  0.301,
350.00,  0.289,
349.00,  0.283,
348.00,  0.273,
347.00,  0.276,
346.00,  0.285,
345.00,  0.266,
344.00,  0.276,
343.00,  0.280,
342.00,  0.262,
341.00,  0.256,
340.00,  0.267,
339.00,  0.264,
338.00,  0.253,
337.00,  0.258,
336.00,  0.259,
