nm,Abs,
335.00,  0.273,
334.00,  0.270,
333.00,  0.271,
332.00,  0.276,
331.00,  0.281,
330.00,  0.270,
329.00,  0.291,
328.00,  0.283,
327.00,  0.298,
326.00,  0.285,
325.00,  0.289,
324.00,  0.288,
323.00,  0.299,
322.00,  0.302,
321.00,  0.287,
320.00,  0.295,
319.00,  0.303,
318.00,  0.306,
317.00,  0.315,
316.00,  0.330,
315.00,  0.330,
314.00,  0.329,
313.00,  0.335,
312.00,  0.317,
311.00,  0.330,
310.00,  0.332,
309.00,  0.337,
308.00,  0.334,
307.00,  0.349,
306.00,  0.337,
305.00,  0.346,
304.00,  0.356,
303.00,  0.344,
302.00,  0.364,
301.00,  0.348,
300.00,  0.348,
