LAMBDA	EM PYN	EM PYNMOF	Pyn N	PynMOF N
659	41586.2815218735	10252.7787596593	0.02355481204719	0.0579463449490336
660	40046.2627922514	9722.63346963236	0.022643266303332	0.0547100397681367
661	38952.2220197746	9420.01289923306	0.0219956974195412	0.0528626735116537
662	37180.4072996136	9035.70287016948	0.0209469503257548	0.0505166288300801
663	36039.0480946008	8721.73489668544	0.0202713733957276	0.0485999916396027
664	34749.3010792882	8405.7682430243	0.019507964886566	0.0466711533805999
665	33097.2884494484	8436.07436774116	0.0185301293235532	0.0468561590201465
666	31893.0978497774	8029.53297553956	0.0178173621377974	0.0443744015876432
667	31081.5272506107	7749.15300134719	0.0173369889376012	0.0426628044459383
668	29589.5823590865	7479.177733749	0.0164538983687785	0.0410147234883623
669	28727.4711385554	7329.19688222634	0.0159436098906635	0.0400991559714022
670	27286.3673905826	6919.16561617879	0.0150906124805316	0.0375960943850739
671	26542.5541913342	6881.58856106639	0.0146503452662707	0.037366702894796
672	25086.2571276728	6261.31500320118	0.0137883548471676	0.0335802040488091
673	24295.8125667765	6078.56485060075	0.0133204862677916	0.0324645942776833
674	23515.88222994	6053.81041751865	0.0128588411167463	0.0323134792879986
675	22806.2495526616	5913.1210681639	0.0124388055455981	0.031454632328912
676	21954.3001231553	5669.01845877992	0.0119345318887191	0.0299644926364899
677	21030.9263624346	5571.41994158743	0.0113879817686555	0.0293686963655811
678	20383.2247179094	5409.90757942427	0.0110046035239626	0.0283827340185027
679	19586.0992321329	5091.48009969466	0.0105327804675906	0.0264388734923884
680	18615.2269965839	5079.36030266654	0.00995811573324562	0.0263648874311117
681	18113.0618811372	4952.6858067179	0.00966088137830255	0.0255915950238449
682	17776.0079216972	4715.29407899606	0.00946137724483441	0.0241424223295272
683	16645.0367126955	4656.66595468313	0.00879194902804615	0.0237845232667051
684	16052.8674025779	4468.1779330369	0.00844144068428493	0.0226338863140319
685	15467.9014535671	4365.21174964147	0.00809519605045926	0.0220053227880542
686	14970.38615265	4295.8802111004	0.00780071394687699	0.0215820840616126
687	14554.5413533561	4091.67739489143	0.00755457307234692	0.0203355151596854
688	13709.9348763815	4063.41107021972	0.00705464575035262	0.0201629616074784
689	13202.8276760896	3893.83431217309	0.00675448614760592	0.0191277696498208
690	12866.1555476454	3716.80144013866	0.00655520802205073	0.0180470613765757
691	12309.1041224293	3589.40252390054	0.00622548615179118	0.0172693467002063
692	11983.4056020327	3508.83612403276	0.00603270336653163	0.0167775240579924
693	11629.5424972429	3345.76744496359	0.00582324980543201	0.015782061076728
694	11035.9441402759	3344.7279771419	0.00547189560080674	0.0157757155802008
695	10736.38036175	3355.2552547496	0.00529458211618673	0.0158399800067712
696	10305.5294890377	3342.84603430075	0.00503955906243808	0.015764227142066
697	10111.2784197893	3229.83302488721	0.00492458076249447	0.0150743321363871
698	9592.00746544929	3159.38987916809	0.00461722136534358	0.014644307534192
699	9336.64829126721	2980.2365661396	0.00446607283454753	0.0135506548958758
700	8838.35680724632	3031.26345250077	0.00417113130382252	0.0138621517247683
701	8633.78589921204	2909.30419976102	0.00405004463328471	0.0131176438154744
702	8138.88415407743	2838.6124195277	0.00375710950806317	0.0126861014082896
703	7955.15685785261	2860.25567978547	0.00364836028853557	0.012818224048293
704	7808.30894264381	2755.87318659189	0.00356144018196268	0.0121810145703023
705	7513.01237630336	2746.29758633749	0.00338665248422502	0.0121225597178374
706	7327.13602846313	2609.65565114238	0.00327663122896457	0.0112884204523971
707	7028.32502110184	2578.80504567745	0.00309976331382892	0.0111000909959666
708	6787.36398462341	2590.93063192975	0.00295713712168421	0.0111741123979256
709	6499.23701805163	2467.31722824224	0.00278659315035623	0.0104195066204003
710	6379.48105748071	2510.93896472196	0.00271570892404112	0.0106857982472897
711	6157.94720827035	2455.03951507619	0.00258458179325762	0.0103445565501529
712	5936.69303429594	2339.6566004328	0.00245362020381858	0.00964019430932568
713	5717.25561361166	2364.2377952449	0.00232373396086554	0.00979025175512315
714	5518.53002232625	2291.78279377382	0.00220610716617303	0.00934794565327923
715	5396.05803676317	2341.68241206233	0.0021336153093959	0.00965256100350457
716	5139.97038635842	2153.93970266282	0.00198203558942824	0.0085064738561976
717	5011.87348130482	2232.91067448229	0.00190621431118208	0.00898855710780361
718	4760.3718601873	2081.6305314902	0.00175734908773163	0.00806505798455909
719	4768.20578220965	1983.7927833748	0.001761986030218	0.00746780131347366
720	4482.01016821002	1903.02157352803	0.0015925852373353	0.00697472839589457
721	4382.66746337742	1865.671806789	0.00153378373185248	0.00674672440175046
722	4180.68116840605	1827.6359785508	0.00141422690831698	0.00651453230214562
723	4166.11110965084	1724.53550233351	0.00140560280862871	0.00588514897721225
724	3921.13289871132	1698.07593576058	0.00126059882833642	0.00572362489316366
725	3829.95443511408	1715.73089449499	0.00120662978313918	0.00583140069631718
726	3775.7308356588	1612.73553967552	0.00117453452978323	0.00520265909155141
727	3559.83751473858	1550.96793657277	0.00104674605940502	0.00482559488350603
728	3461.60206033976	1461.74722351934	9.88599941678798E-4	0.00428094144353404
729	3454.89429349929	1415.55572364847	9.84629576775688E-4	0.00399896253481285
730	3190.65457771302	1364.11266337838	8.28224603478815E-4	0.00368492514618529
731	3184.89180493205	1401.79501460757	8.24813585872167E-4	0.00391495942321375
732	2936.11342116297	1315.01358561384	6.77560261917964E-4	0.00338519674580929
733	2824.33800328134	1279.02347412241	6.11399763686261E-4	0.00316549285242033
734	2827.95026419375	1237.56470584715	6.13537881227999E-4	0.00291240520062582
735	2630.77574577576	1171.0284197929	4.96829175285653E-4	0.00250623026834631
736	2623.55635867109	1153.2638901974	4.92555979471899E-4	0.00239778558299758
737	2540.24999601009	1107.26562130322	4.43246475074791E-4	0.00211698626489565
738	2420.44007650846	1044.41449026458	3.72330310165235E-4	0.00173330759259196
739	2420.93578768406	1006.33522846602	3.72623724396903E-4	0.00150085035009315
740	2351.07627256216	1010.77653453363	3.31273484654703E-4	0.00152796258160207
741	2246.71171990867	927.309836379929	2.694995192145E-4	0.00101843488655559
742	2127.42816448572	985.641771685552	1.98894912162271E-4	0.00137452584500157
743	2116.4662428764	906.3562377963	1.92406489135149E-4	8.90522329506968E-4
744	2029.54838441235	888.882703658499	1.40959320068838E-4	7.83854044184909E-4
745	2031.52614565794	808.293709997405	1.4212996806883E-4	2.91893476742367E-4
746	1927.80533118578	844.091722966013	8.0737034877176E-5	5.10424692647772E-4
747	1931.65807590071	812.484597062346	8.30174961335954E-5	3.17477009739768E-4
748	1850.79825635204	870.359005908495	3.51561143588444E-5	6.70774969211601E-4
749	1880.24426269999	760.478085933892	5.25853710579969E-5	0
750	1791.40345917576	779.297170306655	0	1.14882281142604E-4
