EM wavelength,EX wavelength,A1c/R1c
685,580,34311.69346
690,580,32134.86275
695,580,32706.88598
700,580,36598.554
705,580,41445.53997
710,580,45436.01984
715,580,47064.8887
720,580,41304.35642
725,580,31831.18365
730,580,22955.79471
735,580,16687.3414
740,580,11956.04004
745,580,8916.01776
750,580,6700.75831
630,585,15972.3669
635,585,40418.48892
640,585,108168.49527
645,585,196088.68632
650,585,223443.27379
655,585,195764.43277
660,585,154945.1789
665,585,114693.75619
670,585,83177.6067
675,585,63486.83281
680,585,51630.28317
685,585,46133.10067
690,585,43189.12773
695,585,43828.85383
700,585,49660.98699
705,585,56962.51044
710,585,62332.23021
715,585,64128.87613
720,585,57173.37488
725,585,44116.14899
730,585,31761.8236
735,585,22907.26688
740,585,16076.20647
745,585,12139.46303
750,585,9267.54968
630,590,16921.92829
635,590,43264.88311
640,590,115747.56704
645,590,209442.19975
650,590,241319.70951
655,590,213202.9935
660,590,167825.82938
665,590,123153.6628
670,590,89387.73691
675,590,67778.84389
680,590,55434.33825
685,590,49568.73385
690,590,46383.78967
695,590,47173.92412
700,590,53193.12748
705,590,60533.28025
710,590,66811.12572
715,590,68697.47579
720,590,62291.33472
725,590,47820.23641
730,590,34508.88081
735,590,24454.05612
740,590,17301.01652
745,590,13037.66042
750,590,9953.39087
630,595,15415.43955
635,595,38399.10083
640,595,100911.57709
645,595,183904.82741
650,595,213118.40677
655,595,188095.00553
660,595,148574.66223
665,595,110118.30952
670,595,79219.38851
675,595,60307.8207
680,595,49316.95217
685,595,43624.10594
690,595,40978.96477
695,595,41737.26278
700,595,46759.28389
705,595,53471.4357
710,595,57601.45423
715,595,59876.49259
720,595,54071.79961
725,595,42185.27044
730,595,30342.38819
735,595,21584.4134
740,595,15595.26235
745,595,11512.85413
750,595,8724.59747
630,600,12230.84606
635,600,28359.20655
640,600,73514.27298
645,600,135597.7811
650,600,157175.05711
655,600,139058.86341
660,600,111225.8867
665,600,82095.48127
670,600,59883.3044
675,600,45276.57652
680,600,37280.25548
685,600,32963.84157
690,600,30333.61624
695,600,30940.96846
700,600,35175.63358
705,600,39832.47924
710,600,42852.52933
715,600,44303.13783
720,600,40113.87488
725,600,30849.34797
730,600,22539.4241
735,600,16278.64978
740,600,11852.21409
745,600,8952.11725
750,600,6650.34248
630,605,9603.69801
635,605,20619.37673
640,605,50798.80752
645,605,91503.40607
650,605,107373.70895
655,605,96066.12272
660,605,76866.31211
665,605,56970.52227
670,605,41538.90331
675,605,31526.13772
680,605,26357.98897
685,605,23248.38715
690,605,21594.26958
695,605,22055.26009
700,605,23806.10912
705,605,27628.92538
710,605,30344.65971
715,605,30089.12215
720,605,26969.8083
725,605,21045.78764
730,605,15916.51268
735,605,11513.42773
740,605,8489.54798
745,605,6475.00673
750,605,5013.47483
630,610,7837.05016
635,610,14380.29623
640,610,34340.76178
645,610,61246.5538
650,610,71982.09475
655,610,64041.06687
660,610,51408.0524
665,610,38819.15387
670,610,28903.04661
675,610,22440.5539
680,610,18663.03065
685,610,16286.05219
690,610,15002.83723
695,610,15037.25307
700,610,16632.71153
705,610,18566.08222
710,610,19862.40918
715,610,20598.40541
720,610,18572.54666
725,610,14462.30827
730,610,10607.77156
735,610,7740.51161
740,610,5653.30574
745,610,4608.10883
750,610,3591.74177
630,615,7921.60872
635,615,10666.26605
640,615,22390.08759
645,615,40095.40421
650,615,46384.35751
655,615,41590.08662
660,615,33329.8348
665,615,25246.46007
670,615,19094.86953
675,615,15135.4615
680,615,12432.89763
685,615,11265.96691
690,615,10266.80829
695,615,10228.44046
700,615,11294.59426
705,615,12255.27301
710,615,13223.98168
715,615,13543.11074
720,615,12294.18908
725,615,9812.15991
730,615,7397.25557
735,615,5154.19382
740,615,4096.83164
745,615,3088.83632
750,615,2518.68999
630,620,31402.56127
635,620,10378.47211
640,620,18467.04272
645,620,31407.32219
650,620,36360.93411
655,620,32241.24463
660,620,25965.68089
665,620,19726.85753
670,620,15036.91421
675,620,11789.00985
680,620,10274.10365
685,620,8972.00587
690,620,8045.10584
695,620,8185.76015
700,620,8894.04458
705,620,9436.93273
710,620,10344.13772
715,620,10773.23553
720,620,9373.62157
725,620,7628.00935
730,620,5534.6366
735,620,4125.00152
740,620,3191.45502
745,620,2452.12908
750,620,1932.53496
