EM wavelength,EX wavelength,A1c/R1c
630,430,117369.31122
635,430,321844.80015
640,430,779950.6799
645,430,1208110
650,430,1322330
655,430,1227520
660,430,1037710
665,430,798007.18484
670,430,573076.88584
675,430,417394.64
680,430,332843.11601
685,430,295510.26878
690,430,283696.76288
695,430,300088.12916
700,430,354804.04265
705,430,419438.0724
710,430,468147.33511
715,430,484614.79941
720,430,438907.78076
725,430,338607.74932
730,430,235110.97557
735,430,154755.78847
740,430,100742.16505
745,430,65036.81464
750,430,42857.12431
630,435,124174.07419
635,435,335063.63465
640,435,796689.63045
645,435,1216870
650,435,1330560
655,435,1254440
660,435,1070180
665,435,827814.84915
670,435,597685.41082
675,435,437682.2521
680,435,350487.6636
685,435,310114.17526
690,435,297078.31819
695,435,310607.36234
700,435,364060.16988
705,435,426448.49098
710,435,471920.80078
715,435,487343.7918
720,435,440211.06984
725,435,339535.05468
730,435,237959.56816
735,435,157517.23513
740,435,104223.95518
745,435,68198.34258
750,435,46130.73837
630,440,65665.2741
635,440,172581.5895
640,440,439406.35164
645,440,734542.31813
650,440,836480.33247
655,440,780462.61423
660,440,642531.69327
665,440,476479.16518
670,440,334624.2809
675,440,244979.74696
680,440,197117.5477
685,440,172512.36443
690,440,163093.81079
695,440,167642.35703
700,440,193758.25755
705,440,224628.92144
710,440,247645.70192
715,440,254739.73814
720,440,228622.9488
725,440,175122.7754
730,440,121813.79654
735,440,82146.39081
740,440,54600.97524
745,440,37243.07416
750,440,25816.62233
630,445,36172.02467
635,445,90407.36713
640,445,231270.05364
645,445,405387.45687
650,445,467053.54225
655,445,428597.06624
660,445,345008.67019
665,445,251646.63922
670,445,178998.0755
675,445,134814.70122
680,445,111265.19654
685,445,97751.8245
690,445,90842.24875
695,445,91928.62769
700,445,103442.92346
705,445,118767.55127
710,445,129198.40248
715,445,132421.24662
720,445,118357.08083
725,445,90330.81505
730,445,63999.43795
735,445,43335.9965
740,445,30055.07985
745,445,20899.32776
750,445,15027.35249
630,450,28542.64755
635,450,66203.36655
640,450,168622.53811
645,450,294369.02484
650,450,335980.87361
655,450,300132.31829
660,450,236832.05383
665,450,173192.24084
670,450,123801.50019
675,450,94597.9683
680,450,78788.07024
685,450,69772.30979
690,450,65460.22872
695,450,66444.67019
700,450,75133.51815
705,450,85930.99203
710,450,94426.29091
715,450,95876.35594
720,450,85337.24416
725,450,64631.82035
730,450,45524.99866
735,450,30928.27831
740,450,21201.07051
745,450,15121.57255
750,450,11099.90438
630,455,26338.11621
635,455,61402.47419
640,455,156056.26375
645,455,272687.09848
650,455,308402.85934
655,455,270900.27733
660,455,211367.66488
665,455,153113.20284
670,455,107139.72676
675,455,80227.79326
680,455,66312.96573
685,455,59782.56283
690,455,56510.21637
695,455,58142.84927
700,455,67038.51279
705,455,76868.80272
710,455,84973.47941
715,455,86950.14354
