nm    	Abs  
450.00 	0.003 
449.00 	0.005 
448.00 	0.006 
447.00 	0.003 
446.00 	0.008 
445.00 	0.008 
444.00 	0.014 
443.00 	0.011 
442.00 	0.015 
441.00 	0.017 
440.00 	0.017 
439.00 	0.022 
438.00 	0.021 
437.00 	0.027 
436.00 	0.025 
435.00 	0.027 
434.00 	0.026 
433.00 	0.030 
432.00 	0.028 
431.00 	0.030 
430.00 	0.028 
429.00 	0.026 
428.00 	0.028 
427.00 	0.027 
426.00 	0.029 
425.00 	0.024 
424.00 	0.025 
423.00 	0.023 
422.00 	0.029 
421.00 	0.028 
420.00 	0.025 
419.00 	0.025 
418.00 	0.023 
417.00 	0.018 
416.00 	0.021 
415.00 	0.019 
414.00 	0.023 
413.00 	0.020 
412.00 	0.026 
411.00 	0.028 
410.00 	0.036 
409.00 	0.044 
408.00 	0.056 
407.00 	0.077 
406.00 	0.092 
405.00 	0.117 
404.00 	0.139 
403.00 	0.176 
402.00 	0.209 
401.00 	0.247 
400.00 	0.284 
399.00 	0.320 
398.00 	0.358 
397.00 	0.388 
396.00 	0.419 
395.00 	0.430 
394.00 	0.435 
393.00 	0.418 
392.00 	0.394 
391.00 	0.359 
390.00 	0.320 
389.00 	0.291 
388.00 	0.262 
387.00 	0.244 
386.00 	0.226 
385.00 	0.224 
384.00 	0.224 
383.00 	0.236 
382.00 	0.252 
381.00 	0.275 
380.00 	0.305 
379.00 	0.338 
378.00 	0.380 
377.00 	0.411 
376.00 	0.443 
375.00 	0.461 
374.00 	0.473 
373.00 	0.472 
372.00 	0.451 
371.00 	0.422 
370.00 	0.385 
369.00 	0.348 
368.00 	0.309 
367.00 	0.281 
366.00 	0.254 
365.00 	0.240 
364.00 	0.226 
363.00 	0.218 
362.00 	0.224 
361.00 	0.233 
360.00 	0.245 
359.00 	0.261 
358.00 	0.276 
357.00 	0.290 
356.00 	0.296 
355.00 	0.299 
354.00 	0.290 
353.00 	0.277 
352.00 	0.258 
351.00 	0.237 
350.00 	0.216 
349.00 	0.196 
348.00 	0.178 
347.00 	0.162 
346.00 	0.152 
345.00 	0.143 
344.00 	0.140 
343.00 	0.138 
342.00 	0.140 
341.00 	0.142 
340.00 	0.144 
339.00 	0.146 
338.00 	0.144 
337.00 	0.142 
336.00 	0.134 
335.00 	0.125 
334.00 	0.116 
333.00 	0.106 
332.00 	0.099 
331.00 	0.089 
330.00 	0.084 
329.00 	0.077 
328.00 	0.074 
327.00 	0.070 
326.00 	0.069 
325.00 	0.066 
324.00 	0.066 
323.00 	0.064 
322.00 	0.062 
321.00 	0.060 
320.00 	0.057 
319.00 	0.055 
318.00 	0.049 
317.00 	0.047 
316.00 	0.043 
315.00 	0.041 
314.00 	0.039 
313.00 	0.037 
312.00 	0.035 
311.00 	0.034 
310.00 	0.033 
309.00 	0.033 
308.00 	0.033 
307.00 	0.032 
306.00 	0.032 
305.00 	0.031 
304.00 	0.032 
303.00 	0.031 
302.00 	0.032 
301.00 	0.033 
300.00 	0.034 
