nm    	Abs   
450.00 	-0.006 
449.00 	-0.002 
448.00 	-0.005 
447.00 	-0.006 
446.00 	-0.002 
445.00 	0.001 
444.00 	0.003 
443.00 	0.003 
442.00 	0.006 
441.00 	0.007 
440.00 	0.014 
439.00 	0.014 
438.00 	0.015 
437.00 	0.015 
436.00 	0.022 
435.00 	0.021 
434.00 	0.023 
433.00 	0.020 
432.00 	0.026 
431.00 	0.023 
430.00 	0.026 
429.00 	0.024 
428.00 	0.025 
427.00 	0.020 
426.00 	0.025 
425.00 	0.021 
424.00 	0.023 
423.00 	0.019 
422.00 	0.030 
421.00 	0.027 
420.00 	0.026 
419.00 	0.026 
418.00 	0.021 
417.00 	0.017 
416.00 	0.019 
415.00 	0.021 
414.00 	0.020 
413.00 	0.017 
412.00 	0.023 
411.00 	0.027 
410.00 	0.034 
409.00 	0.045 
408.00 	0.055 
407.00 	0.069 
406.00 	0.091 
405.00 	0.113 
404.00 	0.141 
403.00 	0.170 
402.00 	0.206 
401.00 	0.242 
400.00 	0.281 
399.00 	0.319 
398.00 	0.355 
397.00 	0.384 
396.00 	0.413 
395.00 	0.428 
394.00 	0.431 
393.00 	0.415 
392.00 	0.392 
391.00 	0.355 
390.00 	0.320 
389.00 	0.286 
388.00 	0.261 
387.00 	0.239 
386.00 	0.229 
385.00 	0.222 
384.00 	0.224 
383.00 	0.232 
382.00 	0.251 
381.00 	0.274 
380.00 	0.306 
379.00 	0.340 
378.00 	0.377 
377.00 	0.409 
376.00 	0.443 
375.00 	0.463 
374.00 	0.477 
373.00 	0.468 
372.00 	0.453 
371.00 	0.419 
370.00 	0.389 
369.00 	0.348 
368.00 	0.313 
367.00 	0.279 
366.00 	0.259 
365.00 	0.239 
364.00 	0.230 
363.00 	0.220 
362.00 	0.227 
361.00 	0.235 
360.00 	0.248 
359.00 	0.263 
358.00 	0.279 
357.00 	0.292 
356.00 	0.300 
355.00 	0.302 
354.00 	0.295 
353.00 	0.280 
352.00 	0.261 
351.00 	0.241 
350.00 	0.219 
349.00 	0.201 
348.00 	0.183 
347.00 	0.168 
346.00 	0.156 
345.00 	0.149 
344.00 	0.145 
343.00 	0.144 
342.00 	0.145 
341.00 	0.148 
340.00 	0.149 
339.00 	0.152 
338.00 	0.150 
337.00 	0.147 
336.00 	0.140 
335.00 	0.131 
334.00 	0.122 
333.00 	0.114 
332.00 	0.103 
331.00 	0.097 
330.00 	0.089 
329.00 	0.085 
328.00 	0.080 
327.00 	0.078 
326.00 	0.074 
325.00 	0.074 
324.00 	0.072 
323.00 	0.072 
322.00 	0.069 
321.00 	0.068 
320.00 	0.063 
319.00 	0.061 
318.00 	0.057 
317.00 	0.053 
316.00 	0.050 
315.00 	0.048 
314.00 	0.045 
313.00 	0.044 
312.00 	0.042 
311.00 	0.041 
310.00 	0.040 
309.00 	0.040 
308.00 	0.040 
307.00 	0.039 
306.00 	0.039 
305.00 	0.039 
304.00 	0.039 
303.00 	0.038 
302.00 	0.039 
301.00 	0.039 
300.00 	0.041 
