nm    	Abs   
450.00 	-0.004 
449.00 	-0.007 
448.00 	-0.002 
447.00 	-0.006 
446.00 	-0.002 
445.00 	-0.006 
444.00 	-0.002 
443.00 	-0.004 
442.00 	-0.001 
441.00 	-0.001 
440.00 	0.003 
439.00 	-0.001 
438.00 	0.003 
437.00 	0.005 
436.00 	0.010 
435.00 	0.009 
434.00 	0.006 
433.00 	0.009 
432.00 	0.011 
431.00 	0.012 
430.00 	0.011 
429.00 	0.011 
428.00 	0.009 
427.00 	0.012 
426.00 	0.009 
425.00 	0.012 
424.00 	0.007 
423.00 	0.012 
422.00 	0.005 
421.00 	0.004 
420.00 	0.005 
419.00 	0.006 
418.00 	0.005 
417.00 	0.003 
416.00 	0.006 
415.00 	0.007 
414.00 	0.012 
413.00 	0.008 
412.00 	0.017 
411.00 	0.019 
410.00 	0.030 
409.00 	0.038 
408.00 	0.055 
407.00 	0.067 
406.00 	0.091 
405.00 	0.110 
404.00 	0.143 
403.00 	0.172 
402.00 	0.211 
401.00 	0.245 
400.00 	0.285 
399.00 	0.325 
398.00 	0.366 
397.00 	0.398 
396.00 	0.425 
395.00 	0.439 
394.00 	0.447 
393.00 	0.434 
392.00 	0.409 
391.00 	0.374 
390.00 	0.335 
389.00 	0.302 
388.00 	0.276 
387.00 	0.258 
386.00 	0.243 
385.00 	0.234 
384.00 	0.236 
383.00 	0.248 
382.00 	0.261 
381.00 	0.288 
380.00 	0.313 
379.00 	0.351 
378.00 	0.386 
377.00 	0.426 
376.00 	0.451 
375.00 	0.476 
374.00 	0.486 
373.00 	0.488 
372.00 	0.464 
371.00 	0.438 
370.00 	0.397 
369.00 	0.362 
368.00 	0.325 
367.00 	0.297 
366.00 	0.267 
365.00 	0.251 
364.00 	0.236 
363.00 	0.234 
362.00 	0.234 
361.00 	0.245 
360.00 	0.256 
359.00 	0.272 
358.00 	0.287 
357.00 	0.301 
356.00 	0.309 
355.00 	0.311 
354.00 	0.304 
353.00 	0.290 
352.00 	0.270 
351.00 	0.250 
350.00 	0.228 
349.00 	0.209 
348.00 	0.190 
347.00 	0.176 
346.00 	0.163 
345.00 	0.156 
344.00 	0.152 
343.00 	0.150 
342.00 	0.151 
341.00 	0.154 
340.00 	0.156 
339.00 	0.157 
338.00 	0.157 
337.00 	0.153 
336.00 	0.147 
335.00 	0.137 
334.00 	0.128 
333.00 	0.119 
332.00 	0.110 
331.00 	0.102 
330.00 	0.095 
329.00 	0.089 
328.00 	0.086 
327.00 	0.083 
326.00 	0.080 
325.00 	0.080 
324.00 	0.077 
323.00 	0.077 
322.00 	0.075 
321.00 	0.073 
320.00 	0.070 
319.00 	0.067 
318.00 	0.062 
317.00 	0.060 
316.00 	0.056 
315.00 	0.055 
314.00 	0.052 
313.00 	0.050 
312.00 	0.049 
311.00 	0.048 
310.00 	0.048 
309.00 	0.047 
308.00 	0.047 
307.00 	0.046 
306.00 	0.047 
305.00 	0.046 
304.00 	0.047 
303.00 	0.046 
302.00 	0.048 
301.00 	0.048 
300.00 	0.050 
