nm    	Abs  
450.00 	0.028 
449.00 	0.030 
448.00 	0.029 
447.00 	0.024 
446.00 	0.026 
445.00 	0.028 
444.00 	0.031 
443.00 	0.027 
442.00 	0.030 
441.00 	0.029 
440.00 	0.032 
439.00 	0.034 
438.00 	0.031 
437.00 	0.035 
436.00 	0.034 
435.00 	0.040 
434.00 	0.036 
433.00 	0.038 
432.00 	0.037 
431.00 	0.039 
430.00 	0.038 
429.00 	0.039 
428.00 	0.035 
427.00 	0.040 
426.00 	0.036 
425.00 	0.039 
424.00 	0.034 
423.00 	0.038 
422.00 	0.031 
421.00 	0.032 
420.00 	0.032 
419.00 	0.033 
418.00 	0.026 
417.00 	0.032 
416.00 	0.032 
415.00 	0.037 
414.00 	0.033 
413.00 	0.039 
412.00 	0.041 
411.00 	0.051 
410.00 	0.058 
409.00 	0.068 
408.00 	0.077 
407.00 	0.098 
406.00 	0.118 
405.00 	0.143 
404.00 	0.166 
403.00 	0.203 
402.00 	0.237 
401.00 	0.277 
400.00 	0.315 
399.00 	0.355 
398.00 	0.390 
397.00 	0.429 
396.00 	0.455 
395.00 	0.472 
394.00 	0.471 
393.00 	0.464 
392.00 	0.437 
391.00 	0.403 
390.00 	0.366 
389.00 	0.330 
388.00 	0.302 
387.00 	0.285 
386.00 	0.271 
385.00 	0.264 
384.00 	0.260 
383.00 	0.273 
382.00 	0.289 
381.00 	0.315 
380.00 	0.343 
379.00 	0.377 
378.00 	0.412 
377.00 	0.451 
376.00 	0.481 
375.00 	0.505 
374.00 	0.512 
373.00 	0.512 
372.00 	0.493 
371.00 	0.462 
370.00 	0.427 
369.00 	0.388 
368.00 	0.349 
367.00 	0.320 
366.00 	0.294 
365.00 	0.278 
364.00 	0.261 
363.00 	0.258 
362.00 	0.259 
361.00 	0.270 
360.00 	0.283 
359.00 	0.298 
358.00 	0.314 
357.00 	0.326 
356.00 	0.335 
355.00 	0.336 
354.00 	0.329 
353.00 	0.315 
352.00 	0.296 
351.00 	0.274 
350.00 	0.254 
349.00 	0.233 
348.00 	0.215 
347.00 	0.199 
346.00 	0.188 
345.00 	0.180 
344.00 	0.176 
343.00 	0.174 
342.00 	0.175 
341.00 	0.177 
340.00 	0.180 
339.00 	0.182 
338.00 	0.181 
337.00 	0.176 
336.00 	0.170 
335.00 	0.161 
334.00 	0.153 
333.00 	0.142 
332.00 	0.135 
331.00 	0.125 
330.00 	0.120 
329.00 	0.114 
328.00 	0.111 
327.00 	0.106 
326.00 	0.105 
325.00 	0.103 
324.00 	0.102 
323.00 	0.100 
322.00 	0.100 
321.00 	0.097 
320.00 	0.095 
319.00 	0.091 
318.00 	0.088 
317.00 	0.083 
316.00 	0.081 
315.00 	0.078 
314.00 	0.076 
313.00 	0.074 
312.00 	0.073 
311.00 	0.073 
310.00 	0.072 
309.00 	0.072 
308.00 	0.071 
307.00 	0.070 
306.00 	0.070 
305.00 	0.071 
304.00 	0.070 
303.00 	0.071 
302.00 	0.071 
301.00 	0.073 
300.00 	0.073 
