nm    	Abs  
450.00 	0.028 
449.00 	0.029 
448.00 	0.028 
447.00 	0.031 
446.00 	0.026 
445.00 	0.030 
444.00 	0.025 
443.00 	0.030 
442.00 	0.024 
441.00 	0.031 
440.00 	0.026 
439.00 	0.025 
438.00 	0.022 
437.00 	0.027 
436.00 	0.023 
435.00 	0.025 
434.00 	0.019 
433.00 	0.023 
432.00 	0.020 
431.00 	0.025 
430.00 	0.019 
429.00 	0.018 
428.00 	0.019 
427.00 	0.023 
426.00 	0.017 
425.00 	0.021 
424.00 	0.017 
423.00 	0.022 
422.00 	0.013 
421.00 	0.014 
420.00 	0.016 
419.00 	0.015 
418.00 	0.013 
417.00 	0.013 
416.00 	0.018 
415.00 	0.021 
414.00 	0.021 
413.00 	0.022 
412.00 	0.031 
411.00 	0.036 
410.00 	0.046 
409.00 	0.053 
408.00 	0.066 
407.00 	0.082 
406.00 	0.107 
405.00 	0.128 
404.00 	0.155 
403.00 	0.185 
402.00 	0.227 
401.00 	0.261 
400.00 	0.303 
399.00 	0.340 
398.00 	0.380 
397.00 	0.411 
396.00 	0.443 
395.00 	0.457 
394.00 	0.460 
393.00 	0.447 
392.00 	0.425 
391.00 	0.385 
390.00 	0.352 
389.00 	0.314 
388.00 	0.287 
387.00 	0.263 
386.00 	0.254 
385.00 	0.243 
384.00 	0.244 
383.00 	0.249 
382.00 	0.271 
381.00 	0.289 
380.00 	0.323 
379.00 	0.355 
378.00 	0.392 
377.00 	0.423 
376.00 	0.458 
375.00 	0.478 
374.00 	0.491 
373.00 	0.484 
372.00 	0.468 
371.00 	0.432 
370.00 	0.402 
369.00 	0.361 
368.00 	0.323 
367.00 	0.289 
366.00 	0.266 
365.00 	0.245 
364.00 	0.236 
363.00 	0.225 
362.00 	0.230 
361.00 	0.238 
360.00 	0.250 
359.00 	0.265 
358.00 	0.281 
357.00 	0.293 
356.00 	0.301 
355.00 	0.301 
354.00 	0.295 
353.00 	0.280 
352.00 	0.260 
351.00 	0.238 
350.00 	0.216 
349.00 	0.195 
348.00 	0.178 
347.00 	0.161 
346.00 	0.150 
345.00 	0.140 
344.00 	0.137 
343.00 	0.134 
342.00 	0.135 
341.00 	0.136 
340.00 	0.139 
339.00 	0.139 
338.00 	0.139 
337.00 	0.135 
336.00 	0.129 
335.00 	0.118 
334.00 	0.108 
333.00 	0.100 
332.00 	0.090 
331.00 	0.082 
330.00 	0.075 
329.00 	0.070 
328.00 	0.065 
327.00 	0.062 
326.00 	0.060 
325.00 	0.059 
324.00 	0.057 
323.00 	0.056 
322.00 	0.054 
321.00 	0.053 
320.00 	0.049 
319.00 	0.046 
318.00 	0.042 
317.00 	0.039 
316.00 	0.036 
315.00 	0.034 
314.00 	0.031 
313.00 	0.029 
312.00 	0.029 
311.00 	0.027 
310.00 	0.027 
309.00 	0.027 
308.00 	0.027 
307.00 	0.025 
306.00 	0.026 
305.00 	0.026 
304.00 	0.026 
303.00 	0.025 
302.00 	0.026 
301.00 	0.027 
300.00 	0.029 
