nm    	Abs  
450.00 	0.027 
449.00 	0.028 
448.00 	0.031 
447.00 	0.024 
446.00 	0.027 
445.00 	0.025 
444.00 	0.032 
443.00 	0.026 
442.00 	0.028 
441.00 	0.027 
440.00 	0.029 
439.00 	0.029 
438.00 	0.032 
437.00 	0.030 
436.00 	0.030 
435.00 	0.030 
434.00 	0.033 
433.00 	0.031 
432.00 	0.032 
431.00 	0.032 
430.00 	0.030 
429.00 	0.033 
428.00 	0.032 
427.00 	0.032 
426.00 	0.027 
425.00 	0.030 
424.00 	0.032 
423.00 	0.031 
422.00 	0.022 
421.00 	0.023 
420.00 	0.022 
419.00 	0.025 
418.00 	0.022 
417.00 	0.023 
416.00 	0.023 
415.00 	0.028 
414.00 	0.030 
413.00 	0.032 
412.00 	0.035 
411.00 	0.044 
410.00 	0.049 
409.00 	0.064 
408.00 	0.071 
407.00 	0.091 
406.00 	0.108 
405.00 	0.137 
404.00 	0.162 
403.00 	0.196 
402.00 	0.230 
401.00 	0.270 
400.00 	0.307 
399.00 	0.353 
398.00 	0.384 
397.00 	0.421 
396.00 	0.447 
395.00 	0.468 
394.00 	0.468 
393.00 	0.456 
392.00 	0.432 
391.00 	0.396 
390.00 	0.359 
389.00 	0.323 
388.00 	0.295 
387.00 	0.275 
386.00 	0.264 
385.00 	0.255 
384.00 	0.255 
383.00 	0.262 
382.00 	0.282 
381.00 	0.304 
380.00 	0.338 
379.00 	0.366 
378.00 	0.406 
377.00 	0.439 
376.00 	0.475 
375.00 	0.492 
374.00 	0.506 
373.00 	0.501 
372.00 	0.491 
371.00 	0.452 
370.00 	0.419 
369.00 	0.374 
368.00 	0.342 
367.00 	0.309 
366.00 	0.286 
365.00 	0.264 
364.00 	0.252 
363.00 	0.247 
362.00 	0.250 
361.00 	0.258 
360.00 	0.270 
359.00 	0.286 
358.00 	0.301 
357.00 	0.315 
356.00 	0.322 
355.00 	0.324 
354.00 	0.316 
353.00 	0.303 
352.00 	0.283 
351.00 	0.262 
350.00 	0.240 
349.00 	0.221 
348.00 	0.201 
347.00 	0.187 
346.00 	0.173 
345.00 	0.166 
344.00 	0.162 
343.00 	0.161 
342.00 	0.161 
341.00 	0.164 
340.00 	0.165 
339.00 	0.167 
338.00 	0.167 
337.00 	0.163 
336.00 	0.156 
335.00 	0.146 
334.00 	0.137 
333.00 	0.127 
332.00 	0.119 
331.00 	0.110 
330.00 	0.104 
329.00 	0.099 
328.00 	0.095 
327.00 	0.091 
326.00 	0.089 
325.00 	0.087 
324.00 	0.087 
323.00 	0.085 
322.00 	0.085 
321.00 	0.080 
320.00 	0.079 
319.00 	0.075 
318.00 	0.072 
317.00 	0.067 
316.00 	0.066 
315.00 	0.062 
314.00 	0.061 
313.00 	0.059 
312.00 	0.058 
311.00 	0.056 
310.00 	0.057 
309.00 	0.056 
308.00 	0.056 
307.00 	0.055 
306.00 	0.056 
305.00 	0.055 
304.00 	0.056 
303.00 	0.055 
302.00 	0.056 
301.00 	0.057 
300.00 	0.058 
