nm    	Abs  
450.00 	0.011 
449.00 	0.011 
448.00 	0.011 
447.00 	0.012 
446.00 	0.015 
445.00 	0.018 
444.00 	0.016 
443.00 	0.020 
442.00 	0.018 
441.00 	0.023 
440.00 	0.023 
439.00 	0.026 
438.00 	0.022 
437.00 	0.027 
436.00 	0.028 
435.00 	0.032 
434.00 	0.024 
433.00 	0.028 
432.00 	0.027 
431.00 	0.030 
430.00 	0.027 
429.00 	0.030 
428.00 	0.026 
427.00 	0.028 
426.00 	0.024 
425.00 	0.029 
424.00 	0.024 
423.00 	0.027 
422.00 	0.030 
421.00 	0.027 
420.00 	0.025 
419.00 	0.027 
418.00 	0.025 
417.00 	0.020 
416.00 	0.021 
415.00 	0.023 
414.00 	0.025 
413.00 	0.022 
412.00 	0.029 
411.00 	0.031 
410.00 	0.040 
409.00 	0.049 
408.00 	0.064 
407.00 	0.075 
406.00 	0.099 
405.00 	0.118 
404.00 	0.151 
403.00 	0.177 
402.00 	0.217 
401.00 	0.249 
400.00 	0.288 
399.00 	0.325 
398.00 	0.367 
397.00 	0.395 
396.00 	0.424 
395.00 	0.434 
394.00 	0.441 
393.00 	0.426 
392.00 	0.401 
391.00 	0.363 
390.00 	0.327 
389.00 	0.291 
388.00 	0.269 
387.00 	0.248 
386.00 	0.236 
385.00 	0.224 
384.00 	0.228 
383.00 	0.239 
382.00 	0.256 
381.00 	0.278 
380.00 	0.308 
379.00 	0.342 
378.00 	0.380 
377.00 	0.417 
376.00 	0.444 
375.00 	0.465 
374.00 	0.477 
373.00 	0.475 
372.00 	0.453 
371.00 	0.424 
370.00 	0.386 
369.00 	0.346 
368.00 	0.312 
367.00 	0.285 
366.00 	0.256 
365.00 	0.238 
364.00 	0.226 
363.00 	0.224 
362.00 	0.222 
361.00 	0.234 
360.00 	0.246 
359.00 	0.261 
358.00 	0.277 
357.00 	0.291 
356.00 	0.299 
355.00 	0.299 
354.00 	0.291 
353.00 	0.278 
352.00 	0.258 
351.00 	0.236 
350.00 	0.216 
349.00 	0.196 
348.00 	0.178 
347.00 	0.163 
346.00 	0.151 
345.00 	0.142 
344.00 	0.139 
343.00 	0.137 
342.00 	0.139 
341.00 	0.141 
340.00 	0.144 
339.00 	0.144 
338.00 	0.144 
337.00 	0.140 
336.00 	0.134 
335.00 	0.125 
334.00 	0.115 
333.00 	0.105 
332.00 	0.098 
331.00 	0.088 
330.00 	0.083 
329.00 	0.076 
328.00 	0.073 
327.00 	0.069 
326.00 	0.069 
325.00 	0.065 
324.00 	0.065 
323.00 	0.063 
322.00 	0.062 
321.00 	0.058 
320.00 	0.057 
319.00 	0.052 
318.00 	0.050 
317.00 	0.045 
316.00 	0.043 
315.00 	0.040 
314.00 	0.038 
313.00 	0.035 
312.00 	0.035 
311.00 	0.033 
310.00 	0.033 
309.00 	0.033 
308.00 	0.032 
307.00 	0.031 
306.00 	0.031 
305.00 	0.031 
304.00 	0.030 
303.00 	0.031 
302.00 	0.030 
301.00 	0.032 
300.00 	0.032 
