nm    	Abs  
450.00 	0.025 
449.00 	0.030 
448.00 	0.026 
447.00 	0.026 
446.00 	0.027 
445.00 	0.031 
444.00 	0.032 
443.00 	0.030 
442.00 	0.031 
441.00 	0.033 
440.00 	0.036 
439.00 	0.034 
438.00 	0.035 
437.00 	0.033 
436.00 	0.040 
435.00 	0.037 
434.00 	0.036 
433.00 	0.033 
432.00 	0.038 
431.00 	0.035 
430.00 	0.039 
429.00 	0.033 
428.00 	0.036 
427.00 	0.032 
426.00 	0.037 
425.00 	0.031 
424.00 	0.034 
423.00 	0.032 
422.00 	0.037 
421.00 	0.034 
420.00 	0.038 
419.00 	0.032 
418.00 	0.031 
417.00 	0.028 
416.00 	0.035 
415.00 	0.032 
414.00 	0.032 
413.00 	0.032 
412.00 	0.039 
411.00 	0.043 
410.00 	0.052 
409.00 	0.058 
408.00 	0.070 
407.00 	0.088 
406.00 	0.111 
405.00 	0.130 
404.00 	0.155 
403.00 	0.189 
402.00 	0.226 
401.00 	0.263 
400.00 	0.300 
399.00 	0.338 
398.00 	0.374 
397.00 	0.409 
396.00 	0.434 
395.00 	0.450 
394.00 	0.446 
393.00 	0.438 
392.00 	0.409 
391.00 	0.377 
390.00 	0.334 
389.00 	0.302 
388.00 	0.274 
387.00 	0.258 
386.00 	0.241 
385.00 	0.237 
384.00 	0.232 
383.00 	0.247 
382.00 	0.261 
381.00 	0.289 
380.00 	0.314 
379.00 	0.350 
378.00 	0.385 
377.00 	0.425 
376.00 	0.449 
375.00 	0.473 
374.00 	0.480 
373.00 	0.481 
372.00 	0.458 
371.00 	0.430 
370.00 	0.390 
369.00 	0.353 
368.00 	0.319 
367.00 	0.290 
366.00 	0.259 
365.00 	0.242 
364.00 	0.230 
363.00 	0.227 
362.00 	0.227 
361.00 	0.238 
360.00 	0.249 
359.00 	0.265 
358.00 	0.281 
357.00 	0.294 
356.00 	0.301 
355.00 	0.301 
354.00 	0.294 
353.00 	0.279 
352.00 	0.260 
351.00 	0.238 
350.00 	0.218 
349.00 	0.197 
348.00 	0.179 
347.00 	0.164 
346.00 	0.151 
345.00 	0.144 
344.00 	0.140 
343.00 	0.138 
342.00 	0.139 
341.00 	0.141 
340.00 	0.143 
339.00 	0.144 
338.00 	0.144 
337.00 	0.139 
336.00 	0.133 
335.00 	0.123 
334.00 	0.114 
333.00 	0.104 
332.00 	0.096 
331.00 	0.088 
330.00 	0.081 
329.00 	0.076 
328.00 	0.072 
327.00 	0.068 
326.00 	0.067 
325.00 	0.064 
324.00 	0.065 
323.00 	0.062 
322.00 	0.061 
321.00 	0.058 
320.00 	0.056 
319.00 	0.052 
318.00 	0.049 
317.00 	0.045 
316.00 	0.042 
315.00 	0.039 
314.00 	0.038 
313.00 	0.035 
312.00 	0.035 
311.00 	0.032 
310.00 	0.033 
309.00 	0.031 
308.00 	0.032 
307.00 	0.030 
306.00 	0.031 
305.00 	0.030 
304.00 	0.031 
303.00 	0.030 
302.00 	0.031 
301.00 	0.031 
300.00 	0.033 
