nm    	Abs  
450.00 	0.019 
449.00 	0.020 
448.00 	0.018 
447.00 	0.017 
446.00 	0.020 
445.00 	0.019 
444.00 	0.019 
443.00 	0.016 
442.00 	0.019 
441.00 	0.018 
440.00 	0.023 
439.00 	0.015 
438.00 	0.017 
437.00 	0.015 
436.00 	0.021 
435.00 	0.016 
434.00 	0.014 
433.00 	0.015 
432.00 	0.017 
431.00 	0.015 
430.00 	0.016 
429.00 	0.011 
428.00 	0.014 
427.00 	0.015 
426.00 	0.014 
425.00 	0.012 
424.00 	0.011 
423.00 	0.015 
422.00 	0.009 
421.00 	0.010 
420.00 	0.011 
419.00 	0.008 
418.00 	0.010 
417.00 	0.012 
416.00 	0.015 
415.00 	0.016 
414.00 	0.014 
413.00 	0.022 
412.00 	0.025 
411.00 	0.035 
410.00 	0.038 
409.00 	0.048 
408.00 	0.062 
407.00 	0.082 
406.00 	0.099 
405.00 	0.123 
404.00 	0.149 
403.00 	0.187 
402.00 	0.219 
401.00 	0.262 
400.00 	0.294 
399.00 	0.338 
398.00 	0.376 
397.00 	0.414 
396.00 	0.435 
395.00 	0.453 
394.00 	0.456 
393.00 	0.448 
392.00 	0.418 
391.00 	0.387 
390.00 	0.343 
389.00 	0.311 
388.00 	0.285 
387.00 	0.266 
386.00 	0.249 
385.00 	0.240 
384.00 	0.242 
383.00 	0.253 
382.00 	0.266 
381.00 	0.291 
380.00 	0.317 
379.00 	0.355 
378.00 	0.391 
377.00 	0.427 
376.00 	0.455 
375.00 	0.475 
374.00 	0.492 
373.00 	0.488 
372.00 	0.468 
371.00 	0.436 
370.00 	0.399 
369.00 	0.362 
368.00 	0.326 
367.00 	0.292 
366.00 	0.267 
365.00 	0.246 
364.00 	0.239 
363.00 	0.229 
362.00 	0.232 
361.00 	0.240 
360.00 	0.253 
359.00 	0.268 
358.00 	0.283 
357.00 	0.296 
356.00 	0.304 
355.00 	0.305 
354.00 	0.299 
353.00 	0.283 
352.00 	0.264 
351.00 	0.243 
350.00 	0.221 
349.00 	0.201 
348.00 	0.182 
347.00 	0.166 
346.00 	0.154 
345.00 	0.146 
344.00 	0.142 
343.00 	0.140 
342.00 	0.141 
341.00 	0.142 
340.00 	0.145 
339.00 	0.146 
338.00 	0.145 
337.00 	0.140 
336.00 	0.134 
335.00 	0.125 
334.00 	0.116 
333.00 	0.105 
332.00 	0.096 
331.00 	0.089 
330.00 	0.081 
329.00 	0.077 
328.00 	0.072 
327.00 	0.069 
326.00 	0.066 
325.00 	0.064 
324.00 	0.064 
323.00 	0.063 
322.00 	0.061 
321.00 	0.059 
320.00 	0.055 
319.00 	0.053 
318.00 	0.049 
317.00 	0.046 
316.00 	0.042 
315.00 	0.040 
314.00 	0.038 
313.00 	0.036 
312.00 	0.034 
311.00 	0.034 
310.00 	0.033 
309.00 	0.033 
308.00 	0.032 
307.00 	0.032 
306.00 	0.031 
305.00 	0.031 
304.00 	0.032 
303.00 	0.031 
302.00 	0.032 
301.00 	0.033 
300.00 	0.034 
